[1362, 835]
[folio, [103.0, 45.0, 114.0, 18.0], shoonya_4s2U4UN24T4Z9S, 5782334]
[folio, [103.0, 63.0, 114.0, 18.0], shoonya_4s2U4UN24T4Z9S, 5782334]
[ordered-list, [81.0, 139.0, 675.0, 18.0], shoonya_0sR3DHL7CD4I9X, 5782334]
[ordered-list, [81.0, 157.0, 675.0, 18.0], shoonya_0sR3DHL7CD4I9X, 5782334]
[ordered-list, [81.0, 175.0, 675.0, 18.0], shoonya_0sR3DHL7CD4I9X, 5782334]
[ordered-list, [81.0, 193.0, 675.0, 18.0], shoonya_0sR3DHL7CD4I9X, 5782334]
[ordered-list, [81.0, 211.0, 675.0, 18.0], shoonya_0sR3DHL7CD4I9X, 5782334]
[ordered-list, [81.0, 229.0, 675.0, 18.0], shoonya_0sR3DHL7CD4I9X, 5782334]
[ordered-list, [81.0, 247.0, 675.0, 18.0], shoonya_0sR3DHL7CD4I9X, 5782334]
[ordered-list, [81.0, 265.0, 675.0, 18.0], shoonya_0sR3DHL7CD4I9X, 5782334]
[ordered-list, [81.0, 283.0, 675.0, 18.0], shoonya_0sR3DHL7CD4I9X, 5782334]
[ordered-list, [81.0, 301.0, 675.0, 18.0], shoonya_0sR3DHL7CD4I9X, 5782334]
[ordered-list, [81.0, 319.0, 675.0, 18.0], shoonya_0sR3DHL7CD4I9X, 5782334]
[ordered-list, [81.0, 337.0, 675.0, 18.0], shoonya_0sR3DHL7CD4I9X, 5782334]
[ordered-list, [81.0, 355.0, 675.0, 18.0], shoonya_0sR3DHL7CD4I9X, 5782334]
[ordered-list, [81.0, 373.0, 675.0, 18.0], shoonya_0sR3DHL7CD4I9X, 5782334]
[ordered-list, [81.0, 391.0, 675.0, 18.0], shoonya_0sR3DHL7CD4I9X, 5782334]
[ordered-list, [81.0, 409.0, 675.0, 18.0], shoonya_0sR3DHL7CD4I9X, 5782334]
[ordered-list, [81.0, 439.0, 678.0, 18.0], ks_3SH_2we, 5782334]
[ordered-list, [81.0, 457.0, 678.0, 18.0], ks_3SH_2we, 5782334]
[ordered-list, [81.0, 475.0, 678.0, 18.0], ks_3SH_2we, 5782334]
[ordered-list, [81.0, 493.0, 678.0, 18.0], ks_3SH_2we, 5782334]
[ordered-list, [81.0, 511.0, 678.0, 18.0], ks_3SH_2we, 5782334]
[ordered-list, [81.0, 529.0, 678.0, 18.0], ks_3SH_2we, 5782334]
[ordered-list, [81.0, 547.0, 678.0, 18.0], ks_3SH_2we, 5782334]
[ordered-list, [81.0, 565.0, 678.0, 18.0], ks_3SH_2we, 5782334]
[ordered-list, [81.0, 583.0, 678.0, 18.0], ks_3SH_2we, 5782334]
[ordered-list, [81.0, 601.0, 678.0, 18.0], ks_3SH_2we, 5782334]
[ordered-list, [81.0, 619.0, 678.0, 18.0], ks_3SH_2we, 5782334]
[ordered-list, [81.0, 637.0, 678.0, 18.0], ks_3SH_2we, 5782334]
[ordered-list, [81.0, 655.0, 678.0, 18.0], ks_3SH_2we, 5782334]
[ordered-list, [81.0, 673.0, 678.0, 18.0], ks_3SH_2we, 5782334]
[ordered-list, [81.0, 691.0, 678.0, 18.0], ks_3SH_2we, 5782334]
[ordered-list, [81.0, 709.0, 678.0, 18.0], ks_3SH_2we, 5782334]
[ordered-list, [81.0, 727.0, 678.0, 18.0], ks_3SH_2we, 5782334]
[ordered-list, [81.0, 745.0, 678.0, 18.0], ks_3SH_2we, 5782334]
[ordered-list, [81.0, 763.0, 678.0, 18.0], ks_3SH_2we, 5782334]
[ordered-list, [81.0, 781.0, 678.0, 18.0], ks_3SH_2we, 5782334]
[ordered-list, [81.0, 799.0, 678.0, 18.0], ks_3SH_2we, 5782334]
[ordered-list, [81.0, 817.0, 678.0, 18.0], ks_3SH_2we, 5782334]
[ordered-list, [81.0, 835.0, 678.0, 18.0], ks_3SH_2we, 5782334]
[ordered-list, [81.0, 853.0, 678.0, 18.0], ks_3SH_2we, 5782334]
[ordered-list, [81.0, 871.0, 678.0, 18.0], ks_3SH_2we, 5782334]
[ordered-list, [81.0, 889.0, 678.0, 18.0], ks_3SH_2we, 5782334]
[ordered-list, [81.0, 907.0, 678.0, 18.0], ks_3SH_2we, 5782334]
[ordered-list, [81.0, 925.0, 678.0, 18.0], ks_3SH_2we, 5782334]
[ordered-list, [81.0, 943.0, 678.0, 18.0], ks_3SH_2we, 5782334]
[ordered-list, [81.0, 961.0, 678.0, 18.0], ks_3SH_2we, 5782334]
[ordered-list, [81.0, 979.0, 678.0, 18.0], ks_3SH_2we, 5782334]
[ordered-list, [81.0, 997.0, 678.0, 18.0], ks_3SH_2we, 5782334]
[ordered-list, [81.0, 1015.0, 678.0, 18.0], ks_3SH_2we, 5782334]
[ordered-list, [81.0, 1033.0, 678.0, 18.0], ks_3SH_2we, 5782334]
[ordered-list, [81.0, 1051.0, 678.0, 18.0], ks_3SH_2we, 5782334]
[ordered-list, [81.0, 1069.0, 678.0, 18.0], ks_3SH_2we, 5782334]
[ordered-list, [81.0, 1087.0, 678.0, 18.0], ks_3SH_2we, 5782334]
[ordered-list, [81.0, 1105.0, 678.0, 18.0], ks_3SH_2we, 5782334]
[ordered-list, [81.0, 1123.0, 678.0, 18.0], ks_3SH_2we, 5782334]
[ordered-list, [81.0, 1141.0, 678.0, 18.0], ks_3SH_2we, 5782334]
