[1806, 1262]
[folio, [162.0, 102.0, 506.0, 36.0], 9Dqhto3tRb, 5681733]
[paragraph, [93.0, 176.0, 515.0, 36.0], shoonya_5s2YFY56BNYQRI, 5681733]
[paragraph, [93.0, 212.0, 515.0, 36.0], shoonya_5s2YFY56BNYQRI, 5681733]
[paragraph, [93.0, 248.0, 515.0, 36.0], shoonya_5s2YFY56BNYQRI, 5681733]
[paragraph, [93.0, 284.0, 515.0, 36.0], shoonya_5s2YFY56BNYQRI, 5681733]
[paragraph, [93.0, 320.0, 515.0, 36.0], shoonya_5s2YFY56BNYQRI, 5681733]
[paragraph, [93.0, 356.0, 515.0, 36.0], shoonya_5s2YFY56BNYQRI, 5681733]
[paragraph, [93.0, 392.0, 515.0, 36.0], shoonya_5s2YFY56BNYQRI, 5681733]
[paragraph, [659.0, 181.0, 502.0, 36.0], shoonya_6sIAN9O7PBJ2PN, 5681733]
[paragraph, [659.0, 255.0, 506.0, 36.0], shoonya_2sL3JDRYYD0JLX, 5681733]
[paragraph, [659.0, 291.0, 506.0, 36.0], shoonya_2sL3JDRYYD0JLX, 5681733]
[paragraph, [659.0, 327.0, 506.0, 36.0], shoonya_2sL3JDRYYD0JLX, 5681733]
[paragraph, [659.0, 363.0, 506.0, 36.0], shoonya_2sL3JDRYYD0JLX, 5681733]
[paragraph, [659.0, 399.0, 506.0, 36.0], shoonya_2sL3JDRYYD0JLX, 5681733]
[paragraph, [659.0, 435.0, 506.0, 36.0], shoonya_2sL3JDRYYD0JLX, 5681733]
[paragraph, [659.0, 471.0, 506.0, 36.0], shoonya_2sL3JDRYYD0JLX, 5681733]
[paragraph, [659.0, 507.0, 506.0, 36.0], shoonya_2sL3JDRYYD0JLX, 5681733]
[paragraph, [659.0, 543.0, 506.0, 36.0], shoonya_2sL3JDRYYD0JLX, 5681733]
[paragraph, [659.0, 579.0, 506.0, 36.0], shoonya_2sL3JDRYYD0JLX, 5681733]
[paragraph, [659.0, 615.0, 506.0, 36.0], shoonya_2sL3JDRYYD0JLX, 5681733]
[paragraph, [659.0, 651.0, 506.0, 36.0], shoonya_2sL3JDRYYD0JLX, 5681733]
[paragraph, [659.0, 687.0, 506.0, 36.0], shoonya_2sL3JDRYYD0JLX, 5681733]
[paragraph, [659.0, 723.0, 506.0, 36.0], shoonya_2sL3JDRYYD0JLX, 5681733]
[paragraph, [659.0, 759.0, 506.0, 36.0], shoonya_2sL3JDRYYD0JLX, 5681733]
[paragraph, [659.0, 795.0, 506.0, 36.0], shoonya_2sL3JDRYYD0JLX, 5681733]
[paragraph, [659.0, 831.0, 506.0, 36.0], shoonya_2sL3JDRYYD0JLX, 5681733]
[paragraph, [659.0, 867.0, 506.0, 36.0], shoonya_2sL3JDRYYD0JLX, 5681733]
[paragraph, [659.0, 903.0, 506.0, 36.0], shoonya_2sL3JDRYYD0JLX, 5681733]
[paragraph, [96.0, 485.0, 506.0, 36.0], shoonya_3sO0UH2LPVHLPE, 5681733]
[paragraph, [96.0, 521.0, 506.0, 36.0], shoonya_3sO0UH2LPVHLPE, 5681733]
[paragraph, [96.0, 557.0, 506.0, 36.0], shoonya_3sO0UH2LPVHLPE, 5681733]
[paragraph, [96.0, 593.0, 506.0, 36.0], shoonya_3sO0UH2LPVHLPE, 5681733]
[paragraph, [96.0, 629.0, 506.0, 36.0], shoonya_3sO0UH2LPVHLPE, 5681733]
[paragraph, [96.0, 665.0, 506.0, 36.0], shoonya_3sO0UH2LPVHLPE, 5681733]
[paragraph, [96.0, 701.0, 506.0, 36.0], shoonya_3sO0UH2LPVHLPE, 5681733]
[paragraph, [96.0, 737.0, 506.0, 36.0], shoonya_3sO0UH2LPVHLPE, 5681733]
[paragraph, [96.0, 773.0, 506.0, 36.0], shoonya_3sO0UH2LPVHLPE, 5681733]
[paragraph, [96.0, 809.0, 506.0, 36.0], shoonya_3sO0UH2LPVHLPE, 5681733]
[paragraph, [96.0, 845.0, 506.0, 36.0], shoonya_3sO0UH2LPVHLPE, 5681733]
[paragraph, [100.0, 920.0, 509.0, 36.0], shoonya_0sHYZ2R95XQJ6T, 5681733]
[paragraph, [100.0, 956.0, 509.0, 36.0], shoonya_0sHYZ2R95XQJ6T, 5681733]
[paragraph, [100.0, 992.0, 509.0, 36.0], shoonya_0sHYZ2R95XQJ6T, 5681733]
[paragraph, [100.0, 1028.0, 509.0, 36.0], shoonya_0sHYZ2R95XQJ6T, 5681733]
