[1300, 827]
[paragraph, [105.0, 184.0, 625.0, 18.0], 1lDTr_hbCN, 5748545]
[paragraph, [105.0, 202.0, 625.0, 18.0], 1lDTr_hbCN, 5748545]
[paragraph, [105.0, 220.0, 625.0, 18.0], 1lDTr_hbCN, 5748545]
[paragraph, [105.0, 238.0, 625.0, 18.0], 1lDTr_hbCN, 5748545]
[paragraph, [105.0, 256.0, 625.0, 18.0], 1lDTr_hbCN, 5748545]
[paragraph, [105.0, 274.0, 625.0, 18.0], 1lDTr_hbCN, 5748545]
[ordered-list, [98.0, 315.0, 636.0, 18.0], shoonya_1sG4VHN2T02S6L, 5748545]
[ordered-list, [98.0, 333.0, 636.0, 18.0], shoonya_1sG4VHN2T02S6L, 5748545]
[ordered-list, [98.0, 351.0, 636.0, 18.0], shoonya_1sG4VHN2T02S6L, 5748545]
[ordered-list, [98.0, 369.0, 636.0, 18.0], shoonya_1sG4VHN2T02S6L, 5748545]
[ordered-list, [98.0, 387.0, 636.0, 18.0], shoonya_1sG4VHN2T02S6L, 5748545]
[ordered-list, [98.0, 405.0, 636.0, 18.0], shoonya_1sG4VHN2T02S6L, 5748545]
[ordered-list, [98.0, 423.0, 636.0, 18.0], shoonya_1sG4VHN2T02S6L, 5748545]
[ordered-list, [98.0, 441.0, 636.0, 18.0], shoonya_1sG4VHN2T02S6L, 5748545]
[ordered-list, [98.0, 459.0, 636.0, 18.0], shoonya_1sG4VHN2T02S6L, 5748545]
[ordered-list, [98.0, 477.0, 636.0, 18.0], shoonya_1sG4VHN2T02S6L, 5748545]
[ordered-list, [98.0, 495.0, 636.0, 18.0], shoonya_1sG4VHN2T02S6L, 5748545]
[ordered-list, [98.0, 513.0, 636.0, 18.0], shoonya_1sG4VHN2T02S6L, 5748545]
[ordered-list, [98.0, 531.0, 636.0, 18.0], shoonya_1sG4VHN2T02S6L, 5748545]
[ordered-list, [98.0, 549.0, 636.0, 18.0], shoonya_1sG4VHN2T02S6L, 5748545]
[ordered-list, [98.0, 567.0, 636.0, 18.0], shoonya_1sG4VHN2T02S6L, 5748545]
[ordered-list, [98.0, 585.0, 636.0, 18.0], shoonya_1sG4VHN2T02S6L, 5748545]
[ordered-list, [98.0, 603.0, 636.0, 18.0], shoonya_1sG4VHN2T02S6L, 5748545]
[ordered-list, [98.0, 621.0, 636.0, 18.0], shoonya_1sG4VHN2T02S6L, 5748545]
[ordered-list, [98.0, 639.0, 636.0, 18.0], shoonya_1sG4VHN2T02S6L, 5748545]
[ordered-list, [98.0, 657.0, 636.0, 18.0], shoonya_1sG4VHN2T02S6L, 5748545]
[ordered-list, [98.0, 675.0, 636.0, 18.0], shoonya_1sG4VHN2T02S6L, 5748545]
[ordered-list, [98.0, 693.0, 636.0, 18.0], shoonya_1sG4VHN2T02S6L, 5748545]
[ordered-list, [98.0, 711.0, 636.0, 18.0], shoonya_1sG4VHN2T02S6L, 5748545]
[ordered-list, [98.0, 729.0, 636.0, 18.0], shoonya_1sG4VHN2T02S6L, 5748545]
[ordered-list, [98.0, 747.0, 636.0, 18.0], shoonya_1sG4VHN2T02S6L, 5748545]
[ordered-list, [98.0, 765.0, 636.0, 18.0], shoonya_1sG4VHN2T02S6L, 5748545]
[ordered-list, [98.0, 783.0, 636.0, 18.0], shoonya_1sG4VHN2T02S6L, 5748545]
[ordered-list, [98.0, 801.0, 636.0, 18.0], shoonya_1sG4VHN2T02S6L, 5748545]
[ordered-list, [98.0, 819.0, 636.0, 18.0], shoonya_1sG4VHN2T02S6L, 5748545]
[ordered-list, [98.0, 837.0, 636.0, 18.0], shoonya_1sG4VHN2T02S6L, 5748545]
[ordered-list, [98.0, 855.0, 636.0, 18.0], shoonya_1sG4VHN2T02S6L, 5748545]
[ordered-list, [98.0, 873.0, 636.0, 18.0], shoonya_1sG4VHN2T02S6L, 5748545]
[ordered-list, [98.0, 891.0, 636.0, 18.0], shoonya_1sG4VHN2T02S6L, 5748545]
[ordered-list, [98.0, 909.0, 636.0, 18.0], shoonya_1sG4VHN2T02S6L, 5748545]
[ordered-list, [98.0, 927.0, 636.0, 18.0], shoonya_1sG4VHN2T02S6L, 5748545]
[ordered-list, [98.0, 945.0, 636.0, 18.0], shoonya_1sG4VHN2T02S6L, 5748545]
[ordered-list, [98.0, 963.0, 636.0, 18.0], shoonya_1sG4VHN2T02S6L, 5748545]
[ordered-list, [98.0, 981.0, 636.0, 18.0], shoonya_1sG4VHN2T02S6L, 5748545]
[ordered-list, [98.0, 999.0, 636.0, 18.0], shoonya_1sG4VHN2T02S6L, 5748545]
[ordered-list, [98.0, 1017.0, 636.0, 18.0], shoonya_1sG4VHN2T02S6L, 5748545]
