[2200, 1700]
[paragraph, [277.0, 225.0, 1137.0, 36.0], shoonya_1sFTKGE20OTJ4J, 5686473]
[paragraph, [277.0, 261.0, 1137.0, 36.0], shoonya_1sFTKGE20OTJ4J, 5686473]
[paragraph, [277.0, 297.0, 1137.0, 36.0], shoonya_1sFTKGE20OTJ4J, 5686473]
[paragraph, [277.0, 333.0, 1137.0, 36.0], shoonya_1sFTKGE20OTJ4J, 5686473]
[paragraph, [277.0, 369.0, 1137.0, 36.0], shoonya_1sFTKGE20OTJ4J, 5686473]
[paragraph, [277.0, 405.0, 1137.0, 36.0], shoonya_1sFTKGE20OTJ4J, 5686473]
[paragraph, [277.0, 441.0, 1137.0, 36.0], shoonya_1sFTKGE20OTJ4J, 5686473]
[paragraph, [277.0, 477.0, 1137.0, 36.0], shoonya_1sFTKGE20OTJ4J, 5686473]
[paragraph, [277.0, 513.0, 1137.0, 36.0], shoonya_1sFTKGE20OTJ4J, 5686473]
[paragraph, [277.0, 549.0, 1137.0, 36.0], shoonya_1sFTKGE20OTJ4J, 5686473]
[paragraph, [277.0, 585.0, 1137.0, 36.0], shoonya_1sFTKGE20OTJ4J, 5686473]
[paragraph, [277.0, 621.0, 1137.0, 36.0], shoonya_1sFTKGE20OTJ4J, 5686473]
[paragraph, [277.0, 657.0, 1137.0, 36.0], shoonya_1sFTKGE20OTJ4J, 5686473]
[paragraph, [277.0, 693.0, 1137.0, 36.0], shoonya_1sFTKGE20OTJ4J, 5686473]
[paragraph, [277.0, 729.0, 1137.0, 36.0], shoonya_1sFTKGE20OTJ4J, 5686473]
[paragraph, [277.0, 765.0, 1137.0, 36.0], shoonya_1sFTKGE20OTJ4J, 5686473]
[paragraph, [280.0, 858.0, 1133.0, 36.0], shoonya_0sFRCR4Q41J9QN, 5686473]
[paragraph, [280.0, 894.0, 1133.0, 36.0], shoonya_0sFRCR4Q41J9QN, 5686473]
[paragraph, [280.0, 930.0, 1133.0, 36.0], shoonya_0sFRCR4Q41J9QN, 5686473]
[paragraph, [280.0, 966.0, 1133.0, 36.0], shoonya_0sFRCR4Q41J9QN, 5686473]
[paragraph, [280.0, 1002.0, 1133.0, 36.0], shoonya_0sFRCR4Q41J9QN, 5686473]
[paragraph, [280.0, 1038.0, 1133.0, 36.0], shoonya_0sFRCR4Q41J9QN, 5686473]
[paragraph, [280.0, 1074.0, 1133.0, 36.0], shoonya_0sFRCR4Q41J9QN, 5686473]
[paragraph, [280.0, 1110.0, 1133.0, 36.0], shoonya_0sFRCR4Q41J9QN, 5686473]
[paragraph, [280.0, 1146.0, 1133.0, 36.0], shoonya_0sFRCR4Q41J9QN, 5686473]
[paragraph, [280.0, 1182.0, 1133.0, 36.0], shoonya_0sFRCR4Q41J9QN, 5686473]
[paragraph, [280.0, 1218.0, 1133.0, 36.0], shoonya_0sFRCR4Q41J9QN, 5686473]
[paragraph, [280.0, 1254.0, 1133.0, 36.0], shoonya_0sFRCR4Q41J9QN, 5686473]
[paragraph, [280.0, 1290.0, 1133.0, 36.0], shoonya_0sFRCR4Q41J9QN, 5686473]
[paragraph, [280.0, 1326.0, 1133.0, 36.0], shoonya_0sFRCR4Q41J9QN, 5686473]
[paragraph, [280.0, 1362.0, 1133.0, 36.0], shoonya_0sFRCR4Q41J9QN, 5686473]
[paragraph, [280.0, 1398.0, 1133.0, 36.0], shoonya_0sFRCR4Q41J9QN, 5686473]
[paragraph, [280.0, 1434.0, 1133.0, 36.0], shoonya_0sFRCR4Q41J9QN, 5686473]
[paragraph, [280.0, 1470.0, 1133.0, 36.0], shoonya_0sFRCR4Q41J9QN, 5686473]
[paragraph, [280.0, 1506.0, 1133.0, 36.0], shoonya_0sFRCR4Q41J9QN, 5686473]
[paragraph, [280.0, 1542.0, 1133.0, 36.0], shoonya_0sFRCR4Q41J9QN, 5686473]
[paragraph, [280.0, 1578.0, 1133.0, 36.0], shoonya_0sFRCR4Q41J9QN, 5686473]
[paragraph, [280.0, 1614.0, 1133.0, 36.0], shoonya_0sFRCR4Q41J9QN, 5686473]
[paragraph, [280.0, 1650.0, 1133.0, 36.0], shoonya_0sFRCR4Q41J9QN, 5686473]
[paragraph, [280.0, 1686.0, 1133.0, 36.0], shoonya_0sFRCR4Q41J9QN, 5686473]
[paragraph, [280.0, 1722.0, 1133.0, 36.0], shoonya_0sFRCR4Q41J9QN, 5686473]
[paragraph, [280.0, 1758.0, 1133.0, 36.0], shoonya_0sFRCR4Q41J9QN, 5686473]
[paragraph, [280.0, 1794.0, 1133.0, 36.0], shoonya_0sFRCR4Q41J9QN, 5686473]
