[842, 596]
[sub-section-title, [249.0, 76.0, 103.0, 25.5], z0TxCP2s-7, 5689142]
[ordered-list, [66.0, 129.0, 457.0, 18.0], quNy-bpFDp, 5689142]
[ordered-list, [66.0, 147.0, 457.0, 18.0], quNy-bpFDp, 5689142]
[ordered-list, [66.0, 165.0, 457.0, 18.0], quNy-bpFDp, 5689142]
[ordered-list, [66.0, 183.0, 457.0, 18.0], quNy-bpFDp, 5689142]
[ordered-list, [66.0, 201.0, 457.0, 18.0], quNy-bpFDp, 5689142]
[ordered-list, [66.0, 219.0, 457.0, 18.0], quNy-bpFDp, 5689142]
[ordered-list, [66.0, 237.0, 457.0, 18.0], quNy-bpFDp, 5689142]
[ordered-list, [66.0, 255.0, 457.0, 18.0], quNy-bpFDp, 5689142]
[ordered-list, [66.0, 273.0, 457.0, 18.0], quNy-bpFDp, 5689142]
[ordered-list, [66.0, 291.0, 457.0, 18.0], quNy-bpFDp, 5689142]
[reference, [67.0, 342.0, 414.0, 18.0], rWYG_F4b7T, 5689142]
[reference, [67.0, 360.0, 414.0, 18.0], rWYG_F4b7T, 5689142]
[reference, [67.0, 378.0, 414.0, 18.0], rWYG_F4b7T, 5689142]
[reference, [67.0, 396.0, 414.0, 18.0], rWYG_F4b7T, 5689142]
[reference, [67.0, 414.0, 414.0, 18.0], rWYG_F4b7T, 5689142]
[reference, [67.0, 432.0, 414.0, 18.0], rWYG_F4b7T, 5689142]
[reference, [67.0, 450.0, 414.0, 18.0], rWYG_F4b7T, 5689142]
[reference, [67.0, 468.0, 414.0, 18.0], rWYG_F4b7T, 5689142]
[reference, [67.0, 486.0, 414.0, 18.0], rWYG_F4b7T, 5689142]
[reference, [67.0, 504.0, 414.0, 18.0], rWYG_F4b7T, 5689142]
[reference, [67.0, 522.0, 414.0, 18.0], rWYG_F4b7T, 5689142]
[reference, [67.0, 540.0, 414.0, 18.0], rWYG_F4b7T, 5689142]
[reference, [67.0, 558.0, 414.0, 18.0], rWYG_F4b7T, 5689142]
[reference, [67.0, 576.0, 414.0, 18.0], rWYG_F4b7T, 5689142]
[reference, [67.0, 594.0, 414.0, 18.0], rWYG_F4b7T, 5689142]
[reference, [67.0, 612.0, 414.0, 18.0], rWYG_F4b7T, 5689142]
[reference, [67.0, 630.0, 414.0, 18.0], rWYG_F4b7T, 5689142]
[reference, [67.0, 648.0, 414.0, 18.0], rWYG_F4b7T, 5689142]
[reference, [67.0, 666.0, 414.0, 18.0], rWYG_F4b7T, 5689142]
[reference, [67.0, 684.0, 414.0, 18.0], rWYG_F4b7T, 5689142]
[reference, [67.0, 702.0, 414.0, 18.0], rWYG_F4b7T, 5689142]
