[2342, 1656]
[folio, [368.0, 39.0, 215.0, 36.0], o_GKd_Pchc, 5654084]
[section-title, [564.0, 203.0, 524.0, 52.5], shoonya_8sDWOP4WMTT6QV, 5654084]
[paragraph, [35.0, 286.0, 1581.0, 36.0], shoonya_0sDE2VYOLSFB5M, 5654084]
[paragraph, [35.0, 322.0, 1581.0, 36.0], shoonya_0sDE2VYOLSFB5M, 5654084]
[paragraph, [35.0, 358.0, 1581.0, 36.0], shoonya_0sDE2VYOLSFB5M, 5654084]
[paragraph, [35.0, 394.0, 1581.0, 36.0], shoonya_0sDE2VYOLSFB5M, 5654084]
[paragraph, [35.0, 430.0, 1581.0, 36.0], shoonya_0sDE2VYOLSFB5M, 5654084]
[paragraph, [35.0, 466.0, 1581.0, 36.0], shoonya_0sDE2VYOLSFB5M, 5654084]
[paragraph, [35.0, 502.0, 1581.0, 36.0], shoonya_0sDE2VYOLSFB5M, 5654084]
[paragraph, [35.0, 538.0, 1581.0, 36.0], shoonya_0sDE2VYOLSFB5M, 5654084]
[paragraph, [35.0, 574.0, 1581.0, 36.0], shoonya_0sDE2VYOLSFB5M, 5654084]
[paragraph, [35.0, 610.0, 1581.0, 36.0], shoonya_0sDE2VYOLSFB5M, 5654084]
[paragraph, [31.0, 663.0, 1600.0, 36.0], shoonya_3sXT99XEQOMAWZ, 5654084]
[paragraph, [31.0, 699.0, 1600.0, 36.0], shoonya_3sXT99XEQOMAWZ, 5654084]
[paragraph, [31.0, 735.0, 1600.0, 36.0], shoonya_3sXT99XEQOMAWZ, 5654084]
[paragraph, [31.0, 771.0, 1600.0, 36.0], shoonya_3sXT99XEQOMAWZ, 5654084]
[paragraph, [31.0, 807.0, 1600.0, 36.0], shoonya_3sXT99XEQOMAWZ, 5654084]
[paragraph, [31.0, 843.0, 1600.0, 36.0], shoonya_3sXT99XEQOMAWZ, 5654084]
[paragraph, [31.0, 879.0, 1600.0, 36.0], shoonya_3sXT99XEQOMAWZ, 5654084]
[paragraph, [31.0, 915.0, 1600.0, 36.0], shoonya_3sXT99XEQOMAWZ, 5654084]
[paragraph, [31.0, 951.0, 1600.0, 36.0], shoonya_3sXT99XEQOMAWZ, 5654084]
[paragraph, [31.0, 987.0, 1600.0, 36.0], shoonya_3sXT99XEQOMAWZ, 5654084]
[paragraph, [31.0, 1023.0, 1600.0, 36.0], shoonya_3sXT99XEQOMAWZ, 5654084]
[paragraph, [31.0, 1059.0, 1600.0, 36.0], shoonya_3sXT99XEQOMAWZ, 5654084]
[paragraph, [31.0, 1095.0, 1600.0, 36.0], shoonya_3sXT99XEQOMAWZ, 5654084]
[paragraph, [31.0, 1131.0, 1600.0, 36.0], shoonya_3sXT99XEQOMAWZ, 5654084]
[paragraph, [31.0, 1167.0, 1600.0, 36.0], shoonya_3sXT99XEQOMAWZ, 5654084]
[paragraph, [33.0, 1232.0, 1604.0, 36.0], shoonya_6s5IYCY0UDU2RI, 5654084]
[paragraph, [33.0, 1268.0, 1604.0, 36.0], shoonya_6s5IYCY0UDU2RI, 5654084]
[paragraph, [33.0, 1304.0, 1604.0, 36.0], shoonya_6s5IYCY0UDU2RI, 5654084]
[paragraph, [33.0, 1340.0, 1604.0, 36.0], shoonya_6s5IYCY0UDU2RI, 5654084]
[paragraph, [33.0, 1376.0, 1604.0, 36.0], shoonya_6s5IYCY0UDU2RI, 5654084]
[paragraph, [33.0, 1412.0, 1604.0, 36.0], shoonya_6s5IYCY0UDU2RI, 5654084]
[paragraph, [33.0, 1448.0, 1604.0, 36.0], shoonya_6s5IYCY0UDU2RI, 5654084]
[paragraph, [0.0, 1494.0, 1631.0, 36.0], kWsYjNeFEl, 5654084]
[paragraph, [0.0, 1530.0, 1631.0, 36.0], kWsYjNeFEl, 5654084]
[paragraph, [0.0, 1566.0, 1631.0, 36.0], kWsYjNeFEl, 5654084]
[paragraph, [0.0, 1602.0, 1631.0, 36.0], kWsYjNeFEl, 5654084]
[paragraph, [0.0, 1638.0, 1631.0, 36.0], kWsYjNeFEl, 5654084]
[paragraph, [0.0, 1674.0, 1631.0, 36.0], kWsYjNeFEl, 5654084]
[paragraph, [0.0, 1710.0, 1631.0, 36.0], kWsYjNeFEl, 5654084]
[paragraph, [0.0, 1746.0, 1631.0, 36.0], kWsYjNeFEl, 5654084]
[paragraph, [37.0, 1816.0, 1585.0, 36.0], vm5nlB0zMu, 5654084]
[paragraph, [37.0, 1852.0, 1585.0, 36.0], vm5nlB0zMu, 5654084]
[paragraph, [37.0, 1888.0, 1585.0, 36.0], vm5nlB0zMu, 5654084]
[paragraph, [37.0, 1924.0, 1585.0, 36.0], vm5nlB0zMu, 5654084]
[paragraph, [37.0, 1960.0, 1585.0, 36.0], vm5nlB0zMu, 5654084]
[paragraph, [37.0, 1996.0, 1585.0, 36.0], vm5nlB0zMu, 5654084]
[paragraph, [37.0, 2032.0, 1585.0, 36.0], vm5nlB0zMu, 5654084]
[paragraph, [37.0, 2068.0, 1585.0, 36.0], vm5nlB0zMu, 5654084]
[paragraph, [39.0, 2133.0, 1616.0, 36.0], _6Gs9a_XvD, 5654084]
[paragraph, [39.0, 2169.0, 1616.0, 36.0], _6Gs9a_XvD, 5654084]
[paragraph, [39.0, 2205.0, 1616.0, 36.0], _6Gs9a_XvD, 5654084]
