[1638, 1048]
[folio, [746.0, 97.0, 139.0, 36.0], shoonya_0sDQX1APT0HLOV, 5681291]
[paragraph, [106.0, 159.0, 839.0, 36.0], shoonya_3sJYN4HZ7R6HM0, 5681291]
[paragraph, [106.0, 195.0, 839.0, 36.0], shoonya_3sJYN4HZ7R6HM0, 5681291]
[paragraph, [106.0, 231.0, 839.0, 36.0], shoonya_3sJYN4HZ7R6HM0, 5681291]
[paragraph, [106.0, 267.0, 839.0, 36.0], shoonya_3sJYN4HZ7R6HM0, 5681291]
[paragraph, [106.0, 303.0, 839.0, 36.0], shoonya_3sJYN4HZ7R6HM0, 5681291]
[paragraph, [105.0, 377.0, 844.0, 36.0], shoonya_4s7P4CIE3IKFZG, 5681291]
[paragraph, [105.0, 413.0, 844.0, 36.0], shoonya_4s7P4CIE3IKFZG, 5681291]
[paragraph, [105.0, 449.0, 844.0, 36.0], shoonya_4s7P4CIE3IKFZG, 5681291]
[paragraph, [105.0, 485.0, 844.0, 36.0], shoonya_4s7P4CIE3IKFZG, 5681291]
[paragraph, [105.0, 521.0, 844.0, 36.0], shoonya_4s7P4CIE3IKFZG, 5681291]
[paragraph, [101.0, 592.0, 849.0, 36.0], shoonya_5sVUSY5I578ADR, 5681291]
[paragraph, [101.0, 628.0, 849.0, 36.0], shoonya_5sVUSY5I578ADR, 5681291]
[paragraph, [101.0, 664.0, 849.0, 36.0], shoonya_5sVUSY5I578ADR, 5681291]
[paragraph, [97.0, 725.0, 853.0, 36.0], WOiaDv5Erq, 5681291]
[paragraph, [97.0, 761.0, 853.0, 36.0], WOiaDv5Erq, 5681291]
[paragraph, [97.0, 797.0, 853.0, 36.0], WOiaDv5Erq, 5681291]
[paragraph, [97.0, 833.0, 853.0, 36.0], WOiaDv5Erq, 5681291]
[paragraph, [97.0, 869.0, 853.0, 36.0], WOiaDv5Erq, 5681291]
[paragraph, [97.0, 905.0, 853.0, 36.0], WOiaDv5Erq, 5681291]
[paragraph, [108.0, 980.0, 845.0, 36.0], te_ixDWLgO, 5681291]
[paragraph, [108.0, 1016.0, 845.0, 36.0], te_ixDWLgO, 5681291]
[paragraph, [108.0, 1052.0, 845.0, 36.0], te_ixDWLgO, 5681291]
[paragraph, [108.0, 1088.0, 845.0, 36.0], te_ixDWLgO, 5681291]
[paragraph, [108.0, 1124.0, 845.0, 36.0], te_ixDWLgO, 5681291]
[paragraph, [108.0, 1160.0, 845.0, 36.0], te_ixDWLgO, 5681291]
[paragraph, [168.0, 1200.0, 780.0, 36.0], 2I3_uur9WP, 5681291]
[paragraph, [93.0, 1242.0, 867.0, 36.0], itLptYJ9Ng, 5681291]
[paragraph, [93.0, 1278.0, 867.0, 36.0], itLptYJ9Ng, 5681291]
[paragraph, [178.0, 1326.0, 645.0, 36.0], RFVFs5OKoH, 5681291]
[paragraph, [109.0, 1371.0, 834.0, 36.0], kvlE1tPa-m, 5681291]
[paragraph, [109.0, 1407.0, 834.0, 36.0], kvlE1tPa-m, 5681291]
[paragraph, [109.0, 1443.0, 834.0, 36.0], kvlE1tPa-m, 5681291]
[paragraph, [181.0, 1497.0, 766.0, 36.0], 2twI6HtV7J, 5681291]
