[1736, 1323]
[headline, [251.0, 137.0, 835.0, 37.5], shoonya_8sQHCK3038DR9R, 5771840]
[headline, [251.0, 174.5, 835.0, 37.5], shoonya_8sQHCK3038DR9R, 5771840]
[headline, [251.0, 212.0, 835.0, 37.5], shoonya_8sQHCK3038DR9R, 5771840]
[headline, [251.0, 249.5, 835.0, 37.5], shoonya_8sQHCK3038DR9R, 5771840]
[headline, [251.0, 287.0, 835.0, 37.5], shoonya_8sQHCK3038DR9R, 5771840]
[headline, [251.0, 324.5, 835.0, 37.5], shoonya_8sQHCK3038DR9R, 5771840]
[paragraph, [122.0, 419.0, 535.0, 36.0], shoonya_4sV5WHGB8UBPQL, 5771840]
[paragraph, [122.0, 455.0, 535.0, 36.0], shoonya_4sV5WHGB8UBPQL, 5771840]
[paragraph, [122.0, 491.0, 535.0, 36.0], shoonya_4sV5WHGB8UBPQL, 5771840]
[paragraph, [122.0, 527.0, 535.0, 36.0], shoonya_4sV5WHGB8UBPQL, 5771840]
[paragraph, [122.0, 563.0, 535.0, 36.0], shoonya_4sV5WHGB8UBPQL, 5771840]
[paragraph, [122.0, 599.0, 535.0, 36.0], shoonya_4sV5WHGB8UBPQL, 5771840]
[paragraph, [122.0, 635.0, 535.0, 36.0], shoonya_4sV5WHGB8UBPQL, 5771840]
[paragraph, [122.0, 671.0, 535.0, 36.0], shoonya_4sV5WHGB8UBPQL, 5771840]
[paragraph, [664.0, 432.0, 534.0, 36.0], shoonya_3s9DXB9RK8250P, 5771840]
[paragraph, [664.0, 468.0, 534.0, 36.0], shoonya_3s9DXB9RK8250P, 5771840]
[paragraph, [664.0, 504.0, 534.0, 36.0], shoonya_3s9DXB9RK8250P, 5771840]
[paragraph, [664.0, 540.0, 534.0, 36.0], shoonya_3s9DXB9RK8250P, 5771840]
[paragraph, [664.0, 576.0, 534.0, 36.0], shoonya_3s9DXB9RK8250P, 5771840]
[paragraph, [664.0, 612.0, 534.0, 36.0], shoonya_3s9DXB9RK8250P, 5771840]
[paragraph, [664.0, 648.0, 534.0, 36.0], shoonya_3s9DXB9RK8250P, 5771840]
[section-title, [671.0, 702.0, 518.0, 49.5], shoonya_7sHMKFI942B9CG, 5771840]
[paragraph, [120.0, 732.0, 535.0, 36.0], shoonya_1sS7D9WF7X0GH7, 5771840]
[paragraph, [120.0, 768.0, 535.0, 36.0], shoonya_1sS7D9WF7X0GH7, 5771840]
[paragraph, [120.0, 804.0, 535.0, 36.0], shoonya_1sS7D9WF7X0GH7, 5771840]
[paragraph, [120.0, 840.0, 535.0, 36.0], shoonya_1sS7D9WF7X0GH7, 5771840]
[paragraph, [120.0, 876.0, 535.0, 36.0], shoonya_1sS7D9WF7X0GH7, 5771840]
[paragraph, [120.0, 912.0, 535.0, 36.0], shoonya_1sS7D9WF7X0GH7, 5771840]
[paragraph, [120.0, 948.0, 535.0, 36.0], shoonya_1sS7D9WF7X0GH7, 5771840]
[paragraph, [120.0, 984.0, 535.0, 36.0], shoonya_1sS7D9WF7X0GH7, 5771840]
[paragraph, [120.0, 1020.0, 535.0, 36.0], shoonya_1sS7D9WF7X0GH7, 5771840]
[paragraph, [120.0, 1056.0, 535.0, 36.0], shoonya_1sS7D9WF7X0GH7, 5771840]
[paragraph, [663.0, 801.0, 535.0, 36.0], shoonya_5sZ6WUIA56WGWY, 5771840]
[paragraph, [663.0, 837.0, 535.0, 36.0], shoonya_5sZ6WUIA56WGWY, 5771840]
[sub-section-title, [852.0, 908.0, 164.0, 36.0], shoonya_6s6YYNP9SWOIW6, 5771840]
[paragraph, [663.0, 952.0, 540.0, 36.0], shoonya_2sRLU4GYSTPEUM, 5771840]
[paragraph, [663.0, 988.0, 540.0, 36.0], shoonya_2sRLU4GYSTPEUM, 5771840]
[paragraph, [663.0, 1024.0, 540.0, 36.0], shoonya_2sRLU4GYSTPEUM, 5771840]
[paragraph, [663.0, 1060.0, 540.0, 36.0], shoonya_2sRLU4GYSTPEUM, 5771840]
[paragraph, [663.0, 1096.0, 540.0, 36.0], shoonya_2sRLU4GYSTPEUM, 5771840]
[paragraph, [663.0, 1132.0, 540.0, 36.0], shoonya_2sRLU4GYSTPEUM, 5771840]
[paragraph, [663.0, 1168.0, 540.0, 36.0], shoonya_2sRLU4GYSTPEUM, 5771840]
