[1050, 693]
[folio, [88.0, 73.0, 87.0, 18.0], shoonya_4s99QYI06SCKS1, 5701677]
[folio, [88.0, 91.0, 87.0, 18.0], shoonya_4s99QYI06SCKS1, 5701677]
[paragraph, [74.0, 116.0, 539.0, 18.0], oJfyh8WuSZ, 5701677]
[paragraph, [74.0, 134.0, 539.0, 18.0], oJfyh8WuSZ, 5701677]
[paragraph, [74.0, 152.0, 539.0, 18.0], oJfyh8WuSZ, 5701677]
[paragraph, [80.0, 181.0, 529.0, 18.0], shoonya_0sD4BL5XFTJZTY, 5701677]
[paragraph, [80.0, 199.0, 529.0, 18.0], shoonya_0sD4BL5XFTJZTY, 5701677]
[paragraph, [80.0, 217.0, 529.0, 18.0], shoonya_0sD4BL5XFTJZTY, 5701677]
[paragraph, [80.0, 235.0, 529.0, 18.0], shoonya_0sD4BL5XFTJZTY, 5701677]
[paragraph, [80.0, 253.0, 529.0, 18.0], shoonya_0sD4BL5XFTJZTY, 5701677]
[paragraph, [80.0, 271.0, 529.0, 18.0], shoonya_0sD4BL5XFTJZTY, 5701677]
[paragraph, [80.0, 289.0, 529.0, 18.0], shoonya_0sD4BL5XFTJZTY, 5701677]
[paragraph, [80.0, 307.0, 529.0, 18.0], shoonya_0sD4BL5XFTJZTY, 5701677]
[paragraph, [80.0, 325.0, 529.0, 18.0], shoonya_0sD4BL5XFTJZTY, 5701677]
[paragraph, [80.0, 343.0, 529.0, 18.0], shoonya_0sD4BL5XFTJZTY, 5701677]
[paragraph, [80.0, 361.0, 529.0, 18.0], shoonya_0sD4BL5XFTJZTY, 5701677]
[paragraph, [80.0, 379.0, 529.0, 18.0], shoonya_0sD4BL5XFTJZTY, 5701677]
[paragraph, [80.0, 397.0, 529.0, 18.0], shoonya_0sD4BL5XFTJZTY, 5701677]
[paragraph, [80.0, 415.0, 529.0, 18.0], shoonya_0sD4BL5XFTJZTY, 5701677]
[paragraph, [80.0, 433.0, 529.0, 18.0], shoonya_0sD4BL5XFTJZTY, 5701677]
[paragraph, [80.0, 451.0, 529.0, 18.0], shoonya_0sD4BL5XFTJZTY, 5701677]
[paragraph, [80.0, 469.0, 529.0, 18.0], shoonya_0sD4BL5XFTJZTY, 5701677]
[paragraph, [80.0, 487.0, 529.0, 18.0], shoonya_0sD4BL5XFTJZTY, 5701677]
[paragraph, [80.0, 505.0, 529.0, 18.0], shoonya_0sD4BL5XFTJZTY, 5701677]
[paragraph, [80.0, 523.0, 529.0, 18.0], shoonya_0sD4BL5XFTJZTY, 5701677]
[paragraph, [80.0, 541.0, 529.0, 18.0], shoonya_0sD4BL5XFTJZTY, 5701677]
[paragraph, [78.0, 586.0, 531.0, 18.0], shoonya_3s4B512TTQAZQZ, 5701677]
[paragraph, [78.0, 604.0, 531.0, 18.0], shoonya_3s4B512TTQAZQZ, 5701677]
[paragraph, [78.0, 622.0, 531.0, 18.0], shoonya_3s4B512TTQAZQZ, 5701677]
[paragraph, [78.0, 640.0, 531.0, 18.0], shoonya_3s4B512TTQAZQZ, 5701677]
[paragraph, [78.0, 658.0, 531.0, 18.0], shoonya_3s4B512TTQAZQZ, 5701677]
[paragraph, [78.0, 676.0, 531.0, 18.0], shoonya_3s4B512TTQAZQZ, 5701677]
[paragraph, [78.0, 694.0, 531.0, 18.0], shoonya_3s4B512TTQAZQZ, 5701677]
[paragraph, [78.0, 712.0, 531.0, 18.0], shoonya_3s4B512TTQAZQZ, 5701677]
