[1754, 1241]
[folio, [839.0, 134.0, 171.0, 36.0], TaiqoHAK22, 5728668]
[paragraph, [165.0, 185.0, 852.0, 36.0], APgZ5oUKLA, 5728668]
[paragraph, [165.0, 221.0, 852.0, 36.0], APgZ5oUKLA, 5728668]
[paragraph, [165.0, 257.0, 852.0, 36.0], APgZ5oUKLA, 5728668]
[paragraph, [165.0, 293.0, 852.0, 36.0], APgZ5oUKLA, 5728668]
[paragraph, [165.0, 329.0, 852.0, 36.0], APgZ5oUKLA, 5728668]
[paragraph, [165.0, 365.0, 852.0, 36.0], APgZ5oUKLA, 5728668]
[paragraph, [164.0, 413.0, 852.0, 36.0], tbM7qGEiJR, 5728668]
[paragraph, [164.0, 449.0, 852.0, 36.0], tbM7qGEiJR, 5728668]
[paragraph, [164.0, 485.0, 852.0, 36.0], tbM7qGEiJR, 5728668]
[paragraph, [164.0, 521.0, 852.0, 36.0], tbM7qGEiJR, 5728668]
[paragraph, [164.0, 557.0, 852.0, 36.0], tbM7qGEiJR, 5728668]
[paragraph, [164.0, 593.0, 852.0, 36.0], tbM7qGEiJR, 5728668]
[paragraph, [164.0, 629.0, 852.0, 36.0], tbM7qGEiJR, 5728668]
[paragraph, [164.0, 665.0, 852.0, 36.0], tbM7qGEiJR, 5728668]
[paragraph, [164.0, 701.0, 852.0, 36.0], tbM7qGEiJR, 5728668]
[paragraph, [164.0, 737.0, 852.0, 36.0], tbM7qGEiJR, 5728668]
[paragraph, [164.0, 773.0, 852.0, 36.0], tbM7qGEiJR, 5728668]
[paragraph, [164.0, 809.0, 852.0, 36.0], tbM7qGEiJR, 5728668]
[paragraph, [164.0, 845.0, 852.0, 36.0], tbM7qGEiJR, 5728668]
[paragraph, [164.0, 881.0, 852.0, 36.0], tbM7qGEiJR, 5728668]
[paragraph, [164.0, 917.0, 852.0, 36.0], tbM7qGEiJR, 5728668]
[paragraph, [164.0, 953.0, 852.0, 36.0], tbM7qGEiJR, 5728668]
[paragraph, [164.0, 989.0, 852.0, 36.0], tbM7qGEiJR, 5728668]
[paragraph, [162.0, 1076.0, 856.0, 36.0], iR0MF_wjj7, 5728668]
[paragraph, [162.0, 1112.0, 856.0, 36.0], iR0MF_wjj7, 5728668]
[paragraph, [162.0, 1148.0, 856.0, 36.0], iR0MF_wjj7, 5728668]
[paragraph, [162.0, 1184.0, 856.0, 36.0], iR0MF_wjj7, 5728668]
[paragraph, [162.0, 1220.0, 856.0, 36.0], iR0MF_wjj7, 5728668]
[paragraph, [162.0, 1256.0, 856.0, 36.0], iR0MF_wjj7, 5728668]
[paragraph, [162.0, 1292.0, 856.0, 36.0], iR0MF_wjj7, 5728668]
[paragraph, [162.0, 1328.0, 856.0, 36.0], iR0MF_wjj7, 5728668]
[paragraph, [162.0, 1364.0, 856.0, 36.0], iR0MF_wjj7, 5728668]
[paragraph, [162.0, 1400.0, 856.0, 36.0], iR0MF_wjj7, 5728668]
[paragraph, [162.0, 1436.0, 856.0, 36.0], iR0MF_wjj7, 5728668]
[paragraph, [162.0, 1472.0, 856.0, 36.0], iR0MF_wjj7, 5728668]
