[842, 595]
[folio, [162.0, 60.0, 250.0, 18.0], 9-1Yfi21W7, 5772680]
[paragraph, [55.0, 93.0, 471.0, 18.0], shoonya_0sFI1JZRTLF2MF, 5772680]
[paragraph, [55.0, 111.0, 471.0, 18.0], shoonya_0sFI1JZRTLF2MF, 5772680]
[paragraph, [55.0, 129.0, 471.0, 18.0], shoonya_0sFI1JZRTLF2MF, 5772680]
[paragraph, [55.0, 147.0, 471.0, 18.0], shoonya_0sFI1JZRTLF2MF, 5772680]
[paragraph, [55.0, 165.0, 471.0, 18.0], shoonya_0sFI1JZRTLF2MF, 5772680]
[paragraph, [57.0, 223.0, 465.0, 18.0], dCMOfymMta, 5772680]
[paragraph, [57.0, 241.0, 465.0, 18.0], dCMOfymMta, 5772680]
[paragraph, [57.0, 259.0, 465.0, 18.0], dCMOfymMta, 5772680]
[paragraph, [57.0, 277.0, 465.0, 18.0], dCMOfymMta, 5772680]
[paragraph, [57.0, 305.0, 466.0, 18.0], bZA2beXOU0, 5772680]
[paragraph, [57.0, 323.0, 466.0, 18.0], bZA2beXOU0, 5772680]
[paragraph, [57.0, 341.0, 466.0, 18.0], bZA2beXOU0, 5772680]
[paragraph, [57.0, 359.0, 466.0, 18.0], bZA2beXOU0, 5772680]
[paragraph, [57.0, 377.0, 466.0, 18.0], bZA2beXOU0, 5772680]
[paragraph, [57.0, 395.0, 466.0, 18.0], bZA2beXOU0, 5772680]
[paragraph, [57.0, 413.0, 466.0, 18.0], bZA2beXOU0, 5772680]
[paragraph, [55.0, 445.0, 470.0, 18.0], dQd98bTPCs, 5772680]
[paragraph, [55.0, 463.0, 470.0, 18.0], dQd98bTPCs, 5772680]
[paragraph, [55.0, 481.0, 470.0, 18.0], dQd98bTPCs, 5772680]
[paragraph, [57.0, 506.0, 468.0, 18.0], P5RAmDZJXI, 5772680]
[paragraph, [57.0, 524.0, 468.0, 18.0], P5RAmDZJXI, 5772680]
[paragraph, [57.0, 542.0, 468.0, 18.0], P5RAmDZJXI, 5772680]
[paragraph, [57.0, 560.0, 468.0, 18.0], P5RAmDZJXI, 5772680]
[paragraph, [57.0, 578.0, 468.0, 18.0], P5RAmDZJXI, 5772680]
[paragraph, [55.0, 608.0, 471.0, 18.0], i8edk72JG0, 5772680]
[paragraph, [55.0, 626.0, 471.0, 18.0], i8edk72JG0, 5772680]
[paragraph, [55.0, 644.0, 471.0, 18.0], i8edk72JG0, 5772680]
[paragraph, [55.0, 662.0, 471.0, 18.0], i8edk72JG0, 5772680]
[paragraph, [55.0, 680.0, 471.0, 18.0], i8edk72JG0, 5772680]
[paragraph, [55.0, 698.0, 471.0, 18.0], i8edk72JG0, 5772680]
