[1775, 1139]
[paragraph, [305.0, 125.0, 728.0, 36.0], 4DQ40piyAS, 5654749]
[paragraph, [305.0, 161.0, 728.0, 36.0], 4DQ40piyAS, 5654749]
[paragraph, [305.0, 197.0, 728.0, 36.0], 4DQ40piyAS, 5654749]
[paragraph, [305.0, 233.0, 728.0, 36.0], 4DQ40piyAS, 5654749]
[paragraph, [305.0, 269.0, 728.0, 36.0], 4DQ40piyAS, 5654749]
[paragraph, [305.0, 305.0, 728.0, 36.0], 4DQ40piyAS, 5654749]
[paragraph, [305.0, 341.0, 728.0, 36.0], 4DQ40piyAS, 5654749]
[paragraph, [305.0, 377.0, 728.0, 36.0], 4DQ40piyAS, 5654749]
[paragraph, [305.0, 413.0, 728.0, 36.0], 4DQ40piyAS, 5654749]
[paragraph, [305.0, 449.0, 728.0, 36.0], 4DQ40piyAS, 5654749]
[paragraph, [305.0, 485.0, 728.0, 36.0], 4DQ40piyAS, 5654749]
[paragraph, [305.0, 521.0, 728.0, 36.0], 4DQ40piyAS, 5654749]
[paragraph, [305.0, 557.0, 728.0, 36.0], 4DQ40piyAS, 5654749]
[paragraph, [305.0, 593.0, 728.0, 36.0], 4DQ40piyAS, 5654749]
[paragraph, [308.0, 657.0, 789.0, 36.0], GObiXfoNX4, 5654749]
[paragraph, [308.0, 693.0, 789.0, 36.0], GObiXfoNX4, 5654749]
[paragraph, [308.0, 729.0, 789.0, 36.0], GObiXfoNX4, 5654749]
[paragraph, [308.0, 765.0, 789.0, 36.0], GObiXfoNX4, 5654749]
[paragraph, [308.0, 801.0, 789.0, 36.0], GObiXfoNX4, 5654749]
[paragraph, [308.0, 837.0, 789.0, 36.0], GObiXfoNX4, 5654749]
[paragraph, [308.0, 873.0, 789.0, 36.0], GObiXfoNX4, 5654749]
[paragraph, [308.0, 909.0, 789.0, 36.0], GObiXfoNX4, 5654749]
[paragraph, [308.0, 945.0, 789.0, 36.0], GObiXfoNX4, 5654749]
[paragraph, [308.0, 981.0, 789.0, 36.0], GObiXfoNX4, 5654749]
[paragraph, [307.0, 1049.0, 597.0, 36.0], 4mVB6bEKIF, 5654749]
[paragraph, [307.0, 1085.0, 597.0, 36.0], 4mVB6bEKIF, 5654749]
[paragraph, [307.0, 1121.0, 597.0, 36.0], 4mVB6bEKIF, 5654749]
[paragraph, [307.0, 1157.0, 597.0, 36.0], 4mVB6bEKIF, 5654749]
[paragraph, [307.0, 1193.0, 597.0, 36.0], 4mVB6bEKIF, 5654749]
[paragraph, [307.0, 1229.0, 597.0, 36.0], 4mVB6bEKIF, 5654749]
[paragraph, [307.0, 1265.0, 597.0, 36.0], 4mVB6bEKIF, 5654749]
[paragraph, [307.0, 1301.0, 597.0, 36.0], 4mVB6bEKIF, 5654749]
[paragraph, [307.0, 1337.0, 597.0, 36.0], 4mVB6bEKIF, 5654749]
[folio, [739.0, 1631.0, 89.0, 36.0], NbxEDIw4ip, 5654749]
