[793, 613]
[headline, [70.0, 56.0, 164.0, 25.5], shoonya_4sHCNETTTZEF6X, 5780548]
[headline, [70.0, 81.5, 164.0, 25.5], shoonya_4sHCNETTTZEF6X, 5780548]
[headline, [70.0, 107.0, 164.0, 25.5], shoonya_4sHCNETTTZEF6X, 5780548]
[headline, [70.0, 132.5, 164.0, 25.5], shoonya_4sHCNETTTZEF6X, 5780548]
[headline, [70.0, 158.0, 164.0, 25.5], shoonya_4sHCNETTTZEF6X, 5780548]
[headline, [70.0, 183.5, 164.0, 25.5], shoonya_4sHCNETTTZEF6X, 5780548]
[headline, [70.0, 209.0, 164.0, 25.5], shoonya_4sHCNETTTZEF6X, 5780548]
[headline, [70.0, 234.5, 164.0, 25.5], shoonya_4sHCNETTTZEF6X, 5780548]
[paragraph, [243.0, 57.0, 292.0, 18.0], shoonya_2sG1AZESO4KR6N, 5780548]
[paragraph, [243.0, 75.0, 292.0, 18.0], shoonya_2sG1AZESO4KR6N, 5780548]
[paragraph, [243.0, 93.0, 292.0, 18.0], shoonya_2sG1AZESO4KR6N, 5780548]
[paragraph, [243.0, 139.0, 290.0, 18.0], shoonya_1sXLHDXVLMNKO2, 5780548]
[paragraph, [243.0, 157.0, 290.0, 18.0], shoonya_1sXLHDXVLMNKO2, 5780548]
[paragraph, [243.0, 175.0, 290.0, 18.0], shoonya_1sXLHDXVLMNKO2, 5780548]
[paragraph, [243.0, 223.0, 299.0, 18.0], shoonya_0sB8XC3UUJHVA1, 5780548]
[paragraph, [243.0, 241.0, 299.0, 18.0], shoonya_0sB8XC3UUJHVA1, 5780548]
[paragraph, [243.0, 259.0, 299.0, 18.0], shoonya_0sB8XC3UUJHVA1, 5780548]
[paragraph, [243.0, 277.0, 299.0, 18.0], shoonya_0sB8XC3UUJHVA1, 5780548]
[paragraph, [243.0, 295.0, 299.0, 18.0], shoonya_0sB8XC3UUJHVA1, 5780548]
[paragraph, [243.0, 313.0, 299.0, 18.0], shoonya_0sB8XC3UUJHVA1, 5780548]
[paragraph, [243.0, 331.0, 299.0, 18.0], shoonya_0sB8XC3UUJHVA1, 5780548]
[paragraph, [243.0, 349.0, 299.0, 18.0], shoonya_0sB8XC3UUJHVA1, 5780548]
[paragraph, [243.0, 367.0, 299.0, 18.0], shoonya_0sB8XC3UUJHVA1, 5780548]
[paragraph, [244.0, 404.0, 301.0, 18.0], shoonya_3sOVKFFUOCA0YZ, 5780548]
[paragraph, [244.0, 422.0, 301.0, 18.0], shoonya_3sOVKFFUOCA0YZ, 5780548]
[paragraph, [244.0, 440.0, 301.0, 18.0], shoonya_3sOVKFFUOCA0YZ, 5780548]
[paragraph, [244.0, 458.0, 301.0, 18.0], shoonya_3sOVKFFUOCA0YZ, 5780548]
[folio, [57.0, 552.0, 86.0, 18.0], shoonya_7sWT6QFE32I4WW, 5780548]
