[1275, 750]
[folio, [315.0, 85.0, 117.0, 18.0], shoonya_2s7OEUX6JTOWCH, 5767076]
[paragraph, [62.0, 138.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 156.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 174.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 192.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 210.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 228.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 246.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 264.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 282.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 300.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 318.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 336.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 354.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 372.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 390.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 408.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 426.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 444.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 462.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 480.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 498.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 516.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 534.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 552.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 570.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 588.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 606.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 624.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 642.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 660.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 678.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 696.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 714.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 732.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 750.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 768.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 786.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 804.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 822.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 840.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 858.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 876.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 894.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 912.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 930.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 948.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 966.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 984.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
[paragraph, [62.0, 1002.0, 632.0, 18.0], shoonya_3sXG1JPTBKDSQU, 5767076]
