[1951, 1219]
[folio, [786.0, 121.0, 188.0, 36.0], 8SZMmgrhSn, 5683262]
[paragraph, [128.0, 209.0, 953.0, 36.0], shoonya_0sKH1CSUS2E4GN, 5683262]
[paragraph, [128.0, 245.0, 953.0, 36.0], shoonya_0sKH1CSUS2E4GN, 5683262]
[paragraph, [128.0, 281.0, 953.0, 36.0], shoonya_0sKH1CSUS2E4GN, 5683262]
[paragraph, [128.0, 317.0, 953.0, 36.0], shoonya_0sKH1CSUS2E4GN, 5683262]
[paragraph, [128.0, 353.0, 953.0, 36.0], shoonya_0sKH1CSUS2E4GN, 5683262]
[paragraph, [128.0, 389.0, 953.0, 36.0], shoonya_0sKH1CSUS2E4GN, 5683262]
[paragraph, [128.0, 425.0, 953.0, 36.0], shoonya_0sKH1CSUS2E4GN, 5683262]
[paragraph, [131.0, 504.0, 961.0, 36.0], 1sxZAv9nH-, 5683262]
[paragraph, [131.0, 540.0, 961.0, 36.0], 1sxZAv9nH-, 5683262]
[paragraph, [131.0, 576.0, 961.0, 36.0], 1sxZAv9nH-, 5683262]
[paragraph, [131.0, 612.0, 961.0, 36.0], 1sxZAv9nH-, 5683262]
[paragraph, [131.0, 648.0, 961.0, 36.0], 1sxZAv9nH-, 5683262]
[paragraph, [131.0, 684.0, 961.0, 36.0], 1sxZAv9nH-, 5683262]
[paragraph, [131.0, 720.0, 961.0, 36.0], 1sxZAv9nH-, 5683262]
[paragraph, [131.0, 756.0, 961.0, 36.0], 1sxZAv9nH-, 5683262]
[paragraph, [131.0, 792.0, 961.0, 36.0], 1sxZAv9nH-, 5683262]
[paragraph, [131.0, 828.0, 961.0, 36.0], 1sxZAv9nH-, 5683262]
[paragraph, [131.0, 864.0, 961.0, 36.0], 1sxZAv9nH-, 5683262]
[paragraph, [131.0, 900.0, 961.0, 36.0], 1sxZAv9nH-, 5683262]
[paragraph, [131.0, 936.0, 961.0, 36.0], 1sxZAv9nH-, 5683262]
[paragraph, [131.0, 972.0, 961.0, 36.0], 1sxZAv9nH-, 5683262]
[paragraph, [131.0, 1008.0, 961.0, 36.0], 1sxZAv9nH-, 5683262]
[paragraph, [131.0, 1044.0, 961.0, 36.0], 1sxZAv9nH-, 5683262]
[paragraph, [131.0, 1080.0, 961.0, 36.0], 1sxZAv9nH-, 5683262]
[paragraph, [131.0, 1116.0, 961.0, 36.0], 1sxZAv9nH-, 5683262]
[paragraph, [131.0, 1152.0, 961.0, 36.0], 1sxZAv9nH-, 5683262]
[paragraph, [131.0, 1188.0, 961.0, 36.0], 1sxZAv9nH-, 5683262]
[paragraph, [132.0, 1260.0, 956.0, 36.0], t8iKlXAAnb, 5683262]
[paragraph, [132.0, 1296.0, 956.0, 36.0], t8iKlXAAnb, 5683262]
[paragraph, [132.0, 1332.0, 956.0, 36.0], t8iKlXAAnb, 5683262]
[paragraph, [132.0, 1368.0, 956.0, 36.0], t8iKlXAAnb, 5683262]
[paragraph, [132.0, 1404.0, 956.0, 36.0], t8iKlXAAnb, 5683262]
[paragraph, [132.0, 1440.0, 956.0, 36.0], t8iKlXAAnb, 5683262]
[paragraph, [132.0, 1476.0, 956.0, 36.0], t8iKlXAAnb, 5683262]
[paragraph, [132.0, 1512.0, 956.0, 36.0], t8iKlXAAnb, 5683262]
[paragraph, [132.0, 1548.0, 956.0, 36.0], t8iKlXAAnb, 5683262]
[paragraph, [132.0, 1584.0, 956.0, 36.0], t8iKlXAAnb, 5683262]
[paragraph, [132.0, 1620.0, 956.0, 36.0], t8iKlXAAnb, 5683262]
[paragraph, [132.0, 1656.0, 956.0, 36.0], t8iKlXAAnb, 5683262]
[paragraph, [132.0, 1692.0, 956.0, 36.0], t8iKlXAAnb, 5683262]
[paragraph, [132.0, 1728.0, 956.0, 36.0], t8iKlXAAnb, 5683262]
[paragraph, [204.0, 1778.0, 888.0, 36.0], shoonya_1sKZXZ2L1L4G53, 5683262]
