[1650, 934]
[folio, [382.0, 99.0, 254.0, 36.0], WSyY6-4zBQ, 5766587]
[paragraph, [108.0, 162.0, 798.0, 36.0], BhnpKpXL5R, 5766587]
[paragraph, [108.0, 198.0, 798.0, 36.0], BhnpKpXL5R, 5766587]
[paragraph, [108.0, 234.0, 798.0, 36.0], BhnpKpXL5R, 5766587]
[paragraph, [108.0, 270.0, 798.0, 36.0], BhnpKpXL5R, 5766587]
[paragraph, [108.0, 306.0, 798.0, 36.0], BhnpKpXL5R, 5766587]
[paragraph, [108.0, 342.0, 798.0, 36.0], BhnpKpXL5R, 5766587]
[paragraph, [108.0, 378.0, 798.0, 36.0], BhnpKpXL5R, 5766587]
[paragraph, [102.0, 422.0, 798.0, 36.0], d55Sm9833X, 5766587]
[paragraph, [102.0, 458.0, 798.0, 36.0], d55Sm9833X, 5766587]
[paragraph, [102.0, 494.0, 798.0, 36.0], d55Sm9833X, 5766587]
[paragraph, [102.0, 530.0, 798.0, 36.0], d55Sm9833X, 5766587]
[paragraph, [102.0, 566.0, 798.0, 36.0], d55Sm9833X, 5766587]
[paragraph, [102.0, 602.0, 798.0, 36.0], d55Sm9833X, 5766587]
[paragraph, [102.0, 638.0, 798.0, 36.0], d55Sm9833X, 5766587]
[paragraph, [102.0, 674.0, 798.0, 36.0], d55Sm9833X, 5766587]
[paragraph, [102.0, 710.0, 798.0, 36.0], d55Sm9833X, 5766587]
[paragraph, [102.0, 746.0, 798.0, 36.0], d55Sm9833X, 5766587]
[paragraph, [106.0, 823.0, 801.0, 36.0], shoonya_0s1UWTUKYE1YCC, 5766587]
[paragraph, [106.0, 859.0, 801.0, 36.0], shoonya_0s1UWTUKYE1YCC, 5766587]
[paragraph, [106.0, 895.0, 801.0, 36.0], shoonya_0s1UWTUKYE1YCC, 5766587]
[paragraph, [106.0, 931.0, 801.0, 36.0], shoonya_0s1UWTUKYE1YCC, 5766587]
[paragraph, [106.0, 967.0, 801.0, 36.0], shoonya_0s1UWTUKYE1YCC, 5766587]
[paragraph, [106.0, 1003.0, 801.0, 36.0], shoonya_0s1UWTUKYE1YCC, 5766587]
[paragraph, [106.0, 1039.0, 801.0, 36.0], shoonya_0s1UWTUKYE1YCC, 5766587]
[paragraph, [106.0, 1075.0, 801.0, 36.0], shoonya_0s1UWTUKYE1YCC, 5766587]
[paragraph, [106.0, 1111.0, 801.0, 36.0], shoonya_0s1UWTUKYE1YCC, 5766587]
[paragraph, [106.0, 1147.0, 801.0, 36.0], shoonya_0s1UWTUKYE1YCC, 5766587]
[paragraph, [106.0, 1183.0, 801.0, 36.0], shoonya_0s1UWTUKYE1YCC, 5766587]
[paragraph, [106.0, 1219.0, 801.0, 36.0], shoonya_0s1UWTUKYE1YCC, 5766587]
[paragraph, [106.0, 1255.0, 801.0, 36.0], shoonya_0s1UWTUKYE1YCC, 5766587]
[paragraph, [106.0, 1291.0, 801.0, 36.0], shoonya_0s1UWTUKYE1YCC, 5766587]
[paragraph, [106.0, 1327.0, 801.0, 36.0], shoonya_0s1UWTUKYE1YCC, 5766587]
[paragraph, [106.0, 1363.0, 801.0, 36.0], shoonya_0s1UWTUKYE1YCC, 5766587]
[paragraph, [106.0, 1399.0, 801.0, 36.0], shoonya_0s1UWTUKYE1YCC, 5766587]
[paragraph, [106.0, 1435.0, 801.0, 36.0], shoonya_0s1UWTUKYE1YCC, 5766587]
