[1650, 1275]
[section-title, [371.0, 134.0, 552.0, 49.5], shoonya_1sXI5TNTFQMVIM, 5709679]
[paragraph, [151.0, 240.0, 988.0, 36.0], t477gjk0Wj, 5709679]
[paragraph, [151.0, 276.0, 988.0, 36.0], t477gjk0Wj, 5709679]
[paragraph, [151.0, 312.0, 988.0, 36.0], t477gjk0Wj, 5709679]
[paragraph, [151.0, 348.0, 988.0, 36.0], t477gjk0Wj, 5709679]
[paragraph, [151.0, 384.0, 988.0, 36.0], t477gjk0Wj, 5709679]
[paragraph, [151.0, 420.0, 988.0, 36.0], t477gjk0Wj, 5709679]
[paragraph, [151.0, 456.0, 988.0, 36.0], t477gjk0Wj, 5709679]
[paragraph, [151.0, 492.0, 988.0, 36.0], t477gjk0Wj, 5709679]
[paragraph, [151.0, 528.0, 988.0, 36.0], t477gjk0Wj, 5709679]
[paragraph, [150.0, 578.0, 984.0, 36.0], pVMDmq3kdc, 5709679]
[paragraph, [150.0, 614.0, 984.0, 36.0], pVMDmq3kdc, 5709679]
[paragraph, [150.0, 650.0, 984.0, 36.0], pVMDmq3kdc, 5709679]
[paragraph, [150.0, 686.0, 984.0, 36.0], pVMDmq3kdc, 5709679]
[paragraph, [150.0, 722.0, 984.0, 36.0], pVMDmq3kdc, 5709679]
[paragraph, [150.0, 758.0, 984.0, 36.0], pVMDmq3kdc, 5709679]
[paragraph, [150.0, 794.0, 984.0, 36.0], pVMDmq3kdc, 5709679]
[paragraph, [150.0, 830.0, 984.0, 36.0], pVMDmq3kdc, 5709679]
[paragraph, [150.0, 866.0, 984.0, 36.0], pVMDmq3kdc, 5709679]
[paragraph, [150.0, 902.0, 984.0, 36.0], pVMDmq3kdc, 5709679]
[paragraph, [150.0, 938.0, 984.0, 36.0], pVMDmq3kdc, 5709679]
[paragraph, [150.0, 1005.0, 983.0, 36.0], 3fPjmiHZfz, 5709679]
[paragraph, [150.0, 1041.0, 983.0, 36.0], 3fPjmiHZfz, 5709679]
[paragraph, [150.0, 1077.0, 983.0, 36.0], 3fPjmiHZfz, 5709679]
[paragraph, [150.0, 1113.0, 983.0, 36.0], 3fPjmiHZfz, 5709679]
[paragraph, [150.0, 1149.0, 983.0, 36.0], 3fPjmiHZfz, 5709679]
[paragraph, [150.0, 1185.0, 983.0, 36.0], 3fPjmiHZfz, 5709679]
[paragraph, [150.0, 1221.0, 983.0, 36.0], 3fPjmiHZfz, 5709679]
[paragraph, [150.0, 1257.0, 983.0, 36.0], 3fPjmiHZfz, 5709679]
[paragraph, [150.0, 1293.0, 983.0, 36.0], 3fPjmiHZfz, 5709679]
[paragraph, [150.0, 1329.0, 983.0, 36.0], 3fPjmiHZfz, 5709679]
[paragraph, [150.0, 1365.0, 983.0, 36.0], 3fPjmiHZfz, 5709679]
[paragraph, [150.0, 1401.0, 983.0, 36.0], 3fPjmiHZfz, 5709679]
[paragraph, [151.0, 1469.0, 986.0, 36.0], XA5qRbBCBK, 5709679]
[paragraph, [151.0, 1505.0, 986.0, 36.0], XA5qRbBCBK, 5709679]
