[1044, 769]
[headline, [247.0, 71.0, 445.0, 25.5], shoonya_6sAN9CKIGXH926, 5722323]
[headline, [247.0, 96.5, 445.0, 25.5], shoonya_6sAN9CKIGXH926, 5722323]
[headline, [247.0, 122.0, 445.0, 25.5], shoonya_6sAN9CKIGXH926, 5722323]
[author, [392.0, 171.0, 133.0, 18.0], shoonya_5s01XVHWS2OU8H, 5722323]
[paragraph, [391.0, 210.0, 323.0, 18.0], shoonya_2sSIVA9CO7QEFK, 5722323]
[paragraph, [391.0, 228.0, 323.0, 18.0], shoonya_2sSIVA9CO7QEFK, 5722323]
[paragraph, [391.0, 246.0, 323.0, 18.0], shoonya_2sSIVA9CO7QEFK, 5722323]
[paragraph, [391.0, 264.0, 323.0, 18.0], shoonya_2sSIVA9CO7QEFK, 5722323]
[paragraph, [391.0, 282.0, 323.0, 18.0], shoonya_2sSIVA9CO7QEFK, 5722323]
[paragraph, [391.0, 300.0, 323.0, 18.0], shoonya_2sSIVA9CO7QEFK, 5722323]
[paragraph, [391.0, 318.0, 323.0, 18.0], shoonya_2sSIVA9CO7QEFK, 5722323]
[paragraph, [391.0, 336.0, 323.0, 18.0], shoonya_2sSIVA9CO7QEFK, 5722323]
[paragraph, [391.0, 354.0, 323.0, 18.0], shoonya_2sSIVA9CO7QEFK, 5722323]
[paragraph, [391.0, 372.0, 323.0, 18.0], shoonya_2sSIVA9CO7QEFK, 5722323]
[paragraph, [391.0, 390.0, 323.0, 18.0], shoonya_2sSIVA9CO7QEFK, 5722323]
[author, [85.0, 214.0, 274.0, 18.0], MlS4yrdGii, 5722323]
[paragraph, [62.0, 255.0, 323.0, 18.0], shoonya_4sITLACAAY7T2V, 5722323]
[paragraph, [62.0, 273.0, 323.0, 18.0], shoonya_4sITLACAAY7T2V, 5722323]
[paragraph, [62.0, 291.0, 323.0, 18.0], shoonya_4sITLACAAY7T2V, 5722323]
[paragraph, [62.0, 309.0, 323.0, 18.0], shoonya_4sITLACAAY7T2V, 5722323]
[paragraph, [62.0, 327.0, 323.0, 18.0], shoonya_4sITLACAAY7T2V, 5722323]
[paragraph, [62.0, 345.0, 323.0, 18.0], shoonya_4sITLACAAY7T2V, 5722323]
[paragraph, [62.0, 363.0, 323.0, 18.0], shoonya_4sITLACAAY7T2V, 5722323]
[paragraph, [62.0, 381.0, 323.0, 18.0], shoonya_4sITLACAAY7T2V, 5722323]
[paragraph, [62.0, 399.0, 323.0, 18.0], shoonya_4sITLACAAY7T2V, 5722323]
[paragraph, [62.0, 417.0, 323.0, 18.0], shoonya_4sITLACAAY7T2V, 5722323]
[paragraph, [62.0, 435.0, 323.0, 18.0], shoonya_4sITLACAAY7T2V, 5722323]
[paragraph, [391.0, 421.0, 326.0, 18.0], shoonya_1sXH0GXZ5UHR3U, 5722323]
[paragraph, [391.0, 439.0, 326.0, 18.0], shoonya_1sXH0GXZ5UHR3U, 5722323]
[paragraph, [391.0, 457.0, 326.0, 18.0], shoonya_1sXH0GXZ5UHR3U, 5722323]
[paragraph, [391.0, 475.0, 326.0, 18.0], shoonya_1sXH0GXZ5UHR3U, 5722323]
[paragraph, [391.0, 493.0, 326.0, 18.0], shoonya_1sXH0GXZ5UHR3U, 5722323]
[paragraph, [391.0, 511.0, 326.0, 18.0], shoonya_1sXH0GXZ5UHR3U, 5722323]
[paragraph, [391.0, 529.0, 326.0, 18.0], shoonya_1sXH0GXZ5UHR3U, 5722323]
[paragraph, [391.0, 547.0, 326.0, 18.0], shoonya_1sXH0GXZ5UHR3U, 5722323]
[paragraph, [391.0, 565.0, 326.0, 18.0], shoonya_1sXH0GXZ5UHR3U, 5722323]
[paragraph, [391.0, 583.0, 326.0, 18.0], shoonya_1sXH0GXZ5UHR3U, 5722323]
[paragraph, [391.0, 601.0, 326.0, 18.0], shoonya_1sXH0GXZ5UHR3U, 5722323]
[paragraph, [391.0, 619.0, 326.0, 18.0], shoonya_1sXH0GXZ5UHR3U, 5722323]
[paragraph, [391.0, 637.0, 326.0, 18.0], shoonya_1sXH0GXZ5UHR3U, 5722323]
[paragraph, [391.0, 655.0, 326.0, 18.0], shoonya_1sXH0GXZ5UHR3U, 5722323]
[paragraph, [391.0, 673.0, 326.0, 18.0], shoonya_1sXH0GXZ5UHR3U, 5722323]
[paragraph, [391.0, 691.0, 326.0, 18.0], shoonya_1sXH0GXZ5UHR3U, 5722323]
[paragraph, [391.0, 709.0, 326.0, 18.0], shoonya_1sXH0GXZ5UHR3U, 5722323]
[paragraph, [391.0, 727.0, 326.0, 18.0], shoonya_1sXH0GXZ5UHR3U, 5722323]
[paragraph, [391.0, 745.0, 326.0, 18.0], shoonya_1sXH0GXZ5UHR3U, 5722323]
[paragraph, [391.0, 763.0, 326.0, 18.0], shoonya_1sXH0GXZ5UHR3U, 5722323]
[paragraph, [391.0, 781.0, 326.0, 18.0], shoonya_1sXH0GXZ5UHR3U, 5722323]
[paragraph, [391.0, 799.0, 326.0, 18.0], shoonya_1sXH0GXZ5UHR3U, 5722323]
[paragraph, [391.0, 817.0, 326.0, 18.0], shoonya_1sXH0GXZ5UHR3U, 5722323]
[paragraph, [391.0, 835.0, 326.0, 18.0], shoonya_1sXH0GXZ5UHR3U, 5722323]
[paragraph, [391.0, 853.0, 326.0, 18.0], shoonya_1sXH0GXZ5UHR3U, 5722323]
[paragraph, [391.0, 871.0, 326.0, 18.0], shoonya_1sXH0GXZ5UHR3U, 5722323]
[paragraph, [391.0, 889.0, 326.0, 18.0], shoonya_1sXH0GXZ5UHR3U, 5722323]
[paragraph, [391.0, 907.0, 326.0, 18.0], shoonya_1sXH0GXZ5UHR3U, 5722323]
