[2428, 1814]
[quote, [1441.0, 149.0, 204.0, 36.0], JHe5LgsUWl, 5694689]
[quote, [1441.0, 185.0, 204.0, 36.0], JHe5LgsUWl, 5694689]
[quote, [1441.0, 221.0, 204.0, 36.0], JHe5LgsUWl, 5694689]
[quote, [811.0, 183.0, 175.0, 36.0], shoonya_4sENWE7FBPAVFP, 5694689]
[quote, [811.0, 219.0, 175.0, 36.0], shoonya_4sENWE7FBPAVFP, 5694689]
[quote, [811.0, 255.0, 175.0, 36.0], shoonya_4sENWE7FBPAVFP, 5694689]
[quote, [1516.0, 726.0, 197.0, 36.0], 6zirCbbz6i, 5694689]
[quote, [1516.0, 762.0, 197.0, 36.0], 6zirCbbz6i, 5694689]
[quote, [1516.0, 798.0, 197.0, 36.0], 6zirCbbz6i, 5694689]
[quote, [1516.0, 834.0, 197.0, 36.0], 6zirCbbz6i, 5694689]
[quote, [876.0, 740.0, 186.0, 36.0], JgmrNckD5n, 5694689]
[quote, [876.0, 776.0, 186.0, 36.0], JgmrNckD5n, 5694689]
[quote, [876.0, 812.0, 186.0, 36.0], JgmrNckD5n, 5694689]
[quote, [876.0, 848.0, 186.0, 36.0], JgmrNckD5n, 5694689]
[figure-caption, [181.0, 750.0, 175.0, 36.0], shoonya_1sTPFPYDW0SQFR, 5694689]
[figure-caption, [181.0, 786.0, 175.0, 36.0], shoonya_1sTPFPYDW0SQFR, 5694689]
[figure-caption, [181.0, 822.0, 175.0, 36.0], shoonya_1sTPFPYDW0SQFR, 5694689]
[figure-caption, [181.0, 858.0, 175.0, 36.0], shoonya_1sTPFPYDW0SQFR, 5694689]
[quote, [183.0, 756.0, 174.0, 36.0], shoonya_3sFKWGJ8OJZ4MU, 5694689]
[quote, [183.0, 792.0, 174.0, 36.0], shoonya_3sFKWGJ8OJZ4MU, 5694689]
[quote, [183.0, 828.0, 174.0, 36.0], shoonya_3sFKWGJ8OJZ4MU, 5694689]
[quote, [608.0, 799.0, 229.0, 36.0], 8PEuKIb8Y_, 5694689]
[quote, [608.0, 835.0, 229.0, 36.0], 8PEuKIb8Y_, 5694689]
[quote, [608.0, 871.0, 229.0, 36.0], 8PEuKIb8Y_, 5694689]
[quote, [608.0, 907.0, 229.0, 36.0], 8PEuKIb8Y_, 5694689]
[quote, [710.0, 1453.0, 252.0, 36.0], yi39xNKn5Q, 5694689]
[quote, [710.0, 1489.0, 252.0, 36.0], yi39xNKn5Q, 5694689]
[quote, [710.0, 1525.0, 252.0, 36.0], yi39xNKn5Q, 5694689]
[quote, [710.0, 1561.0, 252.0, 36.0], yi39xNKn5Q, 5694689]
[quote, [710.0, 1597.0, 252.0, 36.0], yi39xNKn5Q, 5694689]
[quote, [281.0, 1567.0, 211.0, 36.0], Avchvf7xYg, 5694689]
[quote, [281.0, 1603.0, 211.0, 36.0], Avchvf7xYg, 5694689]
[quote, [281.0, 1639.0, 211.0, 36.0], Avchvf7xYg, 5694689]
[quote, [281.0, 1675.0, 211.0, 36.0], Avchvf7xYg, 5694689]
[quote, [1373.0, 1698.0, 197.0, 36.0], qnl6no8byE, 5694689]
[quote, [1373.0, 1734.0, 197.0, 36.0], qnl6no8byE, 5694689]
[quote, [1373.0, 1770.0, 197.0, 36.0], qnl6no8byE, 5694689]
[folio, [684.0, 2302.0, 561.0, 36.0], shoonya_2sWMS3HI6I3UQM, 5694689]
