[1447, 1063]
[folio, [430.0, 45.0, 227.0, 18.0], 0kGdgAcK_Z, 5763225]
[folio, [430.0, 63.0, 227.0, 18.0], 0kGdgAcK_Z, 5763225]
[paragraph, [530.0, 93.0, 443.0, 18.0], YlZ2QlgpYL, 5763225]
[paragraph, [530.0, 111.0, 443.0, 18.0], YlZ2QlgpYL, 5763225]
[paragraph, [530.0, 129.0, 443.0, 18.0], YlZ2QlgpYL, 5763225]
[paragraph, [530.0, 147.0, 443.0, 18.0], YlZ2QlgpYL, 5763225]
[paragraph, [530.0, 165.0, 443.0, 18.0], YlZ2QlgpYL, 5763225]
[paragraph, [530.0, 183.0, 443.0, 18.0], YlZ2QlgpYL, 5763225]
[paragraph, [530.0, 201.0, 443.0, 18.0], YlZ2QlgpYL, 5763225]
[paragraph, [530.0, 219.0, 443.0, 18.0], YlZ2QlgpYL, 5763225]
[paragraph, [530.0, 237.0, 443.0, 18.0], YlZ2QlgpYL, 5763225]
[paragraph, [530.0, 255.0, 443.0, 18.0], YlZ2QlgpYL, 5763225]
[paragraph, [530.0, 273.0, 443.0, 18.0], YlZ2QlgpYL, 5763225]
[paragraph, [530.0, 291.0, 443.0, 18.0], YlZ2QlgpYL, 5763225]
[paragraph, [530.0, 309.0, 443.0, 18.0], YlZ2QlgpYL, 5763225]
[paragraph, [530.0, 327.0, 443.0, 18.0], YlZ2QlgpYL, 5763225]
[paragraph, [530.0, 345.0, 443.0, 18.0], YlZ2QlgpYL, 5763225]
[paragraph, [530.0, 363.0, 443.0, 18.0], YlZ2QlgpYL, 5763225]
[paragraph, [530.0, 381.0, 443.0, 18.0], YlZ2QlgpYL, 5763225]
[paragraph, [88.0, 96.0, 442.0, 18.0], hW5KXU4kER, 5763225]
[paragraph, [88.0, 114.0, 442.0, 18.0], hW5KXU4kER, 5763225]
[paragraph, [88.0, 132.0, 442.0, 18.0], hW5KXU4kER, 5763225]
[paragraph, [88.0, 150.0, 442.0, 18.0], hW5KXU4kER, 5763225]
[paragraph, [88.0, 168.0, 442.0, 18.0], hW5KXU4kER, 5763225]
[paragraph, [88.0, 186.0, 442.0, 18.0], hW5KXU4kER, 5763225]
[paragraph, [88.0, 204.0, 442.0, 18.0], hW5KXU4kER, 5763225]
[paragraph, [88.0, 222.0, 442.0, 18.0], hW5KXU4kER, 5763225]
[paragraph, [88.0, 240.0, 442.0, 18.0], hW5KXU4kER, 5763225]
[paragraph, [88.0, 258.0, 442.0, 18.0], hW5KXU4kER, 5763225]
[paragraph, [88.0, 276.0, 442.0, 18.0], hW5KXU4kER, 5763225]
[paragraph, [88.0, 294.0, 442.0, 18.0], hW5KXU4kER, 5763225]
[paragraph, [88.0, 312.0, 442.0, 18.0], hW5KXU4kER, 5763225]
[paragraph, [88.0, 330.0, 442.0, 18.0], hW5KXU4kER, 5763225]
[paragraph, [88.0, 348.0, 442.0, 18.0], hW5KXU4kER, 5763225]
[paragraph, [88.0, 366.0, 442.0, 18.0], hW5KXU4kER, 5763225]
[paragraph, [88.0, 384.0, 442.0, 18.0], hW5KXU4kER, 5763225]
[paragraph, [88.0, 402.0, 442.0, 18.0], hW5KXU4kER, 5763225]
[paragraph, [88.0, 420.0, 442.0, 18.0], hW5KXU4kER, 5763225]
[paragraph, [88.0, 438.0, 442.0, 18.0], hW5KXU4kER, 5763225]
[paragraph, [88.0, 456.0, 442.0, 18.0], hW5KXU4kER, 5763225]
