[1571, 1128]
[headline, [552.0, 150.0, 332.0, 37.5], xSM3vEaPGO, 6472095]
[headline, [552.0, 187.5, 332.0, 37.5], xSM3vEaPGO, 6472095]
[headline, [552.0, 225.0, 332.0, 37.5], xSM3vEaPGO, 6472095]
[headline, [84.0, 153.0, 402.0, 37.5], 6mA2JOjJCg, 6472095]
[headline, [84.0, 190.5, 402.0, 37.5], 6mA2JOjJCg, 6472095]
[headline, [84.0, 228.0, 402.0, 37.5], 6mA2JOjJCg, 6472095]
[paragraph, [560.0, 369.0, 436.0, 36.0], tuKG7yL90L, 6472095]
[paragraph, [560.0, 405.0, 436.0, 36.0], tuKG7yL90L, 6472095]
[paragraph, [93.0, 372.0, 451.0, 36.0], shoonya_0sWUC06UVOUTKS, 6472095]
[paragraph, [93.0, 408.0, 451.0, 36.0], shoonya_0sWUC06UVOUTKS, 6472095]
[paragraph, [93.0, 444.0, 451.0, 36.0], shoonya_0sWUC06UVOUTKS, 6472095]
[paragraph, [93.0, 480.0, 451.0, 36.0], shoonya_0sWUC06UVOUTKS, 6472095]
[paragraph, [93.0, 516.0, 451.0, 36.0], shoonya_0sWUC06UVOUTKS, 6472095]
[paragraph, [93.0, 552.0, 451.0, 36.0], shoonya_0sWUC06UVOUTKS, 6472095]
[paragraph, [559.0, 448.0, 433.0, 36.0], PZw-zDqb8Q, 6472095]
[paragraph, [559.0, 484.0, 433.0, 36.0], PZw-zDqb8Q, 6472095]
[paragraph, [559.0, 520.0, 433.0, 36.0], PZw-zDqb8Q, 6472095]
[paragraph, [559.0, 556.0, 433.0, 36.0], PZw-zDqb8Q, 6472095]
[paragraph, [92.0, 598.0, 453.0, 36.0], CJ6U6tvjlo, 6472095]
[paragraph, [92.0, 634.0, 453.0, 36.0], CJ6U6tvjlo, 6472095]
[paragraph, [92.0, 670.0, 453.0, 36.0], CJ6U6tvjlo, 6472095]
[paragraph, [92.0, 706.0, 453.0, 36.0], CJ6U6tvjlo, 6472095]
[paragraph, [92.0, 742.0, 453.0, 36.0], CJ6U6tvjlo, 6472095]
[paragraph, [92.0, 778.0, 453.0, 36.0], CJ6U6tvjlo, 6472095]
[paragraph, [556.0, 599.0, 439.0, 36.0], D-mgMtg1Bu, 6472095]
[paragraph, [556.0, 635.0, 439.0, 36.0], D-mgMtg1Bu, 6472095]
[paragraph, [556.0, 673.0, 442.0, 36.0], ATtG9f1s4c, 6472095]
[paragraph, [556.0, 709.0, 442.0, 36.0], ATtG9f1s4c, 6472095]
[paragraph, [556.0, 745.0, 442.0, 36.0], ATtG9f1s4c, 6472095]
[paragraph, [556.0, 781.0, 442.0, 36.0], ATtG9f1s4c, 6472095]
[paragraph, [556.0, 817.0, 442.0, 36.0], ATtG9f1s4c, 6472095]
[paragraph, [556.0, 853.0, 442.0, 36.0], ATtG9f1s4c, 6472095]
[paragraph, [556.0, 889.0, 442.0, 36.0], ATtG9f1s4c, 6472095]
[paragraph, [556.0, 925.0, 442.0, 36.0], ATtG9f1s4c, 6472095]
[paragraph, [90.0, 824.0, 454.0, 36.0], 1fTWsKP_K_, 6472095]
[paragraph, [90.0, 860.0, 454.0, 36.0], 1fTWsKP_K_, 6472095]
[paragraph, [90.0, 896.0, 454.0, 36.0], 1fTWsKP_K_, 6472095]
[paragraph, [90.0, 932.0, 454.0, 36.0], 1fTWsKP_K_, 6472095]
[paragraph, [90.0, 968.0, 454.0, 36.0], 1fTWsKP_K_, 6472095]
[paragraph, [90.0, 1004.0, 454.0, 36.0], 1fTWsKP_K_, 6472095]
[paragraph, [553.0, 972.0, 445.0, 36.0], WqQRtI8wto, 6472095]
[paragraph, [553.0, 1008.0, 445.0, 36.0], WqQRtI8wto, 6472095]
[paragraph, [553.0, 1044.0, 445.0, 36.0], WqQRtI8wto, 6472095]
[paragraph, [553.0, 1080.0, 445.0, 36.0], WqQRtI8wto, 6472095]
[paragraph, [553.0, 1116.0, 445.0, 36.0], WqQRtI8wto, 6472095]
[paragraph, [553.0, 1152.0, 445.0, 36.0], WqQRtI8wto, 6472095]
[paragraph, [553.0, 1188.0, 445.0, 36.0], WqQRtI8wto, 6472095]
[paragraph, [553.0, 1224.0, 445.0, 36.0], WqQRtI8wto, 6472095]
[paragraph, [553.0, 1260.0, 445.0, 36.0], WqQRtI8wto, 6472095]
[paragraph, [553.0, 1296.0, 445.0, 36.0], WqQRtI8wto, 6472095]
[paragraph, [553.0, 1332.0, 445.0, 36.0], WqQRtI8wto, 6472095]
[paragraph, [553.0, 1368.0, 445.0, 36.0], WqQRtI8wto, 6472095]
[paragraph, [91.0, 1049.0, 453.0, 36.0], rgQtEMDD4K, 6472095]
[paragraph, [91.0, 1085.0, 453.0, 36.0], rgQtEMDD4K, 6472095]
[paragraph, [91.0, 1121.0, 453.0, 36.0], rgQtEMDD4K, 6472095]
[paragraph, [91.0, 1157.0, 453.0, 36.0], rgQtEMDD4K, 6472095]
[paragraph, [91.0, 1193.0, 453.0, 36.0], rgQtEMDD4K, 6472095]
[paragraph, [90.0, 1251.0, 454.0, 36.0], ovk4G3fdT4, 6472095]
[paragraph, [90.0, 1287.0, 454.0, 36.0], ovk4G3fdT4, 6472095]
[paragraph, [90.0, 1323.0, 454.0, 36.0], ovk4G3fdT4, 6472095]
[paragraph, [90.0, 1359.0, 454.0, 36.0], ovk4G3fdT4, 6472095]
