[1818, 1374]
[folio, [480.0, 116.0, 403.0, 36.0], CLKcu5UWMt, 5682084]
[paragraph, [103.0, 185.0, 567.0, 36.0], shoonya_1sCZQQM9A74RLY, 5682084]
[paragraph, [103.0, 221.0, 567.0, 36.0], shoonya_1sCZQQM9A74RLY, 5682084]
[paragraph, [103.0, 257.0, 567.0, 36.0], shoonya_1sCZQQM9A74RLY, 5682084]
[paragraph, [103.0, 293.0, 567.0, 36.0], shoonya_1sCZQQM9A74RLY, 5682084]
[paragraph, [103.0, 329.0, 567.0, 36.0], shoonya_1sCZQQM9A74RLY, 5682084]
[paragraph, [103.0, 365.0, 567.0, 36.0], shoonya_1sCZQQM9A74RLY, 5682084]
[paragraph, [103.0, 401.0, 567.0, 36.0], shoonya_1sCZQQM9A74RLY, 5682084]
[paragraph, [103.0, 437.0, 567.0, 36.0], shoonya_1sCZQQM9A74RLY, 5682084]
[paragraph, [103.0, 473.0, 567.0, 36.0], shoonya_1sCZQQM9A74RLY, 5682084]
[paragraph, [103.0, 509.0, 567.0, 36.0], shoonya_1sCZQQM9A74RLY, 5682084]
[paragraph, [103.0, 545.0, 567.0, 36.0], shoonya_1sCZQQM9A74RLY, 5682084]
[paragraph, [694.0, 229.0, 564.0, 36.0], upCvSrbH37, 5682084]
[paragraph, [694.0, 265.0, 564.0, 36.0], upCvSrbH37, 5682084]
[paragraph, [694.0, 301.0, 564.0, 36.0], upCvSrbH37, 5682084]
[paragraph, [694.0, 337.0, 564.0, 36.0], upCvSrbH37, 5682084]
[paragraph, [694.0, 373.0, 564.0, 36.0], upCvSrbH37, 5682084]
[paragraph, [694.0, 409.0, 564.0, 36.0], upCvSrbH37, 5682084]
[paragraph, [694.0, 445.0, 564.0, 36.0], upCvSrbH37, 5682084]
[paragraph, [763.0, 487.0, 431.0, 36.0], R6a1LIeLrI, 5682084]
[paragraph, [763.0, 523.0, 431.0, 36.0], R6a1LIeLrI, 5682084]
[paragraph, [763.0, 559.0, 431.0, 36.0], R6a1LIeLrI, 5682084]
[paragraph, [763.0, 595.0, 431.0, 36.0], R6a1LIeLrI, 5682084]
[paragraph, [150.0, 614.0, 272.0, 36.0], aLIyK4-KBo, 5682084]
[paragraph, [110.0, 658.0, 560.0, 36.0], 5YCku7Rzzb, 5682084]
[paragraph, [110.0, 694.0, 560.0, 36.0], 5YCku7Rzzb, 5682084]
[paragraph, [110.0, 730.0, 560.0, 36.0], 5YCku7Rzzb, 5682084]
[paragraph, [110.0, 766.0, 560.0, 36.0], 5YCku7Rzzb, 5682084]
[paragraph, [698.0, 658.0, 562.0, 36.0], HO8I4Cz7O6, 5682084]
[paragraph, [698.0, 694.0, 562.0, 36.0], HO8I4Cz7O6, 5682084]
[paragraph, [698.0, 730.0, 562.0, 36.0], HO8I4Cz7O6, 5682084]
[paragraph, [698.0, 766.0, 562.0, 36.0], HO8I4Cz7O6, 5682084]
[paragraph, [698.0, 802.0, 562.0, 36.0], HO8I4Cz7O6, 5682084]
[paragraph, [111.0, 829.0, 558.0, 36.0], 8TWHQLFQsS, 5682084]
[paragraph, [111.0, 865.0, 558.0, 36.0], 8TWHQLFQsS, 5682084]
[paragraph, [699.0, 870.0, 565.0, 36.0], shoonya_0s5P4D9KW6DQQT, 5682084]
[paragraph, [699.0, 906.0, 565.0, 36.0], shoonya_0s5P4D9KW6DQQT, 5682084]
[paragraph, [113.0, 912.0, 559.0, 36.0], BYcSKWVOa7, 5682084]
[paragraph, [113.0, 948.0, 559.0, 36.0], BYcSKWVOa7, 5682084]
[paragraph, [698.0, 954.0, 566.0, 36.0], bmjXfzzG6k, 5682084]
[paragraph, [698.0, 990.0, 566.0, 36.0], bmjXfzzG6k, 5682084]
[paragraph, [698.0, 1026.0, 566.0, 36.0], bmjXfzzG6k, 5682084]
[paragraph, [698.0, 1062.0, 566.0, 36.0], bmjXfzzG6k, 5682084]
[paragraph, [698.0, 1098.0, 566.0, 36.0], bmjXfzzG6k, 5682084]
[paragraph, [698.0, 1134.0, 566.0, 36.0], bmjXfzzG6k, 5682084]
