[1601, 1158]
[headline, [149.0, 91.0, 423.0, 37.5], F6GuuBQShT, 5695235]
[headline, [149.0, 128.5, 423.0, 37.5], F6GuuBQShT, 5695235]
[headline, [149.0, 166.0, 423.0, 37.5], F6GuuBQShT, 5695235]
[section-title, [586.0, 97.0, 237.0, 49.5], gbhWOl3SeY, 5695235]
[headline, [643.0, 192.0, 362.0, 37.5], shoonya_4sIRN78B6F6VXP, 5695235]
[headline, [643.0, 229.5, 362.0, 37.5], shoonya_4sIRN78B6F6VXP, 5695235]
[unordered-list, [150.0, 230.0, 430.0, 36.0], C6hrFUCxjT, 5695235]
[unordered-list, [150.0, 266.0, 430.0, 36.0], C6hrFUCxjT, 5695235]
[unordered-list, [150.0, 302.0, 430.0, 36.0], C6hrFUCxjT, 5695235]
[unordered-list, [150.0, 338.0, 430.0, 36.0], C6hrFUCxjT, 5695235]
[unordered-list, [150.0, 374.0, 430.0, 36.0], C6hrFUCxjT, 5695235]
[unordered-list, [150.0, 410.0, 430.0, 36.0], C6hrFUCxjT, 5695235]
[unordered-list, [150.0, 446.0, 430.0, 36.0], C6hrFUCxjT, 5695235]
[unordered-list, [150.0, 482.0, 430.0, 36.0], C6hrFUCxjT, 5695235]
[unordered-list, [150.0, 518.0, 430.0, 36.0], C6hrFUCxjT, 5695235]
[unordered-list, [150.0, 554.0, 430.0, 36.0], C6hrFUCxjT, 5695235]
[unordered-list, [150.0, 590.0, 430.0, 36.0], C6hrFUCxjT, 5695235]
[unordered-list, [150.0, 626.0, 430.0, 36.0], C6hrFUCxjT, 5695235]
[unordered-list, [150.0, 662.0, 430.0, 36.0], C6hrFUCxjT, 5695235]
[unordered-list, [150.0, 698.0, 430.0, 36.0], C6hrFUCxjT, 5695235]
[unordered-list, [150.0, 734.0, 430.0, 36.0], C6hrFUCxjT, 5695235]
[unordered-list, [150.0, 770.0, 430.0, 36.0], C6hrFUCxjT, 5695235]
[unordered-list, [150.0, 806.0, 430.0, 36.0], C6hrFUCxjT, 5695235]
[unordered-list, [150.0, 842.0, 430.0, 36.0], C6hrFUCxjT, 5695235]
[unordered-list, [150.0, 878.0, 430.0, 36.0], C6hrFUCxjT, 5695235]
[unordered-list, [150.0, 914.0, 430.0, 36.0], C6hrFUCxjT, 5695235]
[unordered-list, [150.0, 950.0, 430.0, 36.0], C6hrFUCxjT, 5695235]
[unordered-list, [150.0, 986.0, 430.0, 36.0], C6hrFUCxjT, 5695235]
[unordered-list, [150.0, 1022.0, 430.0, 36.0], C6hrFUCxjT, 5695235]
[unordered-list, [150.0, 1058.0, 430.0, 36.0], C6hrFUCxjT, 5695235]
[unordered-list, [150.0, 1094.0, 430.0, 36.0], C6hrFUCxjT, 5695235]
[unordered-list, [150.0, 1130.0, 430.0, 36.0], C6hrFUCxjT, 5695235]
[unordered-list, [150.0, 1166.0, 430.0, 36.0], C6hrFUCxjT, 5695235]
[unordered-list, [150.0, 1202.0, 430.0, 36.0], C6hrFUCxjT, 5695235]
[unordered-list, [150.0, 1238.0, 430.0, 36.0], C6hrFUCxjT, 5695235]
[unordered-list, [150.0, 1274.0, 430.0, 36.0], C6hrFUCxjT, 5695235]
[unordered-list, [150.0, 1310.0, 430.0, 36.0], C6hrFUCxjT, 5695235]
[unordered-list, [150.0, 1346.0, 430.0, 36.0], C6hrFUCxjT, 5695235]
[unordered-list, [150.0, 1382.0, 430.0, 36.0], C6hrFUCxjT, 5695235]
[unordered-list, [150.0, 1418.0, 430.0, 36.0], C6hrFUCxjT, 5695235]
[unordered-list, [150.0, 1454.0, 430.0, 36.0], C6hrFUCxjT, 5695235]
