[1050, 693]
[folio, [89.0, 80.0, 85.0, 18.0], shoonya_3sILICU7YHW4FW, 5702588]
[folio, [89.0, 98.0, 85.0, 18.0], shoonya_3sILICU7YHW4FW, 5702588]
[paragraph, [81.0, 130.0, 531.0, 18.0], shoonya_2sTGH5OV14RAUR, 5702588]
[paragraph, [81.0, 148.0, 531.0, 18.0], shoonya_2sTGH5OV14RAUR, 5702588]
[paragraph, [81.0, 166.0, 531.0, 18.0], shoonya_2sTGH5OV14RAUR, 5702588]
[paragraph, [81.0, 184.0, 531.0, 18.0], shoonya_2sTGH5OV14RAUR, 5702588]
[paragraph, [81.0, 202.0, 531.0, 18.0], shoonya_2sTGH5OV14RAUR, 5702588]
[paragraph, [81.0, 220.0, 531.0, 18.0], shoonya_2sTGH5OV14RAUR, 5702588]
[paragraph, [81.0, 238.0, 531.0, 18.0], shoonya_2sTGH5OV14RAUR, 5702588]
[paragraph, [81.0, 256.0, 531.0, 18.0], shoonya_2sTGH5OV14RAUR, 5702588]
[paragraph, [81.0, 274.0, 531.0, 18.0], shoonya_2sTGH5OV14RAUR, 5702588]
[paragraph, [81.0, 292.0, 531.0, 18.0], shoonya_2sTGH5OV14RAUR, 5702588]
[paragraph, [81.0, 310.0, 531.0, 18.0], shoonya_2sTGH5OV14RAUR, 5702588]
[paragraph, [81.0, 328.0, 531.0, 18.0], shoonya_2sTGH5OV14RAUR, 5702588]
[paragraph, [81.0, 346.0, 531.0, 18.0], shoonya_2sTGH5OV14RAUR, 5702588]
[paragraph, [81.0, 364.0, 531.0, 18.0], shoonya_2sTGH5OV14RAUR, 5702588]
[paragraph, [80.0, 394.0, 530.0, 18.0], shoonya_1sJM8KQHLB6ION, 5702588]
[paragraph, [80.0, 412.0, 530.0, 18.0], shoonya_1sJM8KQHLB6ION, 5702588]
[paragraph, [80.0, 430.0, 530.0, 18.0], shoonya_1sJM8KQHLB6ION, 5702588]
[paragraph, [80.0, 448.0, 530.0, 18.0], shoonya_1sJM8KQHLB6ION, 5702588]
[paragraph, [80.0, 466.0, 530.0, 18.0], shoonya_1sJM8KQHLB6ION, 5702588]
[paragraph, [80.0, 484.0, 530.0, 18.0], shoonya_1sJM8KQHLB6ION, 5702588]
[paragraph, [80.0, 502.0, 530.0, 18.0], shoonya_1sJM8KQHLB6ION, 5702588]
[paragraph, [80.0, 520.0, 530.0, 18.0], shoonya_1sJM8KQHLB6ION, 5702588]
[paragraph, [80.0, 538.0, 530.0, 18.0], shoonya_1sJM8KQHLB6ION, 5702588]
[paragraph, [80.0, 556.0, 530.0, 18.0], shoonya_1sJM8KQHLB6ION, 5702588]
[paragraph, [80.0, 574.0, 530.0, 18.0], shoonya_1sJM8KQHLB6ION, 5702588]
[paragraph, [80.0, 592.0, 530.0, 18.0], shoonya_1sJM8KQHLB6ION, 5702588]
[paragraph, [80.0, 610.0, 530.0, 18.0], shoonya_1sJM8KQHLB6ION, 5702588]
[paragraph, [79.0, 659.0, 527.0, 18.0], shoonya_0sF4E30QPMBQWL, 5702588]
[paragraph, [79.0, 677.0, 527.0, 18.0], shoonya_0sF4E30QPMBQWL, 5702588]
[paragraph, [79.0, 695.0, 527.0, 18.0], shoonya_0sF4E30QPMBQWL, 5702588]
[paragraph, [79.0, 713.0, 527.0, 18.0], shoonya_0sF4E30QPMBQWL, 5702588]
[paragraph, [79.0, 731.0, 527.0, 18.0], shoonya_0sF4E30QPMBQWL, 5702588]
[paragraph, [79.0, 749.0, 527.0, 18.0], shoonya_0sF4E30QPMBQWL, 5702588]
[paragraph, [79.0, 767.0, 527.0, 18.0], shoonya_0sF4E30QPMBQWL, 5702588]
[paragraph, [79.0, 785.0, 527.0, 18.0], shoonya_0sF4E30QPMBQWL, 5702588]
[paragraph, [79.0, 803.0, 527.0, 18.0], shoonya_0sF4E30QPMBQWL, 5702588]
[paragraph, [79.0, 821.0, 527.0, 18.0], shoonya_0sF4E30QPMBQWL, 5702588]
[paragraph, [79.0, 839.0, 527.0, 18.0], shoonya_0sF4E30QPMBQWL, 5702588]
[paragraph, [79.0, 857.0, 527.0, 18.0], shoonya_0sF4E30QPMBQWL, 5702588]
[paragraph, [79.0, 875.0, 527.0, 18.0], shoonya_0sF4E30QPMBQWL, 5702588]
[paragraph, [79.0, 893.0, 527.0, 18.0], shoonya_0sF4E30QPMBQWL, 5702588]
[paragraph, [79.0, 911.0, 527.0, 18.0], shoonya_0sF4E30QPMBQWL, 5702588]
[paragraph, [79.0, 929.0, 527.0, 18.0], shoonya_0sF4E30QPMBQWL, 5702588]
[paragraph, [79.0, 947.0, 527.0, 18.0], shoonya_0sF4E30QPMBQWL, 5702588]
