[2200, 1700]
[paragraph, [377.0, 108.0, 1126.0, 36.0], JYYs_nJhD7, 5734115]
[paragraph, [377.0, 144.0, 1126.0, 36.0], JYYs_nJhD7, 5734115]
[paragraph, [377.0, 180.0, 1126.0, 36.0], JYYs_nJhD7, 5734115]
[paragraph, [384.0, 233.0, 1122.0, 36.0], MArOJdvNUl, 5734115]
[paragraph, [384.0, 269.0, 1122.0, 36.0], MArOJdvNUl, 5734115]
[paragraph, [384.0, 305.0, 1122.0, 36.0], MArOJdvNUl, 5734115]
[paragraph, [384.0, 341.0, 1122.0, 36.0], MArOJdvNUl, 5734115]
[paragraph, [384.0, 377.0, 1122.0, 36.0], MArOJdvNUl, 5734115]
[paragraph, [372.0, 448.0, 1137.0, 36.0], shoonya_1s4MVJV8FUCQ0J, 5734115]
[paragraph, [372.0, 484.0, 1137.0, 36.0], shoonya_1s4MVJV8FUCQ0J, 5734115]
[paragraph, [372.0, 520.0, 1137.0, 36.0], shoonya_1s4MVJV8FUCQ0J, 5734115]
[paragraph, [372.0, 556.0, 1137.0, 36.0], shoonya_1s4MVJV8FUCQ0J, 5734115]
[paragraph, [372.0, 592.0, 1137.0, 36.0], shoonya_1s4MVJV8FUCQ0J, 5734115]
[paragraph, [372.0, 628.0, 1137.0, 36.0], shoonya_1s4MVJV8FUCQ0J, 5734115]
[paragraph, [369.0, 673.0, 1135.0, 36.0], shoonya_2sCI09MBAE69YH, 5734115]
[paragraph, [369.0, 709.0, 1135.0, 36.0], shoonya_2sCI09MBAE69YH, 5734115]
[paragraph, [369.0, 745.0, 1135.0, 36.0], shoonya_2sCI09MBAE69YH, 5734115]
[paragraph, [369.0, 781.0, 1135.0, 36.0], shoonya_2sCI09MBAE69YH, 5734115]
[paragraph, [369.0, 817.0, 1135.0, 36.0], shoonya_2sCI09MBAE69YH, 5734115]
[paragraph, [369.0, 853.0, 1135.0, 36.0], shoonya_2sCI09MBAE69YH, 5734115]
[paragraph, [369.0, 889.0, 1135.0, 36.0], shoonya_2sCI09MBAE69YH, 5734115]
[paragraph, [369.0, 925.0, 1135.0, 36.0], shoonya_2sCI09MBAE69YH, 5734115]
[paragraph, [369.0, 961.0, 1135.0, 36.0], shoonya_2sCI09MBAE69YH, 5734115]
[paragraph, [369.0, 997.0, 1135.0, 36.0], shoonya_2sCI09MBAE69YH, 5734115]
[paragraph, [369.0, 1033.0, 1135.0, 36.0], shoonya_2sCI09MBAE69YH, 5734115]
[paragraph, [369.0, 1069.0, 1135.0, 36.0], shoonya_2sCI09MBAE69YH, 5734115]
[paragraph, [372.0, 1136.0, 1135.0, 36.0], shoonya_0sIXNMH0XO04CP, 5734115]
[paragraph, [372.0, 1172.0, 1135.0, 36.0], shoonya_0sIXNMH0XO04CP, 5734115]
[paragraph, [372.0, 1208.0, 1135.0, 36.0], shoonya_0sIXNMH0XO04CP, 5734115]
[paragraph, [372.0, 1244.0, 1135.0, 36.0], shoonya_0sIXNMH0XO04CP, 5734115]
[paragraph, [372.0, 1280.0, 1135.0, 36.0], shoonya_0sIXNMH0XO04CP, 5734115]
[paragraph, [372.0, 1316.0, 1135.0, 36.0], shoonya_0sIXNMH0XO04CP, 5734115]
[paragraph, [372.0, 1352.0, 1135.0, 36.0], shoonya_0sIXNMH0XO04CP, 5734115]
[paragraph, [372.0, 1388.0, 1135.0, 36.0], shoonya_0sIXNMH0XO04CP, 5734115]
[paragraph, [372.0, 1424.0, 1135.0, 36.0], shoonya_0sIXNMH0XO04CP, 5734115]
[paragraph, [372.0, 1460.0, 1135.0, 36.0], shoonya_0sIXNMH0XO04CP, 5734115]
[paragraph, [372.0, 1496.0, 1135.0, 36.0], shoonya_0sIXNMH0XO04CP, 5734115]
[paragraph, [372.0, 1532.0, 1135.0, 36.0], shoonya_0sIXNMH0XO04CP, 5734115]
[paragraph, [372.0, 1568.0, 1135.0, 36.0], shoonya_0sIXNMH0XO04CP, 5734115]
[paragraph, [372.0, 1604.0, 1135.0, 36.0], shoonya_0sIXNMH0XO04CP, 5734115]
[paragraph, [372.0, 1640.0, 1135.0, 36.0], shoonya_0sIXNMH0XO04CP, 5734115]
[paragraph, [372.0, 1676.0, 1135.0, 36.0], shoonya_0sIXNMH0XO04CP, 5734115]
[paragraph, [373.0, 1748.0, 1144.0, 36.0], shoonya_4sJYWNYBC99O1V, 5734115]
[paragraph, [373.0, 1784.0, 1144.0, 36.0], shoonya_4sJYWNYBC99O1V, 5734115]
[paragraph, [373.0, 1820.0, 1144.0, 36.0], shoonya_4sJYWNYBC99O1V, 5734115]
[paragraph, [373.0, 1856.0, 1144.0, 36.0], shoonya_4sJYWNYBC99O1V, 5734115]
[paragraph, [360.0, 1917.0, 1163.0, 36.0], a4RKR8QwTa, 5734115]
[paragraph, [360.0, 1953.0, 1163.0, 36.0], a4RKR8QwTa, 5734115]
[paragraph, [360.0, 1989.0, 1163.0, 36.0], a4RKR8QwTa, 5734115]
[paragraph, [360.0, 2025.0, 1163.0, 36.0], a4RKR8QwTa, 5734115]
