[2338, 1654]
[paragraph, [184.0, 193.0, 1277.0, 36.0], shoonya_1sGKEU971P0BH3, 5753323]
[paragraph, [184.0, 229.0, 1277.0, 36.0], shoonya_1sGKEU971P0BH3, 5753323]
[paragraph, [184.0, 265.0, 1277.0, 36.0], shoonya_1sGKEU971P0BH3, 5753323]
[paragraph, [184.0, 301.0, 1277.0, 36.0], shoonya_1sGKEU971P0BH3, 5753323]
[paragraph, [184.0, 337.0, 1277.0, 36.0], shoonya_1sGKEU971P0BH3, 5753323]
[paragraph, [389.0, 391.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 427.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 463.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 499.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 535.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 571.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 607.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 643.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 679.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 715.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 751.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 787.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 823.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 859.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 895.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 931.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 967.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 1003.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 1039.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 1075.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 1111.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 1147.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 1183.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 1219.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 1255.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 1291.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 1327.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 1363.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 1399.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 1435.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 1471.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 1507.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 1543.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 1579.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 1615.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 1651.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 1687.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 1723.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 1759.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 1795.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 1831.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 1867.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 1903.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 1939.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 1975.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 2011.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
[paragraph, [389.0, 2047.0, 607.0, 36.0], shoonya_2sSA5KF3TJ8TRL, 5753323]
