[2339, 1609]
[folio, [833.0, 88.0, 554.0, 36.0], UEAwFlbx-y, 5656541]
[folio, [833.0, 124.0, 554.0, 36.0], UEAwFlbx-y, 5656541]
[folio, [218.0, 110.0, 417.0, 36.0], t9O4OlcWiK, 5656541]
[chapter-title, [546.0, 202.0, 512.0, 70.5], N8s455v3tN, 5656541]
[author, [554.0, 319.0, 480.0, 36.0], uCkhnErO4L, 5656541]
[contact-info, [462.0, 395.0, 729.0, 36.0], kS2vvd3pcu, 5656541]
[contact-info, [462.0, 431.0, 729.0, 36.0], kS2vvd3pcu, 5656541]
[contact-info, [462.0, 467.0, 729.0, 36.0], kS2vvd3pcu, 5656541]
[section-title, [717.0, 552.0, 214.0, 52.5], TCKgNjirBa, 5656541]
[paragraph, [86.0, 658.0, 1409.0, 36.0], shoonya_1sQJWH35WZWX4K, 5656541]
[paragraph, [86.0, 694.0, 1409.0, 36.0], shoonya_1sQJWH35WZWX4K, 5656541]
[paragraph, [86.0, 730.0, 1409.0, 36.0], shoonya_1sQJWH35WZWX4K, 5656541]
[paragraph, [86.0, 766.0, 1409.0, 36.0], shoonya_1sQJWH35WZWX4K, 5656541]
[paragraph, [86.0, 802.0, 1409.0, 36.0], shoonya_1sQJWH35WZWX4K, 5656541]
[paragraph, [86.0, 838.0, 1409.0, 36.0], shoonya_1sQJWH35WZWX4K, 5656541]
[paragraph, [86.0, 874.0, 1409.0, 36.0], shoonya_1sQJWH35WZWX4K, 5656541]
[paragraph, [86.0, 910.0, 1409.0, 36.0], shoonya_1sQJWH35WZWX4K, 5656541]
[paragraph, [86.0, 946.0, 1409.0, 36.0], shoonya_1sQJWH35WZWX4K, 5656541]
[paragraph, [89.0, 1004.0, 1412.0, 36.0], shoonya_0sTKXZ2V918MZQ, 5656541]
[paragraph, [89.0, 1040.0, 1412.0, 36.0], shoonya_0sTKXZ2V918MZQ, 5656541]
[paragraph, [89.0, 1076.0, 1412.0, 36.0], shoonya_0sTKXZ2V918MZQ, 5656541]
[paragraph, [89.0, 1112.0, 1412.0, 36.0], shoonya_0sTKXZ2V918MZQ, 5656541]
[paragraph, [89.0, 1148.0, 1412.0, 36.0], shoonya_0sTKXZ2V918MZQ, 5656541]
[paragraph, [89.0, 1184.0, 1412.0, 36.0], shoonya_0sTKXZ2V918MZQ, 5656541]
[paragraph, [89.0, 1220.0, 1412.0, 36.0], shoonya_0sTKXZ2V918MZQ, 5656541]
[paragraph, [89.0, 1256.0, 1412.0, 36.0], shoonya_0sTKXZ2V918MZQ, 5656541]
[paragraph, [89.0, 1292.0, 1412.0, 36.0], shoonya_0sTKXZ2V918MZQ, 5656541]
[paragraph, [89.0, 1328.0, 1412.0, 36.0], shoonya_0sTKXZ2V918MZQ, 5656541]
[paragraph, [116.0, 1393.0, 1381.0, 36.0], shoonya_2sRQQHQYW9HDHG, 5656541]
[paragraph, [116.0, 1429.0, 1381.0, 36.0], shoonya_2sRQQHQYW9HDHG, 5656541]
[paragraph, [116.0, 1465.0, 1381.0, 36.0], shoonya_2sRQQHQYW9HDHG, 5656541]
[paragraph, [116.0, 1501.0, 1381.0, 36.0], shoonya_2sRQQHQYW9HDHG, 5656541]
[paragraph, [116.0, 1537.0, 1381.0, 36.0], shoonya_2sRQQHQYW9HDHG, 5656541]
[paragraph, [116.0, 1573.0, 1381.0, 36.0], shoonya_2sRQQHQYW9HDHG, 5656541]
[paragraph, [116.0, 1609.0, 1381.0, 36.0], shoonya_2sRQQHQYW9HDHG, 5656541]
[paragraph, [116.0, 1645.0, 1381.0, 36.0], shoonya_2sRQQHQYW9HDHG, 5656541]
[paragraph, [116.0, 1681.0, 1381.0, 36.0], shoonya_2sRQQHQYW9HDHG, 5656541]
[paragraph, [116.0, 1717.0, 1381.0, 36.0], shoonya_2sRQQHQYW9HDHG, 5656541]
[folio, [126.0, 2158.0, 594.0, 36.0], bXUqXRCRX1, 5656541]
[folio, [126.0, 2194.0, 594.0, 36.0], bXUqXRCRX1, 5656541]
[folio, [903.0, 2164.0, 596.0, 36.0], jonJMdS_Ni, 5656541]
