[1008, 697]
[paragraph, [80.0, 451.0, 559.0, 18.0], DgbqUpurQz, 5690737]
[paragraph, [80.0, 469.0, 559.0, 18.0], DgbqUpurQz, 5690737]
[paragraph, [80.0, 487.0, 559.0, 18.0], DgbqUpurQz, 5690737]
[paragraph, [80.0, 505.0, 559.0, 18.0], DgbqUpurQz, 5690737]
[paragraph, [80.0, 523.0, 559.0, 18.0], DgbqUpurQz, 5690737]
[paragraph, [80.0, 541.0, 559.0, 18.0], DgbqUpurQz, 5690737]
[paragraph, [80.0, 559.0, 559.0, 18.0], DgbqUpurQz, 5690737]
[paragraph, [80.0, 577.0, 559.0, 18.0], DgbqUpurQz, 5690737]
[paragraph, [80.0, 595.0, 559.0, 18.0], DgbqUpurQz, 5690737]
[paragraph, [80.0, 613.0, 559.0, 18.0], DgbqUpurQz, 5690737]
[paragraph, [80.0, 631.0, 559.0, 18.0], DgbqUpurQz, 5690737]
[paragraph, [80.0, 649.0, 559.0, 18.0], DgbqUpurQz, 5690737]
[paragraph, [80.0, 667.0, 559.0, 18.0], DgbqUpurQz, 5690737]
[paragraph, [80.0, 685.0, 559.0, 18.0], DgbqUpurQz, 5690737]
[paragraph, [80.0, 703.0, 559.0, 18.0], DgbqUpurQz, 5690737]
[paragraph, [80.0, 721.0, 559.0, 18.0], DgbqUpurQz, 5690737]
[paragraph, [80.0, 739.0, 559.0, 18.0], DgbqUpurQz, 5690737]
[paragraph, [80.0, 757.0, 559.0, 18.0], DgbqUpurQz, 5690737]
[paragraph, [80.0, 775.0, 559.0, 18.0], DgbqUpurQz, 5690737]
[paragraph, [80.0, 793.0, 559.0, 18.0], DgbqUpurQz, 5690737]
[paragraph, [80.0, 811.0, 559.0, 18.0], DgbqUpurQz, 5690737]
[paragraph, [80.0, 829.0, 559.0, 18.0], DgbqUpurQz, 5690737]
[paragraph, [80.0, 847.0, 559.0, 18.0], DgbqUpurQz, 5690737]
[paragraph, [80.0, 865.0, 559.0, 18.0], DgbqUpurQz, 5690737]
[paragraph, [80.0, 883.0, 559.0, 18.0], DgbqUpurQz, 5690737]
