[2806, 1987]
[contact-info, [821.0, 218.0, 479.0, 46.5], z5NTbhFRkJ, 5697177]
[contact-info, [821.0, 264.5, 479.0, 46.5], z5NTbhFRkJ, 5697177]
[contact-info, [821.0, 311.0, 479.0, 46.5], z5NTbhFRkJ, 5697177]
[website-link, [911.0, 399.0, 291.0, 18.0], V7S-6y_XeU, 5697177]
[website-link, [911.0, 417.0, 291.0, 18.0], V7S-6y_XeU, 5697177]
[headline, [844.0, 518.0, 374.0, 52.5], shoonya_5sIC5HFNS87NPL, 5697177]
[folio, [236.0, 612.0, 550.0, 46.5], _jCut0pdmx, 5697177]
[paragraph, [236.0, 684.0, 1542.0, 46.5], shoonya_1s1T3J676OEW15, 5697177]
[paragraph, [230.0, 768.0, 1601.0, 46.5], shoonya_10s1SLS0TSQ1G5, 5697177]
[paragraph, [230.0, 814.5, 1601.0, 46.5], shoonya_10s1SLS0TSQ1G5, 5697177]
[paragraph, [230.0, 861.0, 1601.0, 46.5], shoonya_10s1SLS0TSQ1G5, 5697177]
[paragraph, [230.0, 907.5, 1601.0, 46.5], shoonya_10s1SLS0TSQ1G5, 5697177]
[ordered-list, [229.0, 1020.0, 1619.0, 46.5], shoonya_3sRGOJC5PK13X2, 5697177]
[ordered-list, [229.0, 1066.5, 1619.0, 46.5], shoonya_3sRGOJC5PK13X2, 5697177]
[ordered-list, [229.0, 1113.0, 1619.0, 46.5], shoonya_3sRGOJC5PK13X2, 5697177]
[ordered-list, [229.0, 1159.5, 1619.0, 46.5], shoonya_3sRGOJC5PK13X2, 5697177]
[ordered-list, [229.0, 1206.0, 1619.0, 46.5], shoonya_3sRGOJC5PK13X2, 5697177]
[ordered-list, [229.0, 1252.5, 1619.0, 46.5], shoonya_3sRGOJC5PK13X2, 5697177]
[ordered-list, [229.0, 1299.0, 1619.0, 46.5], shoonya_3sRGOJC5PK13X2, 5697177]
[ordered-list, [229.0, 1345.5, 1619.0, 46.5], shoonya_3sRGOJC5PK13X2, 5697177]
[ordered-list, [229.0, 1392.0, 1619.0, 46.5], shoonya_3sRGOJC5PK13X2, 5697177]
[ordered-list, [229.0, 1438.5, 1619.0, 46.5], shoonya_3sRGOJC5PK13X2, 5697177]
[ordered-list, [229.0, 1485.0, 1619.0, 46.5], shoonya_3sRGOJC5PK13X2, 5697177]
[ordered-list, [229.0, 1531.5, 1619.0, 46.5], shoonya_3sRGOJC5PK13X2, 5697177]
[ordered-list, [229.0, 1578.0, 1619.0, 46.5], shoonya_3sRGOJC5PK13X2, 5697177]
[ordered-list, [229.0, 1624.5, 1619.0, 46.5], shoonya_3sRGOJC5PK13X2, 5697177]
[ordered-list, [229.0, 1671.0, 1619.0, 46.5], shoonya_3sRGOJC5PK13X2, 5697177]
[ordered-list, [229.0, 1717.5, 1619.0, 46.5], shoonya_3sRGOJC5PK13X2, 5697177]
[ordered-list, [229.0, 1764.0, 1619.0, 46.5], shoonya_3sRGOJC5PK13X2, 5697177]
[ordered-list, [229.0, 1810.5, 1619.0, 46.5], shoonya_3sRGOJC5PK13X2, 5697177]
[ordered-list, [229.0, 1857.0, 1619.0, 46.5], shoonya_3sRGOJC5PK13X2, 5697177]
[ordered-list, [229.0, 1903.5, 1619.0, 46.5], shoonya_3sRGOJC5PK13X2, 5697177]
[ordered-list, [229.0, 1950.0, 1619.0, 46.5], shoonya_3sRGOJC5PK13X2, 5697177]
[ordered-list, [229.0, 1996.5, 1619.0, 46.5], shoonya_3sRGOJC5PK13X2, 5697177]
[ordered-list, [229.0, 2043.0, 1619.0, 46.5], shoonya_3sRGOJC5PK13X2, 5697177]
[sub-ordered-list, [350.0, 1461.0, 1478.0, 46.5], shoonya_2sQTDUYF000J2S, 5697177]
[sub-ordered-list, [350.0, 1507.5, 1478.0, 46.5], shoonya_2sQTDUYF000J2S, 5697177]
[sub-ordered-list, [350.0, 1554.0, 1478.0, 46.5], shoonya_2sQTDUYF000J2S, 5697177]
[sub-ordered-list, [350.0, 1600.5, 1478.0, 46.5], shoonya_2sQTDUYF000J2S, 5697177]
[sub-ordered-list, [350.0, 1647.0, 1478.0, 46.5], shoonya_2sQTDUYF000J2S, 5697177]
[footnote, [1308.0, 2139.0, 494.0, 46.5], shoonya_4sKHVCU3BQSZ4F, 5697177]
[footnote, [1308.0, 2185.5, 494.0, 46.5], shoonya_4sKHVCU3BQSZ4F, 5697177]
[footnote, [1308.0, 2232.0, 494.0, 46.5], shoonya_4sKHVCU3BQSZ4F, 5697177]
[footnote, [1308.0, 2278.5, 494.0, 46.5], shoonya_4sKHVCU3BQSZ4F, 5697177]
[footnote, [1308.0, 2325.0, 494.0, 46.5], shoonya_4sKHVCU3BQSZ4F, 5697177]
