[1518, 1075]
[paragraph, [76.0, 171.0, 447.0, 36.0], shoonya_0sU2567N7NLJEN, 5722178]
[paragraph, [76.0, 207.0, 447.0, 36.0], shoonya_0sU2567N7NLJEN, 5722178]
[paragraph, [76.0, 243.0, 447.0, 36.0], shoonya_0sU2567N7NLJEN, 5722178]
[paragraph, [76.0, 279.0, 447.0, 36.0], shoonya_0sU2567N7NLJEN, 5722178]
[paragraph, [76.0, 315.0, 447.0, 36.0], shoonya_0sU2567N7NLJEN, 5722178]
[paragraph, [76.0, 351.0, 447.0, 36.0], shoonya_0sU2567N7NLJEN, 5722178]
[paragraph, [76.0, 387.0, 447.0, 36.0], shoonya_0sU2567N7NLJEN, 5722178]
[paragraph, [76.0, 423.0, 447.0, 36.0], shoonya_0sU2567N7NLJEN, 5722178]
[paragraph, [76.0, 459.0, 447.0, 36.0], shoonya_0sU2567N7NLJEN, 5722178]
[paragraph, [76.0, 495.0, 447.0, 36.0], shoonya_0sU2567N7NLJEN, 5722178]
[paragraph, [76.0, 531.0, 447.0, 36.0], shoonya_0sU2567N7NLJEN, 5722178]
[paragraph, [76.0, 567.0, 447.0, 36.0], shoonya_0sU2567N7NLJEN, 5722178]
[paragraph, [76.0, 603.0, 447.0, 36.0], shoonya_0sU2567N7NLJEN, 5722178]
[paragraph, [76.0, 639.0, 447.0, 36.0], shoonya_0sU2567N7NLJEN, 5722178]
[paragraph, [76.0, 675.0, 447.0, 36.0], shoonya_0sU2567N7NLJEN, 5722178]
[paragraph, [76.0, 711.0, 447.0, 36.0], shoonya_0sU2567N7NLJEN, 5722178]
[paragraph, [76.0, 747.0, 447.0, 36.0], shoonya_0sU2567N7NLJEN, 5722178]
[paragraph, [76.0, 783.0, 447.0, 36.0], shoonya_0sU2567N7NLJEN, 5722178]
[paragraph, [532.0, 171.0, 439.0, 36.0], lMKwomV52H, 5722178]
[paragraph, [532.0, 207.0, 439.0, 36.0], lMKwomV52H, 5722178]
[paragraph, [532.0, 243.0, 439.0, 36.0], lMKwomV52H, 5722178]
[paragraph, [532.0, 279.0, 439.0, 36.0], lMKwomV52H, 5722178]
[paragraph, [532.0, 315.0, 439.0, 36.0], lMKwomV52H, 5722178]
[paragraph, [532.0, 351.0, 439.0, 36.0], lMKwomV52H, 5722178]
[paragraph, [532.0, 387.0, 439.0, 36.0], lMKwomV52H, 5722178]
[paragraph, [532.0, 423.0, 439.0, 36.0], lMKwomV52H, 5722178]
[paragraph, [577.0, 487.0, 337.0, 36.0], klQIp_v-pe, 5722178]
[paragraph, [577.0, 523.0, 337.0, 36.0], klQIp_v-pe, 5722178]
[paragraph, [532.0, 570.0, 439.0, 36.0], o3NDr954da, 5722178]
[paragraph, [532.0, 606.0, 439.0, 36.0], o3NDr954da, 5722178]
[paragraph, [532.0, 642.0, 439.0, 36.0], o3NDr954da, 5722178]
[paragraph, [532.0, 678.0, 439.0, 36.0], o3NDr954da, 5722178]
[paragraph, [532.0, 714.0, 439.0, 36.0], o3NDr954da, 5722178]
[paragraph, [532.0, 750.0, 439.0, 36.0], o3NDr954da, 5722178]
[paragraph, [532.0, 786.0, 439.0, 36.0], o3NDr954da, 5722178]
[paragraph, [532.0, 822.0, 439.0, 36.0], o3NDr954da, 5722178]
[paragraph, [532.0, 858.0, 439.0, 36.0], o3NDr954da, 5722178]
[paragraph, [532.0, 894.0, 439.0, 36.0], o3NDr954da, 5722178]
[paragraph, [532.0, 930.0, 439.0, 36.0], o3NDr954da, 5722178]
[paragraph, [532.0, 966.0, 439.0, 36.0], o3NDr954da, 5722178]
[paragraph, [532.0, 1002.0, 439.0, 36.0], o3NDr954da, 5722178]
[paragraph, [532.0, 1038.0, 439.0, 36.0], o3NDr954da, 5722178]
[paragraph, [532.0, 1074.0, 439.0, 36.0], o3NDr954da, 5722178]
[paragraph, [532.0, 1110.0, 439.0, 36.0], o3NDr954da, 5722178]
[paragraph, [532.0, 1146.0, 439.0, 36.0], o3NDr954da, 5722178]
[paragraph, [532.0, 1182.0, 439.0, 36.0], o3NDr954da, 5722178]
[paragraph, [532.0, 1218.0, 439.0, 36.0], o3NDr954da, 5722178]
[paragraph, [532.0, 1254.0, 439.0, 36.0], o3NDr954da, 5722178]
[paragraph, [118.0, 862.0, 380.0, 36.0], I1t4BTpYIy, 5722178]
[paragraph, [118.0, 898.0, 380.0, 36.0], I1t4BTpYIy, 5722178]
[paragraph, [118.0, 934.0, 380.0, 36.0], I1t4BTpYIy, 5722178]
[paragraph, [83.0, 981.0, 444.0, 36.0], 8mLJrO8A5l, 5722178]
[paragraph, [83.0, 1017.0, 444.0, 36.0], 8mLJrO8A5l, 5722178]
[paragraph, [83.0, 1053.0, 444.0, 36.0], 8mLJrO8A5l, 5722178]
[paragraph, [83.0, 1089.0, 444.0, 36.0], 8mLJrO8A5l, 5722178]
[paragraph, [83.0, 1125.0, 444.0, 36.0], 8mLJrO8A5l, 5722178]
[paragraph, [83.0, 1161.0, 444.0, 36.0], 8mLJrO8A5l, 5722178]
[paragraph, [83.0, 1197.0, 444.0, 36.0], 8mLJrO8A5l, 5722178]
[paragraph, [83.0, 1233.0, 444.0, 36.0], 8mLJrO8A5l, 5722178]
[paragraph, [83.0, 1269.0, 444.0, 36.0], 8mLJrO8A5l, 5722178]
