[2339, 1656]
[paragraph, [204.0, 269.0, 616.0, 36.0], J_woYCBBjG, 5656403]
[ordered-list, [177.0, 334.0, 1252.0, 36.0], 820xNPXzQK, 5656403]
[ordered-list, [177.0, 370.0, 1252.0, 36.0], 820xNPXzQK, 5656403]
[ordered-list, [177.0, 406.0, 1252.0, 36.0], 820xNPXzQK, 5656403]
[ordered-list, [177.0, 442.0, 1252.0, 36.0], 820xNPXzQK, 5656403]
[ordered-list, [177.0, 478.0, 1252.0, 36.0], 820xNPXzQK, 5656403]
[ordered-list, [177.0, 514.0, 1252.0, 36.0], 820xNPXzQK, 5656403]
[ordered-list, [177.0, 550.0, 1252.0, 36.0], 820xNPXzQK, 5656403]
[ordered-list, [177.0, 586.0, 1252.0, 36.0], 820xNPXzQK, 5656403]
[ordered-list, [177.0, 622.0, 1252.0, 36.0], 820xNPXzQK, 5656403]
[ordered-list, [177.0, 658.0, 1252.0, 36.0], 820xNPXzQK, 5656403]
[ordered-list, [177.0, 694.0, 1252.0, 36.0], 820xNPXzQK, 5656403]
[ordered-list, [177.0, 730.0, 1252.0, 36.0], 820xNPXzQK, 5656403]
[ordered-list, [177.0, 766.0, 1252.0, 36.0], 820xNPXzQK, 5656403]
[ordered-list, [177.0, 802.0, 1252.0, 36.0], 820xNPXzQK, 5656403]
[ordered-list, [177.0, 838.0, 1252.0, 36.0], 820xNPXzQK, 5656403]
[sub-ordered-list, [294.0, 756.0, 1111.0, 36.0], shoonya_4s3FEORHZISEVQ, 5656403]
[sub-ordered-list, [294.0, 792.0, 1111.0, 36.0], shoonya_4s3FEORHZISEVQ, 5656403]
[sub-ordered-list, [294.0, 828.0, 1111.0, 36.0], shoonya_4s3FEORHZISEVQ, 5656403]
[paragraph, [247.0, 902.0, 386.0, 36.0], 1YonJihkyF, 5656403]
[paragraph, [240.0, 996.0, 1211.0, 36.0], 9MVdJbG2gU, 5656403]
[paragraph, [240.0, 1032.0, 1211.0, 36.0], 9MVdJbG2gU, 5656403]
[paragraph, [240.0, 1068.0, 1211.0, 36.0], 9MVdJbG2gU, 5656403]
[paragraph, [240.0, 1104.0, 1211.0, 36.0], 9MVdJbG2gU, 5656403]
[paragraph, [240.0, 1140.0, 1211.0, 36.0], 9MVdJbG2gU, 5656403]
[paragraph, [193.0, 1309.0, 1248.0, 36.0], shoonya_0s8ARIR6PZCGE9, 5656403]
[paragraph, [193.0, 1345.0, 1248.0, 36.0], shoonya_0s8ARIR6PZCGE9, 5656403]
[paragraph, [193.0, 1381.0, 1248.0, 36.0], shoonya_0s8ARIR6PZCGE9, 5656403]
[paragraph, [193.0, 1417.0, 1248.0, 36.0], shoonya_0s8ARIR6PZCGE9, 5656403]
[paragraph, [193.0, 1453.0, 1248.0, 36.0], shoonya_0s8ARIR6PZCGE9, 5656403]
[paragraph, [193.0, 1489.0, 1248.0, 36.0], shoonya_0s8ARIR6PZCGE9, 5656403]
[paragraph, [193.0, 1525.0, 1248.0, 36.0], shoonya_0s8ARIR6PZCGE9, 5656403]
[paragraph, [193.0, 1561.0, 1248.0, 36.0], shoonya_0s8ARIR6PZCGE9, 5656403]
[paragraph, [193.0, 1597.0, 1248.0, 36.0], shoonya_0s8ARIR6PZCGE9, 5656403]
[paragraph, [193.0, 1633.0, 1248.0, 36.0], shoonya_0s8ARIR6PZCGE9, 5656403]
[paragraph, [193.0, 1669.0, 1248.0, 36.0], shoonya_0s8ARIR6PZCGE9, 5656403]
[paragraph, [193.0, 1705.0, 1248.0, 36.0], shoonya_0s8ARIR6PZCGE9, 5656403]
[paragraph, [193.0, 1741.0, 1248.0, 36.0], shoonya_0s8ARIR6PZCGE9, 5656403]
[paragraph, [193.0, 1777.0, 1248.0, 36.0], shoonya_0s8ARIR6PZCGE9, 5656403]
[paragraph, [216.0, 1840.0, 1217.0, 36.0], shoonya_1sRI6Y0IUCSSCG, 5656403]
[paragraph, [216.0, 1876.0, 1217.0, 36.0], shoonya_1sRI6Y0IUCSSCG, 5656403]
[paragraph, [216.0, 1912.0, 1217.0, 36.0], shoonya_1sRI6Y0IUCSSCG, 5656403]
[paragraph, [216.0, 1948.0, 1217.0, 36.0], shoonya_1sRI6Y0IUCSSCG, 5656403]
[paragraph, [216.0, 1984.0, 1217.0, 36.0], shoonya_1sRI6Y0IUCSSCG, 5656403]
