[1275, 713]
[folio, [558.0, 40.0, 109.0, 18.0], i75sLZwqEQ, 5782019]
[folio, [558.0, 58.0, 109.0, 18.0], i75sLZwqEQ, 5782019]
[ordered-list, [25.0, 129.0, 643.0, 18.0], 6O32U4cAgU, 5782019]
[ordered-list, [25.0, 147.0, 643.0, 18.0], 6O32U4cAgU, 5782019]
[ordered-list, [25.0, 165.0, 643.0, 18.0], 6O32U4cAgU, 5782019]
[ordered-list, [25.0, 183.0, 643.0, 18.0], 6O32U4cAgU, 5782019]
[ordered-list, [10.0, 213.0, 671.0, 18.0], dGKpqustew, 5782019]
[ordered-list, [10.0, 231.0, 671.0, 18.0], dGKpqustew, 5782019]
[ordered-list, [10.0, 249.0, 671.0, 18.0], dGKpqustew, 5782019]
[ordered-list, [10.0, 267.0, 671.0, 18.0], dGKpqustew, 5782019]
[ordered-list, [10.0, 285.0, 671.0, 18.0], dGKpqustew, 5782019]
[ordered-list, [10.0, 303.0, 671.0, 18.0], dGKpqustew, 5782019]
[ordered-list, [10.0, 321.0, 671.0, 18.0], dGKpqustew, 5782019]
[ordered-list, [10.0, 339.0, 671.0, 18.0], dGKpqustew, 5782019]
[ordered-list, [10.0, 357.0, 671.0, 18.0], dGKpqustew, 5782019]
[ordered-list, [10.0, 375.0, 671.0, 18.0], dGKpqustew, 5782019]
[ordered-list, [10.0, 393.0, 671.0, 18.0], dGKpqustew, 5782019]
[ordered-list, [10.0, 411.0, 671.0, 18.0], dGKpqustew, 5782019]
[ordered-list, [10.0, 429.0, 671.0, 18.0], dGKpqustew, 5782019]
[ordered-list, [10.0, 447.0, 671.0, 18.0], dGKpqustew, 5782019]
[ordered-list, [10.0, 465.0, 671.0, 18.0], dGKpqustew, 5782019]
[ordered-list, [10.0, 483.0, 671.0, 18.0], dGKpqustew, 5782019]
[ordered-list, [10.0, 501.0, 671.0, 18.0], dGKpqustew, 5782019]
[ordered-list, [10.0, 519.0, 671.0, 18.0], dGKpqustew, 5782019]
[ordered-list, [10.0, 537.0, 671.0, 18.0], dGKpqustew, 5782019]
[ordered-list, [10.0, 555.0, 671.0, 18.0], dGKpqustew, 5782019]
[ordered-list, [10.0, 573.0, 671.0, 18.0], dGKpqustew, 5782019]
[ordered-list, [10.0, 591.0, 671.0, 18.0], dGKpqustew, 5782019]
[ordered-list, [10.0, 609.0, 671.0, 18.0], dGKpqustew, 5782019]
[ordered-list, [10.0, 627.0, 671.0, 18.0], dGKpqustew, 5782019]
[ordered-list, [10.0, 645.0, 671.0, 18.0], dGKpqustew, 5782019]
[ordered-list, [10.0, 663.0, 671.0, 18.0], dGKpqustew, 5782019]
[ordered-list, [10.0, 681.0, 671.0, 18.0], dGKpqustew, 5782019]
[ordered-list, [10.0, 699.0, 671.0, 18.0], dGKpqustew, 5782019]
[ordered-list, [10.0, 717.0, 671.0, 18.0], dGKpqustew, 5782019]
[ordered-list, [10.0, 735.0, 671.0, 18.0], dGKpqustew, 5782019]
[ordered-list, [10.0, 753.0, 671.0, 18.0], dGKpqustew, 5782019]
[ordered-list, [10.0, 771.0, 671.0, 18.0], dGKpqustew, 5782019]
[ordered-list, [10.0, 789.0, 671.0, 18.0], dGKpqustew, 5782019]
[ordered-list, [10.0, 807.0, 671.0, 18.0], dGKpqustew, 5782019]
[ordered-list, [10.0, 825.0, 671.0, 18.0], dGKpqustew, 5782019]
[ordered-list, [10.0, 843.0, 671.0, 18.0], dGKpqustew, 5782019]
[ordered-list, [10.0, 861.0, 671.0, 18.0], dGKpqustew, 5782019]
[ordered-list, [10.0, 879.0, 671.0, 18.0], dGKpqustew, 5782019]
[ordered-list, [10.0, 897.0, 671.0, 18.0], dGKpqustew, 5782019]
[ordered-list, [10.0, 915.0, 671.0, 18.0], dGKpqustew, 5782019]
[ordered-list, [10.0, 933.0, 671.0, 18.0], dGKpqustew, 5782019]
[sub-ordered-list, [14.0, 270.0, 664.0, 18.0], -eCAEZPHh-, 5782019]
[sub-ordered-list, [14.0, 288.0, 664.0, 18.0], -eCAEZPHh-, 5782019]
[sub-ordered-list, [14.0, 306.0, 664.0, 18.0], -eCAEZPHh-, 5782019]
[sub-ordered-list, [14.0, 324.0, 664.0, 18.0], -eCAEZPHh-, 5782019]
[sub-ordered-list, [14.0, 342.0, 664.0, 18.0], -eCAEZPHh-, 5782019]
[sub-ordered-list, [14.0, 360.0, 664.0, 18.0], -eCAEZPHh-, 5782019]
[sub-ordered-list, [14.0, 378.0, 664.0, 18.0], -eCAEZPHh-, 5782019]
[sub-ordered-list, [14.0, 396.0, 664.0, 18.0], -eCAEZPHh-, 5782019]
[sub-ordered-list, [14.0, 414.0, 664.0, 18.0], -eCAEZPHh-, 5782019]
[sub-ordered-list, [14.0, 432.0, 664.0, 18.0], -eCAEZPHh-, 5782019]
[sub-ordered-list, [14.0, 450.0, 664.0, 18.0], -eCAEZPHh-, 5782019]
[sub-ordered-list, [14.0, 468.0, 664.0, 18.0], -eCAEZPHh-, 5782019]
[sub-ordered-list, [14.0, 486.0, 664.0, 18.0], -eCAEZPHh-, 5782019]
[sub-ordered-list, [14.0, 504.0, 664.0, 18.0], -eCAEZPHh-, 5782019]
[sub-ordered-list, [14.0, 522.0, 664.0, 18.0], -eCAEZPHh-, 5782019]
[sub-ordered-list, [14.0, 540.0, 664.0, 18.0], -eCAEZPHh-, 5782019]
[sub-ordered-list, [14.0, 558.0, 664.0, 18.0], -eCAEZPHh-, 5782019]
[sub-ordered-list, [14.0, 576.0, 664.0, 18.0], -eCAEZPHh-, 5782019]
[sub-ordered-list, [14.0, 594.0, 664.0, 18.0], -eCAEZPHh-, 5782019]
[sub-ordered-list, [14.0, 612.0, 664.0, 18.0], -eCAEZPHh-, 5782019]
[sub-ordered-list, [14.0, 630.0, 664.0, 18.0], -eCAEZPHh-, 5782019]
[sub-ordered-list, [14.0, 648.0, 664.0, 18.0], -eCAEZPHh-, 5782019]
[sub-ordered-list, [14.0, 666.0, 664.0, 18.0], -eCAEZPHh-, 5782019]
[sub-ordered-list, [14.0, 684.0, 664.0, 18.0], -eCAEZPHh-, 5782019]
[sub-ordered-list, [14.0, 702.0, 664.0, 18.0], -eCAEZPHh-, 5782019]
[sub-ordered-list, [14.0, 720.0, 664.0, 18.0], -eCAEZPHh-, 5782019]
[sub-ordered-list, [14.0, 738.0, 664.0, 18.0], -eCAEZPHh-, 5782019]
[sub-ordered-list, [14.0, 756.0, 664.0, 18.0], -eCAEZPHh-, 5782019]
[sub-ordered-list, [14.0, 774.0, 664.0, 18.0], -eCAEZPHh-, 5782019]
[sub-ordered-list, [14.0, 792.0, 664.0, 18.0], -eCAEZPHh-, 5782019]
[sub-ordered-list, [14.0, 810.0, 664.0, 18.0], -eCAEZPHh-, 5782019]
[sub-ordered-list, [14.0, 828.0, 664.0, 18.0], -eCAEZPHh-, 5782019]
[sub-ordered-list, [14.0, 846.0, 664.0, 18.0], -eCAEZPHh-, 5782019]
[sub-ordered-list, [14.0, 864.0, 664.0, 18.0], -eCAEZPHh-, 5782019]
[sub-ordered-list, [14.0, 882.0, 664.0, 18.0], -eCAEZPHh-, 5782019]
[sub-ordered-list, [14.0, 900.0, 664.0, 18.0], -eCAEZPHh-, 5782019]
[sub-ordered-list, [14.0, 918.0, 664.0, 18.0], -eCAEZPHh-, 5782019]
[sub-ordered-list, [14.0, 936.0, 664.0, 18.0], -eCAEZPHh-, 5782019]
[subsub-ordered-list, [20.0, 387.0, 653.0, 18.0], TMQn3ZZw7M, 5782019]
