[792, 612]
[folio, [490.0, 33.0, 63.0, 18.0], qkfSh3IdxU, 6515823]
[folio, [0.0, 52.0, 163.0, 18.0], mUNMnM-OcM, 6515823]
[headline, [43.0, 97.0, 254.0, 25.5], M5zJaP_uhw, 6515823]
[headline, [43.0, 122.5, 254.0, 25.5], M5zJaP_uhw, 6515823]
[headline, [43.0, 148.0, 254.0, 25.5], M5zJaP_uhw, 6515823]
[headline, [43.0, 173.5, 254.0, 25.5], M5zJaP_uhw, 6515823]
[headline, [43.0, 199.0, 254.0, 25.5], M5zJaP_uhw, 6515823]
[headline, [43.0, 224.5, 254.0, 25.5], M5zJaP_uhw, 6515823]
[headline, [43.0, 250.0, 254.0, 25.5], M5zJaP_uhw, 6515823]
[headline, [43.0, 275.5, 254.0, 25.5], M5zJaP_uhw, 6515823]
[headline, [43.0, 301.0, 254.0, 25.5], M5zJaP_uhw, 6515823]
[author, [55.0, 356.0, 161.0, 18.0], sa0hJLbXPQ, 6515823]
[paragraph, [222.0, 362.0, 165.0, 18.0], OPbhxgolU-, 6515823]
[paragraph, [222.0, 380.0, 165.0, 18.0], OPbhxgolU-, 6515823]
[paragraph, [222.0, 398.0, 165.0, 18.0], OPbhxgolU-, 6515823]
[paragraph, [222.0, 416.0, 165.0, 18.0], OPbhxgolU-, 6515823]
[paragraph, [391.0, 371.0, 104.0, 18.0], 8OLxRTzkcr, 6515823]
[paragraph, [49.0, 386.0, 169.0, 18.0], S1MOgBV2Zv, 6515823]
[paragraph, [49.0, 404.0, 169.0, 18.0], S1MOgBV2Zv, 6515823]
[paragraph, [49.0, 422.0, 169.0, 18.0], S1MOgBV2Zv, 6515823]
[paragraph, [49.0, 440.0, 169.0, 18.0], S1MOgBV2Zv, 6515823]
[paragraph, [49.0, 458.0, 169.0, 18.0], S1MOgBV2Zv, 6515823]
[paragraph, [49.0, 476.0, 169.0, 18.0], S1MOgBV2Zv, 6515823]
[paragraph, [49.0, 494.0, 169.0, 18.0], S1MOgBV2Zv, 6515823]
[paragraph, [391.0, 399.0, 163.0, 18.0], 258A1sbwJv, 6515823]
[paragraph, [391.0, 417.0, 163.0, 18.0], 258A1sbwJv, 6515823]
[paragraph, [391.0, 435.0, 163.0, 18.0], 258A1sbwJv, 6515823]
[paragraph, [391.0, 453.0, 163.0, 18.0], 258A1sbwJv, 6515823]
[paragraph, [391.0, 471.0, 163.0, 18.0], 258A1sbwJv, 6515823]
[paragraph, [391.0, 489.0, 163.0, 18.0], 258A1sbwJv, 6515823]
