[588, 379]
[section-title, [135.0, 92.0, 109.0, 30.0], itZOcJNL_K, 6492827]
[paragraph, [31.0, 140.0, 323.0, 18.0], shoonya_0sO2L18NOOWR7K, 6492827]
[paragraph, [31.0, 158.0, 323.0, 18.0], shoonya_0sO2L18NOOWR7K, 6492827]
[paragraph, [31.0, 176.0, 323.0, 18.0], shoonya_0sO2L18NOOWR7K, 6492827]
[paragraph, [31.0, 194.0, 323.0, 18.0], shoonya_0sO2L18NOOWR7K, 6492827]
[paragraph, [31.0, 212.0, 323.0, 18.0], shoonya_0sO2L18NOOWR7K, 6492827]
[paragraph, [31.0, 230.0, 323.0, 18.0], shoonya_0sO2L18NOOWR7K, 6492827]
[paragraph, [31.0, 248.0, 323.0, 18.0], shoonya_0sO2L18NOOWR7K, 6492827]
[paragraph, [31.0, 266.0, 323.0, 18.0], shoonya_0sO2L18NOOWR7K, 6492827]
[paragraph, [31.0, 284.0, 323.0, 18.0], shoonya_0sO2L18NOOWR7K, 6492827]
[paragraph, [31.0, 302.0, 323.0, 18.0], shoonya_0sO2L18NOOWR7K, 6492827]
[paragraph, [31.0, 320.0, 323.0, 18.0], shoonya_0sO2L18NOOWR7K, 6492827]
[paragraph, [31.0, 338.0, 323.0, 18.0], shoonya_0sO2L18NOOWR7K, 6492827]
[paragraph, [31.0, 356.0, 323.0, 18.0], shoonya_0sO2L18NOOWR7K, 6492827]
[paragraph, [31.0, 374.0, 323.0, 18.0], shoonya_0sO2L18NOOWR7K, 6492827]
[paragraph, [31.0, 392.0, 323.0, 18.0], shoonya_0sO2L18NOOWR7K, 6492827]
[paragraph, [31.0, 410.0, 323.0, 18.0], shoonya_0sO2L18NOOWR7K, 6492827]
[paragraph, [31.0, 428.0, 323.0, 18.0], shoonya_0sO2L18NOOWR7K, 6492827]
[paragraph, [31.0, 446.0, 323.0, 18.0], shoonya_0sO2L18NOOWR7K, 6492827]
[paragraph, [31.0, 464.0, 323.0, 18.0], shoonya_0sO2L18NOOWR7K, 6492827]
[paragraph, [31.0, 482.0, 323.0, 18.0], shoonya_0sO2L18NOOWR7K, 6492827]
[paragraph, [31.0, 500.0, 323.0, 18.0], shoonya_0sO2L18NOOWR7K, 6492827]
[paragraph, [31.0, 518.0, 323.0, 18.0], shoonya_0sO2L18NOOWR7K, 6492827]
[paragraph, [31.0, 536.0, 323.0, 18.0], shoonya_0sO2L18NOOWR7K, 6492827]
