[1350, 900]
[folio, [195.0, 195.0, 211.0, 18.0], shoonya_6sH05R5CF46K6E, 5759750]
[paragraph, [176.0, 238.0, 559.0, 18.0], shoonya_0sM132SBG5D6K2, 5759750]
[paragraph, [176.0, 256.0, 559.0, 18.0], shoonya_0sM132SBG5D6K2, 5759750]
[paragraph, [176.0, 274.0, 559.0, 18.0], shoonya_0sM132SBG5D6K2, 5759750]
[paragraph, [176.0, 292.0, 559.0, 18.0], shoonya_0sM132SBG5D6K2, 5759750]
[paragraph, [176.0, 310.0, 559.0, 18.0], shoonya_0sM132SBG5D6K2, 5759750]
[paragraph, [176.0, 328.0, 559.0, 18.0], shoonya_0sM132SBG5D6K2, 5759750]
[section-title, [176.0, 396.0, 198.0, 30.0], shoonya_3sG4AV3CITKS60, 5759750]
[paragraph, [175.0, 458.0, 562.0, 18.0], shoonya_1s476XTTO4SF4U, 5759750]
[paragraph, [175.0, 476.0, 562.0, 18.0], shoonya_1s476XTTO4SF4U, 5759750]
[paragraph, [175.0, 494.0, 562.0, 18.0], shoonya_1s476XTTO4SF4U, 5759750]
[paragraph, [175.0, 512.0, 562.0, 18.0], shoonya_1s476XTTO4SF4U, 5759750]
[paragraph, [175.0, 530.0, 562.0, 18.0], shoonya_1s476XTTO4SF4U, 5759750]
[paragraph, [175.0, 548.0, 562.0, 18.0], shoonya_1s476XTTO4SF4U, 5759750]
[paragraph, [175.0, 566.0, 562.0, 18.0], shoonya_1s476XTTO4SF4U, 5759750]
[paragraph, [175.0, 584.0, 562.0, 18.0], shoonya_1s476XTTO4SF4U, 5759750]
[paragraph, [175.0, 602.0, 562.0, 18.0], shoonya_1s476XTTO4SF4U, 5759750]
[paragraph, [175.0, 620.0, 562.0, 18.0], shoonya_1s476XTTO4SF4U, 5759750]
[paragraph, [175.0, 638.0, 562.0, 18.0], shoonya_1s476XTTO4SF4U, 5759750]
[paragraph, [175.0, 656.0, 562.0, 18.0], shoonya_1s476XTTO4SF4U, 5759750]
[paragraph, [175.0, 674.0, 562.0, 18.0], shoonya_1s476XTTO4SF4U, 5759750]
[paragraph, [175.0, 692.0, 562.0, 18.0], shoonya_1s476XTTO4SF4U, 5759750]
[paragraph, [175.0, 710.0, 562.0, 18.0], shoonya_1s476XTTO4SF4U, 5759750]
[paragraph, [175.0, 728.0, 562.0, 18.0], shoonya_1s476XTTO4SF4U, 5759750]
[paragraph, [175.0, 746.0, 562.0, 18.0], shoonya_1s476XTTO4SF4U, 5759750]
[paragraph, [175.0, 764.0, 562.0, 18.0], shoonya_1s476XTTO4SF4U, 5759750]
[paragraph, [175.0, 782.0, 562.0, 18.0], shoonya_1s476XTTO4SF4U, 5759750]
[paragraph, [177.0, 836.0, 561.0, 18.0], shoonya_5sLYQKJ6KFYKAB, 5759750]
[paragraph, [177.0, 854.0, 561.0, 18.0], shoonya_5sLYQKJ6KFYKAB, 5759750]
[paragraph, [177.0, 872.0, 561.0, 18.0], shoonya_5sLYQKJ6KFYKAB, 5759750]
[paragraph, [177.0, 890.0, 561.0, 18.0], shoonya_5sLYQKJ6KFYKAB, 5759750]
[paragraph, [177.0, 908.0, 561.0, 18.0], shoonya_5sLYQKJ6KFYKAB, 5759750]
[paragraph, [177.0, 926.0, 561.0, 18.0], shoonya_5sLYQKJ6KFYKAB, 5759750]
[paragraph, [177.0, 944.0, 561.0, 18.0], shoonya_5sLYQKJ6KFYKAB, 5759750]
[paragraph, [177.0, 962.0, 561.0, 18.0], shoonya_5sLYQKJ6KFYKAB, 5759750]
[paragraph, [177.0, 980.0, 561.0, 18.0], shoonya_5sLYQKJ6KFYKAB, 5759750]
[paragraph, [177.0, 998.0, 561.0, 18.0], shoonya_5sLYQKJ6KFYKAB, 5759750]
[paragraph, [177.0, 1016.0, 561.0, 18.0], shoonya_5sLYQKJ6KFYKAB, 5759750]
[paragraph, [177.0, 1034.0, 561.0, 18.0], shoonya_5sLYQKJ6KFYKAB, 5759750]
[paragraph, [177.0, 1052.0, 561.0, 18.0], shoonya_5sLYQKJ6KFYKAB, 5759750]
[paragraph, [177.0, 1070.0, 561.0, 18.0], shoonya_5sLYQKJ6KFYKAB, 5759750]
[paragraph, [177.0, 1088.0, 561.0, 18.0], shoonya_5sLYQKJ6KFYKAB, 5759750]
[paragraph, [177.0, 1106.0, 561.0, 18.0], shoonya_5sLYQKJ6KFYKAB, 5759750]
