[1200, 825]
[paragraph, [140.0, 109.0, 544.0, 18.0], shoonya_0s8JI9SYB24CXK, 5691293]
[paragraph, [140.0, 127.0, 544.0, 18.0], shoonya_0s8JI9SYB24CXK, 5691293]
[paragraph, [140.0, 145.0, 544.0, 18.0], shoonya_0s8JI9SYB24CXK, 5691293]
[paragraph, [140.0, 163.0, 544.0, 18.0], shoonya_0s8JI9SYB24CXK, 5691293]
[paragraph, [140.0, 181.0, 544.0, 18.0], shoonya_0s8JI9SYB24CXK, 5691293]
[paragraph, [140.0, 199.0, 544.0, 18.0], shoonya_0s8JI9SYB24CXK, 5691293]
[paragraph, [140.0, 217.0, 544.0, 18.0], shoonya_0s8JI9SYB24CXK, 5691293]
[paragraph, [140.0, 235.0, 544.0, 18.0], shoonya_0s8JI9SYB24CXK, 5691293]
[paragraph, [140.0, 253.0, 544.0, 18.0], shoonya_0s8JI9SYB24CXK, 5691293]
[paragraph, [139.0, 285.0, 548.0, 18.0], LS-Cv_LeeN, 5691293]
[paragraph, [139.0, 303.0, 548.0, 18.0], LS-Cv_LeeN, 5691293]
[paragraph, [139.0, 321.0, 548.0, 18.0], LS-Cv_LeeN, 5691293]
[paragraph, [139.0, 339.0, 548.0, 18.0], LS-Cv_LeeN, 5691293]
[paragraph, [139.0, 357.0, 548.0, 18.0], LS-Cv_LeeN, 5691293]
[paragraph, [139.0, 375.0, 548.0, 18.0], LS-Cv_LeeN, 5691293]
[paragraph, [139.0, 393.0, 548.0, 18.0], LS-Cv_LeeN, 5691293]
[paragraph, [139.0, 411.0, 548.0, 18.0], LS-Cv_LeeN, 5691293]
[paragraph, [139.0, 429.0, 548.0, 18.0], LS-Cv_LeeN, 5691293]
[paragraph, [139.0, 447.0, 548.0, 18.0], LS-Cv_LeeN, 5691293]
[paragraph, [139.0, 465.0, 548.0, 18.0], LS-Cv_LeeN, 5691293]
[paragraph, [139.0, 483.0, 548.0, 18.0], LS-Cv_LeeN, 5691293]
[paragraph, [139.0, 501.0, 548.0, 18.0], LS-Cv_LeeN, 5691293]
[paragraph, [139.0, 519.0, 548.0, 18.0], LS-Cv_LeeN, 5691293]
[paragraph, [139.0, 537.0, 548.0, 18.0], LS-Cv_LeeN, 5691293]
[paragraph, [139.0, 555.0, 548.0, 18.0], LS-Cv_LeeN, 5691293]
[paragraph, [139.0, 582.0, 547.0, 18.0], oKTWHbHeJx, 5691293]
[paragraph, [139.0, 600.0, 547.0, 18.0], oKTWHbHeJx, 5691293]
[paragraph, [139.0, 618.0, 547.0, 18.0], oKTWHbHeJx, 5691293]
[paragraph, [139.0, 636.0, 547.0, 18.0], oKTWHbHeJx, 5691293]
[paragraph, [139.0, 654.0, 547.0, 18.0], oKTWHbHeJx, 5691293]
[paragraph, [139.0, 672.0, 547.0, 18.0], oKTWHbHeJx, 5691293]
[paragraph, [139.0, 690.0, 547.0, 18.0], oKTWHbHeJx, 5691293]
[paragraph, [139.0, 708.0, 547.0, 18.0], oKTWHbHeJx, 5691293]
[paragraph, [139.0, 726.0, 547.0, 18.0], oKTWHbHeJx, 5691293]
[paragraph, [139.0, 744.0, 547.0, 18.0], oKTWHbHeJx, 5691293]
[paragraph, [139.0, 762.0, 547.0, 18.0], oKTWHbHeJx, 5691293]
[paragraph, [139.0, 780.0, 547.0, 18.0], oKTWHbHeJx, 5691293]
[paragraph, [139.0, 798.0, 547.0, 18.0], oKTWHbHeJx, 5691293]
[paragraph, [139.0, 816.0, 547.0, 18.0], oKTWHbHeJx, 5691293]
[paragraph, [139.0, 834.0, 547.0, 18.0], oKTWHbHeJx, 5691293]
[paragraph, [139.0, 852.0, 547.0, 18.0], oKTWHbHeJx, 5691293]
[paragraph, [139.0, 870.0, 547.0, 18.0], oKTWHbHeJx, 5691293]
[paragraph, [139.0, 888.0, 547.0, 18.0], oKTWHbHeJx, 5691293]
[paragraph, [139.0, 906.0, 547.0, 18.0], oKTWHbHeJx, 5691293]
[paragraph, [139.0, 924.0, 547.0, 18.0], oKTWHbHeJx, 5691293]
[paragraph, [139.0, 942.0, 547.0, 18.0], oKTWHbHeJx, 5691293]
[paragraph, [139.0, 960.0, 547.0, 18.0], oKTWHbHeJx, 5691293]
[paragraph, [139.0, 978.0, 547.0, 18.0], oKTWHbHeJx, 5691293]
[paragraph, [139.0, 996.0, 547.0, 18.0], oKTWHbHeJx, 5691293]
[paragraph, [139.0, 1014.0, 547.0, 18.0], oKTWHbHeJx, 5691293]
[paragraph, [139.0, 1032.0, 547.0, 18.0], oKTWHbHeJx, 5691293]
