[679, 512]
[paragraph, [53.0, 39.0, 401.0, 18.0], shoonya_3sIY626ZLD537L, 6493278]
[paragraph, [53.0, 57.0, 401.0, 18.0], shoonya_3sIY626ZLD537L, 6493278]
[paragraph, [53.0, 75.0, 401.0, 18.0], shoonya_3sIY626ZLD537L, 6493278]
[paragraph, [50.0, 101.0, 404.0, 18.0], shoonya_2sJR3AWAKPLRYI, 6493278]
[paragraph, [50.0, 119.0, 404.0, 18.0], shoonya_2sJR3AWAKPLRYI, 6493278]
[paragraph, [52.0, 148.0, 403.0, 18.0], shoonya_0sVUPER0TMBLSM, 6493278]
[paragraph, [52.0, 166.0, 403.0, 18.0], shoonya_0sVUPER0TMBLSM, 6493278]
[paragraph, [52.0, 184.0, 403.0, 18.0], shoonya_0sVUPER0TMBLSM, 6493278]
[paragraph, [52.0, 202.0, 403.0, 18.0], shoonya_0sVUPER0TMBLSM, 6493278]
[paragraph, [52.0, 220.0, 403.0, 18.0], shoonya_0sVUPER0TMBLSM, 6493278]
[paragraph, [52.0, 238.0, 403.0, 18.0], shoonya_0sVUPER0TMBLSM, 6493278]
[paragraph, [52.0, 256.0, 403.0, 18.0], shoonya_0sVUPER0TMBLSM, 6493278]
[paragraph, [52.0, 274.0, 403.0, 18.0], shoonya_0sVUPER0TMBLSM, 6493278]
[paragraph, [52.0, 292.0, 403.0, 18.0], shoonya_0sVUPER0TMBLSM, 6493278]
[paragraph, [52.0, 310.0, 403.0, 18.0], shoonya_0sVUPER0TMBLSM, 6493278]
[paragraph, [51.0, 344.0, 405.0, 18.0], shoonya_1s92C12S9STBYA, 6493278]
[paragraph, [51.0, 362.0, 405.0, 18.0], shoonya_1s92C12S9STBYA, 6493278]
[paragraph, [51.0, 380.0, 405.0, 18.0], shoonya_1s92C12S9STBYA, 6493278]
[paragraph, [51.0, 398.0, 405.0, 18.0], shoonya_1s92C12S9STBYA, 6493278]
[paragraph, [51.0, 416.0, 405.0, 18.0], shoonya_1s92C12S9STBYA, 6493278]
[paragraph, [51.0, 434.0, 405.0, 18.0], shoonya_1s92C12S9STBYA, 6493278]
[paragraph, [51.0, 452.0, 405.0, 18.0], shoonya_1s92C12S9STBYA, 6493278]
[paragraph, [51.0, 470.0, 405.0, 18.0], shoonya_1s92C12S9STBYA, 6493278]
[paragraph, [51.0, 488.0, 405.0, 18.0], shoonya_1s92C12S9STBYA, 6493278]
[paragraph, [51.0, 506.0, 405.0, 18.0], shoonya_1s92C12S9STBYA, 6493278]
[paragraph, [51.0, 524.0, 405.0, 18.0], shoonya_1s92C12S9STBYA, 6493278]
[paragraph, [51.0, 542.0, 405.0, 18.0], shoonya_1s92C12S9STBYA, 6493278]
[paragraph, [51.0, 560.0, 405.0, 18.0], shoonya_1s92C12S9STBYA, 6493278]
[paragraph, [51.0, 578.0, 405.0, 18.0], shoonya_1s92C12S9STBYA, 6493278]
[folio, [155.0, 610.0, 166.0, 18.0], 68PVCDimk8, 6493278]
