[3509, 2480]
[paragraph, [362.0, 387.0, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 439.5, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 492.0, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 544.5, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 597.0, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 649.5, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 702.0, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 754.5, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 807.0, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 859.5, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 912.0, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 964.5, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 1017.0, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 1069.5, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 1122.0, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 1174.5, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 1227.0, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 1279.5, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 1332.0, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 1384.5, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 1437.0, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 1489.5, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 1542.0, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 1594.5, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 1647.0, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 1699.5, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 1752.0, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 1804.5, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 1857.0, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 1909.5, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 1962.0, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 2014.5, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 2067.0, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 2119.5, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 2172.0, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 2224.5, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 2277.0, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 2329.5, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 2382.0, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 2434.5, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 2487.0, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 2539.5, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 2592.0, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 2644.5, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 2697.0, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 2749.5, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[paragraph, [362.0, 2802.0, 1780.0, 52.5], shoonya_1s6XOXQ08A0DMJ, 5724470]
[footnote, [364.0, 2903.0, 1747.0, 52.5], shoonya_0sTPBTPJQHTIO1, 5724470]
[footnote, [364.0, 2955.5, 1747.0, 52.5], shoonya_0sTPBTPJQHTIO1, 5724470]
[footnote, [364.0, 3008.0, 1747.0, 52.5], shoonya_0sTPBTPJQHTIO1, 5724470]
[footnote, [364.0, 3060.5, 1747.0, 52.5], shoonya_0sTPBTPJQHTIO1, 5724470]
