[1650, 1275]
[section-title, [145.0, 208.0, 321.0, 49.5], iCp08YLqCd, 5781267]
[paragraph, [129.0, 269.0, 1018.0, 36.0], shoonya_0sYM5IOZNG5N08, 5781267]
[paragraph, [129.0, 305.0, 1018.0, 36.0], shoonya_0sYM5IOZNG5N08, 5781267]
[paragraph, [129.0, 341.0, 1018.0, 36.0], shoonya_0sYM5IOZNG5N08, 5781267]
[paragraph, [129.0, 377.0, 1018.0, 36.0], shoonya_0sYM5IOZNG5N08, 5781267]
[paragraph, [129.0, 413.0, 1018.0, 36.0], shoonya_0sYM5IOZNG5N08, 5781267]
[reference, [154.0, 602.0, 1012.0, 36.0], 3SeInCwbbo, 5781267]
[reference, [154.0, 638.0, 1012.0, 36.0], 3SeInCwbbo, 5781267]
[reference, [154.0, 674.0, 1012.0, 36.0], 3SeInCwbbo, 5781267]
[reference, [154.0, 710.0, 1012.0, 36.0], 3SeInCwbbo, 5781267]
[reference, [154.0, 746.0, 1012.0, 36.0], 3SeInCwbbo, 5781267]
[reference, [154.0, 782.0, 1012.0, 36.0], 3SeInCwbbo, 5781267]
[reference, [154.0, 818.0, 1012.0, 36.0], 3SeInCwbbo, 5781267]
[reference, [154.0, 854.0, 1012.0, 36.0], 3SeInCwbbo, 5781267]
[reference, [154.0, 890.0, 1012.0, 36.0], 3SeInCwbbo, 5781267]
[reference, [154.0, 926.0, 1012.0, 36.0], 3SeInCwbbo, 5781267]
[reference, [154.0, 962.0, 1012.0, 36.0], 3SeInCwbbo, 5781267]
[reference, [154.0, 998.0, 1012.0, 36.0], 3SeInCwbbo, 5781267]
[reference, [154.0, 1034.0, 1012.0, 36.0], 3SeInCwbbo, 5781267]
[reference, [154.0, 1070.0, 1012.0, 36.0], 3SeInCwbbo, 5781267]
[reference, [154.0, 1106.0, 1012.0, 36.0], 3SeInCwbbo, 5781267]
[reference, [154.0, 1142.0, 1012.0, 36.0], 3SeInCwbbo, 5781267]
[reference, [154.0, 1178.0, 1012.0, 36.0], 3SeInCwbbo, 5781267]
[reference, [154.0, 1214.0, 1012.0, 36.0], 3SeInCwbbo, 5781267]
[reference, [154.0, 1250.0, 1012.0, 36.0], 3SeInCwbbo, 5781267]
[reference, [154.0, 1286.0, 1012.0, 36.0], 3SeInCwbbo, 5781267]
[reference, [154.0, 1322.0, 1012.0, 36.0], 3SeInCwbbo, 5781267]
