[842, 596]
[chapter-title, [226.0, 68.0, 143.0, 30.0], XU9RaPrqbL, 5780527]
[paragraph, [62.0, 139.0, 450.0, 18.0], nwxiiELzwX, 5780527]
[unordered-list, [70.0, 171.0, 476.0, 18.0], shoonya_0sKKQN3WHDE7TO, 5780527]
[unordered-list, [70.0, 189.0, 476.0, 18.0], shoonya_0sKKQN3WHDE7TO, 5780527]
[unordered-list, [70.0, 207.0, 476.0, 18.0], shoonya_0sKKQN3WHDE7TO, 5780527]
[unordered-list, [70.0, 225.0, 476.0, 18.0], shoonya_0sKKQN3WHDE7TO, 5780527]
[unordered-list, [70.0, 243.0, 476.0, 18.0], shoonya_0sKKQN3WHDE7TO, 5780527]
[unordered-list, [70.0, 261.0, 476.0, 18.0], shoonya_0sKKQN3WHDE7TO, 5780527]
[unordered-list, [70.0, 279.0, 476.0, 18.0], shoonya_0sKKQN3WHDE7TO, 5780527]
[unordered-list, [70.0, 297.0, 476.0, 18.0], shoonya_0sKKQN3WHDE7TO, 5780527]
[unordered-list, [70.0, 315.0, 476.0, 18.0], shoonya_0sKKQN3WHDE7TO, 5780527]
[unordered-list, [70.0, 333.0, 476.0, 18.0], shoonya_0sKKQN3WHDE7TO, 5780527]
[unordered-list, [70.0, 351.0, 476.0, 18.0], shoonya_0sKKQN3WHDE7TO, 5780527]
[unordered-list, [70.0, 369.0, 476.0, 18.0], shoonya_0sKKQN3WHDE7TO, 5780527]
[unordered-list, [70.0, 387.0, 476.0, 18.0], shoonya_0sKKQN3WHDE7TO, 5780527]
[unordered-list, [70.0, 405.0, 476.0, 18.0], shoonya_0sKKQN3WHDE7TO, 5780527]
[unordered-list, [70.0, 423.0, 476.0, 18.0], shoonya_0sKKQN3WHDE7TO, 5780527]
[unordered-list, [70.0, 441.0, 476.0, 18.0], shoonya_0sKKQN3WHDE7TO, 5780527]
[unordered-list, [70.0, 459.0, 476.0, 18.0], shoonya_0sKKQN3WHDE7TO, 5780527]
[unordered-list, [70.0, 477.0, 476.0, 18.0], shoonya_0sKKQN3WHDE7TO, 5780527]
[unordered-list, [70.0, 495.0, 476.0, 18.0], shoonya_0sKKQN3WHDE7TO, 5780527]
[unordered-list, [70.0, 513.0, 476.0, 18.0], shoonya_0sKKQN3WHDE7TO, 5780527]
[unordered-list, [70.0, 531.0, 476.0, 18.0], shoonya_0sKKQN3WHDE7TO, 5780527]
[unordered-list, [70.0, 549.0, 476.0, 18.0], shoonya_0sKKQN3WHDE7TO, 5780527]
[unordered-list, [70.0, 567.0, 476.0, 18.0], shoonya_0sKKQN3WHDE7TO, 5780527]
[unordered-list, [70.0, 585.0, 476.0, 18.0], shoonya_0sKKQN3WHDE7TO, 5780527]
[unordered-list, [70.0, 603.0, 476.0, 18.0], shoonya_0sKKQN3WHDE7TO, 5780527]
[unordered-list, [70.0, 621.0, 476.0, 18.0], shoonya_0sKKQN3WHDE7TO, 5780527]
[unordered-list, [70.0, 639.0, 476.0, 18.0], shoonya_0sKKQN3WHDE7TO, 5780527]
[unordered-list, [70.0, 657.0, 476.0, 18.0], shoonya_0sKKQN3WHDE7TO, 5780527]
[unordered-list, [70.0, 675.0, 476.0, 18.0], shoonya_0sKKQN3WHDE7TO, 5780527]
[unordered-list, [70.0, 693.0, 476.0, 18.0], shoonya_0sKKQN3WHDE7TO, 5780527]
