[1200, 825]
[paragraph, [146.0, 108.0, 533.0, 18.0], shoonya_3sCMZ4AT8OMWH9, 5690760]
[paragraph, [146.0, 126.0, 533.0, 18.0], shoonya_3sCMZ4AT8OMWH9, 5690760]
[paragraph, [146.0, 144.0, 533.0, 18.0], shoonya_3sCMZ4AT8OMWH9, 5690760]
[paragraph, [143.0, 169.0, 539.0, 18.0], shoonya_2sTGB1EWVBZAU9, 5690760]
[paragraph, [143.0, 187.0, 539.0, 18.0], shoonya_2sTGB1EWVBZAU9, 5690760]
[paragraph, [143.0, 205.0, 539.0, 18.0], shoonya_2sTGB1EWVBZAU9, 5690760]
[paragraph, [143.0, 223.0, 539.0, 18.0], shoonya_2sTGB1EWVBZAU9, 5690760]
[paragraph, [143.0, 241.0, 539.0, 18.0], shoonya_2sTGB1EWVBZAU9, 5690760]
[paragraph, [143.0, 259.0, 539.0, 18.0], shoonya_2sTGB1EWVBZAU9, 5690760]
[paragraph, [143.0, 277.0, 539.0, 18.0], shoonya_2sTGB1EWVBZAU9, 5690760]
[paragraph, [143.0, 295.0, 539.0, 18.0], shoonya_2sTGB1EWVBZAU9, 5690760]
[paragraph, [143.0, 313.0, 539.0, 18.0], shoonya_2sTGB1EWVBZAU9, 5690760]
[paragraph, [143.0, 331.0, 539.0, 18.0], shoonya_2sTGB1EWVBZAU9, 5690760]
[paragraph, [143.0, 349.0, 539.0, 18.0], shoonya_2sTGB1EWVBZAU9, 5690760]
[paragraph, [143.0, 367.0, 539.0, 18.0], shoonya_2sTGB1EWVBZAU9, 5690760]
[paragraph, [143.0, 385.0, 539.0, 18.0], shoonya_2sTGB1EWVBZAU9, 5690760]
[paragraph, [143.0, 403.0, 539.0, 18.0], shoonya_2sTGB1EWVBZAU9, 5690760]
[paragraph, [143.0, 421.0, 539.0, 18.0], shoonya_2sTGB1EWVBZAU9, 5690760]
[paragraph, [143.0, 439.0, 539.0, 18.0], shoonya_2sTGB1EWVBZAU9, 5690760]
[paragraph, [143.0, 457.0, 539.0, 18.0], shoonya_2sTGB1EWVBZAU9, 5690760]
[paragraph, [143.0, 475.0, 539.0, 18.0], shoonya_2sTGB1EWVBZAU9, 5690760]
[paragraph, [143.0, 493.0, 539.0, 18.0], shoonya_2sTGB1EWVBZAU9, 5690760]
[paragraph, [143.0, 511.0, 539.0, 18.0], shoonya_2sTGB1EWVBZAU9, 5690760]
[paragraph, [143.0, 529.0, 539.0, 18.0], shoonya_2sTGB1EWVBZAU9, 5690760]
[paragraph, [143.0, 547.0, 539.0, 18.0], shoonya_2sTGB1EWVBZAU9, 5690760]
[paragraph, [142.0, 570.0, 534.0, 18.0], byqcU5FUmo, 5690760]
[paragraph, [142.0, 588.0, 534.0, 18.0], byqcU5FUmo, 5690760]
[paragraph, [142.0, 606.0, 534.0, 18.0], byqcU5FUmo, 5690760]
[paragraph, [142.0, 624.0, 534.0, 18.0], byqcU5FUmo, 5690760]
[paragraph, [142.0, 642.0, 534.0, 18.0], byqcU5FUmo, 5690760]
[paragraph, [142.0, 660.0, 534.0, 18.0], byqcU5FUmo, 5690760]
[paragraph, [142.0, 678.0, 534.0, 18.0], byqcU5FUmo, 5690760]
[paragraph, [142.0, 696.0, 534.0, 18.0], byqcU5FUmo, 5690760]
[paragraph, [144.0, 723.0, 538.0, 18.0], shoonya_0sBXTC07ICYNET, 5690760]
[paragraph, [144.0, 741.0, 538.0, 18.0], shoonya_0sBXTC07ICYNET, 5690760]
[paragraph, [144.0, 759.0, 538.0, 18.0], shoonya_0sBXTC07ICYNET, 5690760]
[paragraph, [144.0, 777.0, 538.0, 18.0], shoonya_0sBXTC07ICYNET, 5690760]
[paragraph, [144.0, 795.0, 538.0, 18.0], shoonya_0sBXTC07ICYNET, 5690760]
[paragraph, [144.0, 813.0, 538.0, 18.0], shoonya_0sBXTC07ICYNET, 5690760]
[paragraph, [144.0, 831.0, 538.0, 18.0], shoonya_0sBXTC07ICYNET, 5690760]
[paragraph, [144.0, 849.0, 538.0, 18.0], shoonya_0sBXTC07ICYNET, 5690760]
[paragraph, [144.0, 867.0, 538.0, 18.0], shoonya_0sBXTC07ICYNET, 5690760]
[paragraph, [144.0, 885.0, 538.0, 18.0], shoonya_0sBXTC07ICYNET, 5690760]
[paragraph, [144.0, 903.0, 538.0, 18.0], shoonya_0sBXTC07ICYNET, 5690760]
[paragraph, [144.0, 921.0, 538.0, 18.0], shoonya_0sBXTC07ICYNET, 5690760]
[paragraph, [144.0, 939.0, 538.0, 18.0], shoonya_0sBXTC07ICYNET, 5690760]
[paragraph, [144.0, 957.0, 538.0, 18.0], shoonya_0sBXTC07ICYNET, 5690760]
[paragraph, [144.0, 975.0, 538.0, 18.0], shoonya_0sBXTC07ICYNET, 5690760]
[paragraph, [144.0, 993.0, 538.0, 18.0], shoonya_0sBXTC07ICYNET, 5690760]
[paragraph, [144.0, 1011.0, 538.0, 18.0], shoonya_0sBXTC07ICYNET, 5690760]
[paragraph, [144.0, 1029.0, 538.0, 18.0], shoonya_0sBXTC07ICYNET, 5690760]
