[1755, 1240]
[folio, [633.0, 68.0, 497.0, 36.0], Ku9r3OPW7i, 5744127]
[paragraph, [198.0, 206.0, 935.0, 36.0], shoonya_4s9UNPOYDK37CK, 5744127]
[paragraph, [198.0, 242.0, 935.0, 36.0], shoonya_4s9UNPOYDK37CK, 5744127]
[paragraph, [198.0, 278.0, 935.0, 36.0], shoonya_4s9UNPOYDK37CK, 5744127]
[paragraph, [198.0, 314.0, 935.0, 36.0], shoonya_4s9UNPOYDK37CK, 5744127]
[paragraph, [198.0, 350.0, 935.0, 36.0], shoonya_4s9UNPOYDK37CK, 5744127]
[paragraph, [198.0, 386.0, 935.0, 36.0], shoonya_4s9UNPOYDK37CK, 5744127]
[paragraph, [198.0, 422.0, 935.0, 36.0], shoonya_4s9UNPOYDK37CK, 5744127]
[paragraph, [198.0, 458.0, 935.0, 36.0], shoonya_4s9UNPOYDK37CK, 5744127]
[paragraph, [198.0, 494.0, 935.0, 36.0], shoonya_4s9UNPOYDK37CK, 5744127]
[paragraph, [198.0, 530.0, 935.0, 36.0], shoonya_4s9UNPOYDK37CK, 5744127]
[paragraph, [198.0, 566.0, 935.0, 36.0], shoonya_4s9UNPOYDK37CK, 5744127]
[paragraph, [201.0, 622.0, 956.0, 36.0], OlhmO8_GZH, 5744127]
[paragraph, [201.0, 658.0, 956.0, 36.0], OlhmO8_GZH, 5744127]
[paragraph, [201.0, 694.0, 956.0, 36.0], OlhmO8_GZH, 5744127]
[paragraph, [201.0, 730.0, 956.0, 36.0], OlhmO8_GZH, 5744127]
[paragraph, [201.0, 766.0, 956.0, 36.0], OlhmO8_GZH, 5744127]
[paragraph, [201.0, 802.0, 956.0, 36.0], OlhmO8_GZH, 5744127]
[paragraph, [201.0, 838.0, 956.0, 36.0], OlhmO8_GZH, 5744127]
[paragraph, [197.0, 936.0, 932.0, 36.0], shoonya_2sJ035N7W344NG, 5744127]
[paragraph, [197.0, 972.0, 932.0, 36.0], shoonya_2sJ035N7W344NG, 5744127]
[paragraph, [197.0, 1008.0, 932.0, 36.0], shoonya_2sJ035N7W344NG, 5744127]
[paragraph, [197.0, 1044.0, 932.0, 36.0], shoonya_2sJ035N7W344NG, 5744127]
[paragraph, [197.0, 1080.0, 932.0, 36.0], shoonya_2sJ035N7W344NG, 5744127]
[paragraph, [197.0, 1116.0, 932.0, 36.0], shoonya_2sJ035N7W344NG, 5744127]
[paragraph, [197.0, 1152.0, 932.0, 36.0], shoonya_2sJ035N7W344NG, 5744127]
[paragraph, [197.0, 1188.0, 932.0, 36.0], shoonya_2sJ035N7W344NG, 5744127]
[paragraph, [197.0, 1224.0, 932.0, 36.0], shoonya_2sJ035N7W344NG, 5744127]
[paragraph, [197.0, 1260.0, 932.0, 36.0], shoonya_2sJ035N7W344NG, 5744127]
[paragraph, [197.0, 1296.0, 932.0, 36.0], shoonya_2sJ035N7W344NG, 5744127]
[paragraph, [197.0, 1332.0, 932.0, 36.0], shoonya_2sJ035N7W344NG, 5744127]
[paragraph, [197.0, 1368.0, 932.0, 36.0], shoonya_2sJ035N7W344NG, 5744127]
[paragraph, [197.0, 1404.0, 932.0, 36.0], shoonya_2sJ035N7W344NG, 5744127]
[paragraph, [204.0, 1509.0, 930.0, 36.0], HsHzbFADzi, 5744127]
[paragraph, [204.0, 1545.0, 930.0, 36.0], HsHzbFADzi, 5744127]
