[1238, 765]
[headline, [333.0, 103.0, 122.0, 25.5], X0gpEV24Bl, 5770169]
[paragraph, [102.0, 153.0, 271.0, 18.0], sXt84ey7kY, 5770169]
[paragraph, [102.0, 171.0, 271.0, 18.0], sXt84ey7kY, 5770169]
[paragraph, [102.0, 189.0, 271.0, 18.0], sXt84ey7kY, 5770169]
[paragraph, [102.0, 207.0, 271.0, 18.0], sXt84ey7kY, 5770169]
[paragraph, [102.0, 225.0, 271.0, 18.0], sXt84ey7kY, 5770169]
[paragraph, [402.0, 153.0, 265.0, 18.0], 2tVvXdkf1_, 5770169]
[paragraph, [402.0, 171.0, 265.0, 18.0], 2tVvXdkf1_, 5770169]
[paragraph, [402.0, 189.0, 265.0, 18.0], 2tVvXdkf1_, 5770169]
[paragraph, [401.0, 204.0, 266.0, 18.0], mpzyt0ZMdo, 5770169]
[paragraph, [401.0, 222.0, 266.0, 18.0], mpzyt0ZMdo, 5770169]
[paragraph, [401.0, 240.0, 266.0, 18.0], mpzyt0ZMdo, 5770169]
[paragraph, [401.0, 258.0, 266.0, 18.0], mpzyt0ZMdo, 5770169]
[paragraph, [401.0, 276.0, 266.0, 18.0], mpzyt0ZMdo, 5770169]
[paragraph, [103.0, 249.0, 270.0, 18.0], udwMQeLJS0, 5770169]
[paragraph, [103.0, 267.0, 270.0, 18.0], udwMQeLJS0, 5770169]
[paragraph, [103.0, 285.0, 270.0, 18.0], udwMQeLJS0, 5770169]
[paragraph, [103.0, 303.0, 270.0, 18.0], udwMQeLJS0, 5770169]
[paragraph, [103.0, 321.0, 270.0, 18.0], udwMQeLJS0, 5770169]
[paragraph, [400.0, 297.0, 269.0, 18.0], LEWGWwhyUB, 5770169]
[paragraph, [400.0, 315.0, 269.0, 18.0], LEWGWwhyUB, 5770169]
[paragraph, [400.0, 333.0, 269.0, 18.0], LEWGWwhyUB, 5770169]
[paragraph, [400.0, 351.0, 269.0, 18.0], LEWGWwhyUB, 5770169]
[paragraph, [400.0, 369.0, 269.0, 18.0], LEWGWwhyUB, 5770169]
[paragraph, [102.0, 343.0, 272.0, 18.0], 2z3sSXzqoT, 5770169]
[paragraph, [102.0, 361.0, 272.0, 18.0], 2z3sSXzqoT, 5770169]
[paragraph, [102.0, 379.0, 272.0, 18.0], 2z3sSXzqoT, 5770169]
[paragraph, [102.0, 397.0, 272.0, 18.0], 2z3sSXzqoT, 5770169]
[paragraph, [102.0, 415.0, 272.0, 18.0], 2z3sSXzqoT, 5770169]
[paragraph, [400.0, 394.0, 269.0, 18.0], szMGzsVXoy, 5770169]
[paragraph, [400.0, 412.0, 269.0, 18.0], szMGzsVXoy, 5770169]
[paragraph, [400.0, 430.0, 269.0, 18.0], szMGzsVXoy, 5770169]
[paragraph, [400.0, 448.0, 269.0, 18.0], szMGzsVXoy, 5770169]
[paragraph, [400.0, 466.0, 269.0, 18.0], szMGzsVXoy, 5770169]
[paragraph, [102.0, 439.0, 272.0, 18.0], bgueSaTSqF, 5770169]
[paragraph, [102.0, 457.0, 272.0, 18.0], bgueSaTSqF, 5770169]
[paragraph, [102.0, 475.0, 272.0, 18.0], bgueSaTSqF, 5770169]
[paragraph, [102.0, 493.0, 272.0, 18.0], bgueSaTSqF, 5770169]
[paragraph, [102.0, 511.0, 272.0, 18.0], bgueSaTSqF, 5770169]
[paragraph, [399.0, 487.0, 267.0, 18.0], haC_qW2PXu, 5770169]
[paragraph, [399.0, 505.0, 267.0, 18.0], haC_qW2PXu, 5770169]
[paragraph, [399.0, 523.0, 267.0, 18.0], haC_qW2PXu, 5770169]
[paragraph, [399.0, 541.0, 267.0, 18.0], haC_qW2PXu, 5770169]
[paragraph, [399.0, 559.0, 267.0, 18.0], haC_qW2PXu, 5770169]
[paragraph, [100.0, 534.0, 274.0, 18.0], 0N5BIikXuX, 5770169]
[paragraph, [100.0, 552.0, 274.0, 18.0], 0N5BIikXuX, 5770169]
[paragraph, [100.0, 570.0, 274.0, 18.0], 0N5BIikXuX, 5770169]
[paragraph, [100.0, 588.0, 274.0, 18.0], 0N5BIikXuX, 5770169]
[paragraph, [100.0, 606.0, 274.0, 18.0], 0N5BIikXuX, 5770169]
[paragraph, [400.0, 579.0, 264.0, 18.0], kEvCd2K53M, 5770169]
[paragraph, [400.0, 597.0, 264.0, 18.0], kEvCd2K53M, 5770169]
[paragraph, [400.0, 615.0, 264.0, 18.0], kEvCd2K53M, 5770169]
[paragraph, [400.0, 633.0, 264.0, 18.0], kEvCd2K53M, 5770169]
[paragraph, [400.0, 651.0, 264.0, 18.0], kEvCd2K53M, 5770169]
[paragraph, [98.0, 627.0, 275.0, 18.0], MK5bkqe_yS, 5770169]
[paragraph, [98.0, 645.0, 275.0, 18.0], MK5bkqe_yS, 5770169]
