[2339, 1654]
[paragraph, [185.0, 253.0, 1275.0, 36.0], shoonya_5sKHXK4U64F4VI, 5686875]
[paragraph, [185.0, 289.0, 1275.0, 36.0], shoonya_5sKHXK4U64F4VI, 5686875]
[paragraph, [185.0, 325.0, 1275.0, 36.0], shoonya_5sKHXK4U64F4VI, 5686875]
[paragraph, [185.0, 361.0, 1275.0, 36.0], shoonya_5sKHXK4U64F4VI, 5686875]
[paragraph, [186.0, 476.0, 1284.0, 36.0], shoonya_2s530A4FTF6SL8, 5686875]
[paragraph, [186.0, 512.0, 1284.0, 36.0], shoonya_2s530A4FTF6SL8, 5686875]
[paragraph, [186.0, 548.0, 1284.0, 36.0], shoonya_2s530A4FTF6SL8, 5686875]
[paragraph, [186.0, 584.0, 1284.0, 36.0], shoonya_2s530A4FTF6SL8, 5686875]
[paragraph, [186.0, 620.0, 1284.0, 36.0], shoonya_2s530A4FTF6SL8, 5686875]
[paragraph, [186.0, 656.0, 1284.0, 36.0], shoonya_2s530A4FTF6SL8, 5686875]
[paragraph, [186.0, 692.0, 1284.0, 36.0], shoonya_2s530A4FTF6SL8, 5686875]
[paragraph, [186.0, 728.0, 1284.0, 36.0], shoonya_2s530A4FTF6SL8, 5686875]
[paragraph, [186.0, 764.0, 1284.0, 36.0], shoonya_2s530A4FTF6SL8, 5686875]
[paragraph, [190.0, 892.0, 1278.0, 36.0], shoonya_1sUP2Z7ZYV4WUA, 5686875]
[paragraph, [190.0, 928.0, 1278.0, 36.0], shoonya_1sUP2Z7ZYV4WUA, 5686875]
[paragraph, [190.0, 964.0, 1278.0, 36.0], shoonya_1sUP2Z7ZYV4WUA, 5686875]
[paragraph, [190.0, 1000.0, 1278.0, 36.0], shoonya_1sUP2Z7ZYV4WUA, 5686875]
[paragraph, [190.0, 1036.0, 1278.0, 36.0], shoonya_1sUP2Z7ZYV4WUA, 5686875]
[paragraph, [190.0, 1072.0, 1278.0, 36.0], shoonya_1sUP2Z7ZYV4WUA, 5686875]
[paragraph, [190.0, 1108.0, 1278.0, 36.0], shoonya_1sUP2Z7ZYV4WUA, 5686875]
[paragraph, [190.0, 1144.0, 1278.0, 36.0], shoonya_1sUP2Z7ZYV4WUA, 5686875]
[paragraph, [190.0, 1180.0, 1278.0, 36.0], shoonya_1sUP2Z7ZYV4WUA, 5686875]
[paragraph, [190.0, 1216.0, 1278.0, 36.0], shoonya_1sUP2Z7ZYV4WUA, 5686875]
[paragraph, [190.0, 1252.0, 1278.0, 36.0], shoonya_1sUP2Z7ZYV4WUA, 5686875]
[paragraph, [190.0, 1288.0, 1278.0, 36.0], shoonya_1sUP2Z7ZYV4WUA, 5686875]
[paragraph, [188.0, 1399.0, 1280.0, 36.0], shoonya_0s39IXUZWKJL6D, 5686875]
[paragraph, [188.0, 1435.0, 1280.0, 36.0], shoonya_0s39IXUZWKJL6D, 5686875]
[paragraph, [188.0, 1471.0, 1280.0, 36.0], shoonya_0s39IXUZWKJL6D, 5686875]
[paragraph, [188.0, 1507.0, 1280.0, 36.0], shoonya_0s39IXUZWKJL6D, 5686875]
[paragraph, [188.0, 1543.0, 1280.0, 36.0], shoonya_0s39IXUZWKJL6D, 5686875]
[paragraph, [188.0, 1579.0, 1280.0, 36.0], shoonya_0s39IXUZWKJL6D, 5686875]
[paragraph, [188.0, 1615.0, 1280.0, 36.0], shoonya_0s39IXUZWKJL6D, 5686875]
[paragraph, [188.0, 1651.0, 1280.0, 36.0], shoonya_0s39IXUZWKJL6D, 5686875]
[paragraph, [188.0, 1687.0, 1280.0, 36.0], shoonya_0s39IXUZWKJL6D, 5686875]
[reference, [190.0, 2035.0, 670.0, 36.0], shoonya_3sVA9CM35BXT0H, 5686875]
