[668, 446]
[folio, [328.0, 65.0, 65.0, 18.0], MZS4NWhIv0, 6496192]
[paragraph, [48.0, 86.0, 348.0, 18.0], L9mrT3nqfi, 6496192]
[paragraph, [48.0, 104.0, 348.0, 18.0], L9mrT3nqfi, 6496192]
[paragraph, [48.0, 122.0, 348.0, 18.0], L9mrT3nqfi, 6496192]
[paragraph, [48.0, 140.0, 348.0, 18.0], L9mrT3nqfi, 6496192]
[paragraph, [48.0, 158.0, 348.0, 18.0], L9mrT3nqfi, 6496192]
[paragraph, [48.0, 176.0, 348.0, 18.0], L9mrT3nqfi, 6496192]
[paragraph, [48.0, 194.0, 348.0, 18.0], L9mrT3nqfi, 6496192]
[paragraph, [51.0, 220.0, 349.0, 18.0], shoonya_0sYE3MRNTWX689, 6496192]
[paragraph, [51.0, 238.0, 349.0, 18.0], shoonya_0sYE3MRNTWX689, 6496192]
[paragraph, [51.0, 256.0, 349.0, 18.0], shoonya_0sYE3MRNTWX689, 6496192]
[paragraph, [51.0, 274.0, 349.0, 18.0], shoonya_0sYE3MRNTWX689, 6496192]
[paragraph, [51.0, 292.0, 349.0, 18.0], shoonya_0sYE3MRNTWX689, 6496192]
[paragraph, [51.0, 310.0, 349.0, 18.0], shoonya_0sYE3MRNTWX689, 6496192]
[paragraph, [51.0, 328.0, 349.0, 18.0], shoonya_0sYE3MRNTWX689, 6496192]
[paragraph, [51.0, 346.0, 349.0, 18.0], shoonya_0sYE3MRNTWX689, 6496192]
[paragraph, [51.0, 364.0, 349.0, 18.0], shoonya_0sYE3MRNTWX689, 6496192]
[paragraph, [51.0, 382.0, 349.0, 18.0], shoonya_0sYE3MRNTWX689, 6496192]
[paragraph, [51.0, 400.0, 349.0, 18.0], shoonya_0sYE3MRNTWX689, 6496192]
[paragraph, [51.0, 418.0, 349.0, 18.0], shoonya_0sYE3MRNTWX689, 6496192]
[paragraph, [52.0, 443.0, 341.0, 18.0], 7iD1rg1z11, 6496192]
[paragraph, [52.0, 461.0, 341.0, 18.0], 7iD1rg1z11, 6496192]
[paragraph, [52.0, 479.0, 341.0, 18.0], 7iD1rg1z11, 6496192]
[paragraph, [52.0, 497.0, 341.0, 18.0], 7iD1rg1z11, 6496192]
[paragraph, [52.0, 515.0, 341.0, 18.0], 7iD1rg1z11, 6496192]
[paragraph, [52.0, 533.0, 341.0, 18.0], 7iD1rg1z11, 6496192]
[paragraph, [52.0, 551.0, 341.0, 18.0], 7iD1rg1z11, 6496192]
[paragraph, [52.0, 569.0, 341.0, 18.0], 7iD1rg1z11, 6496192]
[paragraph, [52.0, 587.0, 341.0, 18.0], 7iD1rg1z11, 6496192]
