[1387, 987]
[paragraph, [50.0, 81.0, 893.0, 18.0], shoonya_0sAMOU6G8UW3ZA, 5652638]
[paragraph, [50.0, 99.0, 893.0, 18.0], shoonya_0sAMOU6G8UW3ZA, 5652638]
[paragraph, [50.0, 117.0, 893.0, 18.0], shoonya_0sAMOU6G8UW3ZA, 5652638]
[paragraph, [50.0, 135.0, 893.0, 18.0], shoonya_0sAMOU6G8UW3ZA, 5652638]
[paragraph, [50.0, 153.0, 893.0, 18.0], shoonya_0sAMOU6G8UW3ZA, 5652638]
[paragraph, [50.0, 171.0, 893.0, 18.0], shoonya_0sAMOU6G8UW3ZA, 5652638]
[paragraph, [50.0, 189.0, 893.0, 18.0], shoonya_0sAMOU6G8UW3ZA, 5652638]
[paragraph, [50.0, 207.0, 893.0, 18.0], shoonya_0sAMOU6G8UW3ZA, 5652638]
[paragraph, [50.0, 225.0, 893.0, 18.0], shoonya_0sAMOU6G8UW3ZA, 5652638]
[paragraph, [50.0, 243.0, 893.0, 18.0], shoonya_0sAMOU6G8UW3ZA, 5652638]
[paragraph, [50.0, 261.0, 893.0, 18.0], shoonya_0sAMOU6G8UW3ZA, 5652638]
[paragraph, [50.0, 279.0, 893.0, 18.0], shoonya_0sAMOU6G8UW3ZA, 5652638]
[paragraph, [50.0, 297.0, 893.0, 18.0], shoonya_0sAMOU6G8UW3ZA, 5652638]
[paragraph, [50.0, 315.0, 893.0, 18.0], shoonya_0sAMOU6G8UW3ZA, 5652638]
[paragraph, [50.0, 333.0, 893.0, 18.0], shoonya_0sAMOU6G8UW3ZA, 5652638]
[paragraph, [50.0, 351.0, 893.0, 18.0], shoonya_0sAMOU6G8UW3ZA, 5652638]
[paragraph, [50.0, 369.0, 893.0, 18.0], shoonya_0sAMOU6G8UW3ZA, 5652638]
[paragraph, [17.0, 395.0, 931.0, 18.0], cNhbJ0WzKz, 5652638]
[paragraph, [17.0, 413.0, 931.0, 18.0], cNhbJ0WzKz, 5652638]
[paragraph, [17.0, 431.0, 931.0, 18.0], cNhbJ0WzKz, 5652638]
[paragraph, [17.0, 449.0, 931.0, 18.0], cNhbJ0WzKz, 5652638]
[paragraph, [17.0, 467.0, 931.0, 18.0], cNhbJ0WzKz, 5652638]
[paragraph, [17.0, 485.0, 931.0, 18.0], cNhbJ0WzKz, 5652638]
[paragraph, [41.0, 520.0, 908.0, 18.0], ma-CVDweQh, 5652638]
[paragraph, [41.0, 538.0, 908.0, 18.0], ma-CVDweQh, 5652638]
[paragraph, [41.0, 556.0, 908.0, 18.0], ma-CVDweQh, 5652638]
[paragraph, [41.0, 574.0, 908.0, 18.0], ma-CVDweQh, 5652638]
[paragraph, [41.0, 592.0, 908.0, 18.0], ma-CVDweQh, 5652638]
[paragraph, [41.0, 610.0, 908.0, 18.0], ma-CVDweQh, 5652638]
[paragraph, [32.0, 641.0, 920.0, 18.0], ADCE-c4jzR, 5652638]
[paragraph, [32.0, 659.0, 920.0, 18.0], ADCE-c4jzR, 5652638]
[paragraph, [32.0, 677.0, 920.0, 18.0], ADCE-c4jzR, 5652638]
[paragraph, [32.0, 695.0, 920.0, 18.0], ADCE-c4jzR, 5652638]
[paragraph, [32.0, 713.0, 920.0, 18.0], ADCE-c4jzR, 5652638]
[paragraph, [32.0, 731.0, 920.0, 18.0], ADCE-c4jzR, 5652638]
[paragraph, [32.0, 749.0, 920.0, 18.0], ADCE-c4jzR, 5652638]
[paragraph, [32.0, 767.0, 920.0, 18.0], ADCE-c4jzR, 5652638]
[paragraph, [32.0, 785.0, 920.0, 18.0], ADCE-c4jzR, 5652638]
[paragraph, [32.0, 803.0, 920.0, 18.0], ADCE-c4jzR, 5652638]
[paragraph, [54.0, 823.0, 887.0, 18.0], MmkOH-QbPh, 5652638]
[paragraph, [54.0, 841.0, 887.0, 18.0], MmkOH-QbPh, 5652638]
[paragraph, [54.0, 859.0, 887.0, 18.0], MmkOH-QbPh, 5652638]
[paragraph, [54.0, 877.0, 887.0, 18.0], MmkOH-QbPh, 5652638]
[paragraph, [54.0, 895.0, 887.0, 18.0], MmkOH-QbPh, 5652638]
[paragraph, [54.0, 913.0, 887.0, 18.0], MmkOH-QbPh, 5652638]
[paragraph, [54.0, 931.0, 887.0, 18.0], MmkOH-QbPh, 5652638]
[paragraph, [54.0, 949.0, 887.0, 18.0], MmkOH-QbPh, 5652638]
[paragraph, [54.0, 967.0, 887.0, 18.0], MmkOH-QbPh, 5652638]
[paragraph, [54.0, 985.0, 887.0, 18.0], MmkOH-QbPh, 5652638]
[paragraph, [54.0, 1003.0, 887.0, 18.0], MmkOH-QbPh, 5652638]
[paragraph, [54.0, 1021.0, 887.0, 18.0], MmkOH-QbPh, 5652638]
[paragraph, [54.0, 1039.0, 887.0, 18.0], MmkOH-QbPh, 5652638]
[paragraph, [54.0, 1057.0, 887.0, 18.0], MmkOH-QbPh, 5652638]
[paragraph, [54.0, 1075.0, 887.0, 18.0], MmkOH-QbPh, 5652638]
[paragraph, [54.0, 1093.0, 887.0, 18.0], MmkOH-QbPh, 5652638]
[paragraph, [54.0, 1111.0, 887.0, 18.0], MmkOH-QbPh, 5652638]
[paragraph, [54.0, 1129.0, 887.0, 18.0], MmkOH-QbPh, 5652638]
[paragraph, [54.0, 1147.0, 887.0, 18.0], MmkOH-QbPh, 5652638]
[paragraph, [54.0, 1165.0, 887.0, 18.0], MmkOH-QbPh, 5652638]
[paragraph, [54.0, 1183.0, 887.0, 18.0], MmkOH-QbPh, 5652638]
[paragraph, [54.0, 1201.0, 887.0, 18.0], MmkOH-QbPh, 5652638]
[paragraph, [54.0, 1219.0, 887.0, 18.0], MmkOH-QbPh, 5652638]
