[827, 532]
[folio, [202.0, 60.0, 96.0, 18.0], shoonya_0sNSUVNVUOA9M9, 5740552]
[paragraph, [35.0, 103.0, 448.0, 18.0], PEbx_snWSh, 5740552]
[paragraph, [35.0, 121.0, 448.0, 18.0], PEbx_snWSh, 5740552]
[paragraph, [35.0, 139.0, 448.0, 18.0], PEbx_snWSh, 5740552]
[paragraph, [35.0, 157.0, 448.0, 18.0], PEbx_snWSh, 5740552]
[paragraph, [35.0, 175.0, 448.0, 18.0], PEbx_snWSh, 5740552]
[paragraph, [35.0, 193.0, 448.0, 18.0], PEbx_snWSh, 5740552]
[paragraph, [35.0, 211.0, 448.0, 18.0], PEbx_snWSh, 5740552]
[paragraph, [35.0, 229.0, 448.0, 18.0], PEbx_snWSh, 5740552]
[paragraph, [35.0, 247.0, 448.0, 18.0], PEbx_snWSh, 5740552]
[paragraph, [35.0, 265.0, 448.0, 18.0], PEbx_snWSh, 5740552]
[paragraph, [35.0, 283.0, 448.0, 18.0], PEbx_snWSh, 5740552]
[paragraph, [35.0, 301.0, 448.0, 18.0], PEbx_snWSh, 5740552]
[paragraph, [35.0, 319.0, 448.0, 18.0], PEbx_snWSh, 5740552]
[paragraph, [35.0, 337.0, 448.0, 18.0], PEbx_snWSh, 5740552]
[paragraph, [35.0, 355.0, 448.0, 18.0], PEbx_snWSh, 5740552]
[paragraph, [35.0, 373.0, 448.0, 18.0], PEbx_snWSh, 5740552]
[paragraph, [35.0, 391.0, 448.0, 18.0], PEbx_snWSh, 5740552]
[paragraph, [35.0, 409.0, 448.0, 18.0], PEbx_snWSh, 5740552]
[paragraph, [35.0, 427.0, 448.0, 18.0], PEbx_snWSh, 5740552]
[paragraph, [35.0, 445.0, 448.0, 18.0], PEbx_snWSh, 5740552]
[paragraph, [35.0, 463.0, 448.0, 18.0], PEbx_snWSh, 5740552]
[paragraph, [35.0, 481.0, 448.0, 18.0], PEbx_snWSh, 5740552]
[paragraph, [35.0, 499.0, 448.0, 18.0], PEbx_snWSh, 5740552]
[paragraph, [35.0, 517.0, 448.0, 18.0], PEbx_snWSh, 5740552]
[paragraph, [35.0, 535.0, 448.0, 18.0], PEbx_snWSh, 5740552]
[paragraph, [35.0, 553.0, 448.0, 18.0], PEbx_snWSh, 5740552]
[paragraph, [35.0, 571.0, 448.0, 18.0], PEbx_snWSh, 5740552]
[paragraph, [35.0, 589.0, 448.0, 18.0], PEbx_snWSh, 5740552]
[paragraph, [35.0, 607.0, 448.0, 18.0], PEbx_snWSh, 5740552]
[paragraph, [35.0, 625.0, 448.0, 18.0], PEbx_snWSh, 5740552]
[paragraph, [35.0, 643.0, 448.0, 18.0], PEbx_snWSh, 5740552]
[paragraph, [35.0, 661.0, 448.0, 18.0], PEbx_snWSh, 5740552]
[paragraph, [35.0, 679.0, 448.0, 18.0], PEbx_snWSh, 5740552]
[paragraph, [35.0, 697.0, 448.0, 18.0], PEbx_snWSh, 5740552]
[paragraph, [35.0, 715.0, 448.0, 18.0], PEbx_snWSh, 5740552]
[paragraph, [35.0, 733.0, 448.0, 18.0], PEbx_snWSh, 5740552]
[footnote, [216.0, 787.0, 257.0, 18.0], shoonya_1s7GAWM2QZUU5C, 5740552]
