[792, 612]
[folio, [254.0, 45.0, 68.0, 18.0], iOXK5R9goT, 6492765]
[paragraph, [92.0, 83.0, 390.0, 18.0], Q7XHqXvOnh, 6492765]
[paragraph, [92.0, 101.0, 390.0, 18.0], Q7XHqXvOnh, 6492765]
[paragraph, [91.0, 124.0, 395.0, 18.0], J6vYzCb10I, 6492765]
[paragraph, [91.0, 142.0, 395.0, 18.0], J6vYzCb10I, 6492765]
[paragraph, [91.0, 160.0, 395.0, 18.0], J6vYzCb10I, 6492765]
[paragraph, [91.0, 178.0, 395.0, 18.0], J6vYzCb10I, 6492765]
[paragraph, [91.0, 196.0, 395.0, 18.0], J6vYzCb10I, 6492765]
[paragraph, [91.0, 214.0, 395.0, 18.0], J6vYzCb10I, 6492765]
[paragraph, [91.0, 232.0, 395.0, 18.0], J6vYzCb10I, 6492765]
[paragraph, [91.0, 250.0, 395.0, 18.0], J6vYzCb10I, 6492765]
[paragraph, [91.0, 268.0, 395.0, 18.0], J6vYzCb10I, 6492765]
[paragraph, [91.0, 286.0, 395.0, 18.0], J6vYzCb10I, 6492765]
[paragraph, [91.0, 304.0, 395.0, 18.0], J6vYzCb10I, 6492765]
[paragraph, [91.0, 322.0, 395.0, 18.0], J6vYzCb10I, 6492765]
[paragraph, [91.0, 340.0, 395.0, 18.0], J6vYzCb10I, 6492765]
[paragraph, [92.0, 377.0, 388.0, 18.0], 8CTZ7a4WNN, 6492765]
[paragraph, [92.0, 395.0, 388.0, 18.0], 8CTZ7a4WNN, 6492765]
[paragraph, [92.0, 413.0, 388.0, 18.0], 8CTZ7a4WNN, 6492765]
[paragraph, [92.0, 431.0, 388.0, 18.0], 8CTZ7a4WNN, 6492765]
[paragraph, [92.0, 449.0, 388.0, 18.0], 8CTZ7a4WNN, 6492765]
[paragraph, [93.0, 472.0, 394.0, 18.0], Gkr6rFsXVH, 6492765]
[paragraph, [93.0, 490.0, 394.0, 18.0], Gkr6rFsXVH, 6492765]
[paragraph, [93.0, 508.0, 394.0, 18.0], Gkr6rFsXVH, 6492765]
[paragraph, [93.0, 526.0, 394.0, 18.0], Gkr6rFsXVH, 6492765]
[paragraph, [93.0, 544.0, 394.0, 18.0], Gkr6rFsXVH, 6492765]
[paragraph, [93.0, 562.0, 394.0, 18.0], Gkr6rFsXVH, 6492765]
[paragraph, [93.0, 580.0, 394.0, 18.0], Gkr6rFsXVH, 6492765]
[paragraph, [93.0, 598.0, 394.0, 18.0], Gkr6rFsXVH, 6492765]
[paragraph, [93.0, 616.0, 394.0, 18.0], Gkr6rFsXVH, 6492765]
[paragraph, [93.0, 634.0, 394.0, 18.0], Gkr6rFsXVH, 6492765]
