[1050, 693]
[folio, [513.0, 77.0, 86.0, 18.0], shoonya_1sNF7NJGB5QH4F, 5702131]
[paragraph, [79.0, 123.0, 527.0, 18.0], 5sQGBWqMF_, 5702131]
[paragraph, [79.0, 141.0, 527.0, 18.0], 5sQGBWqMF_, 5702131]
[paragraph, [79.0, 159.0, 527.0, 18.0], 5sQGBWqMF_, 5702131]
[paragraph, [79.0, 177.0, 527.0, 18.0], 5sQGBWqMF_, 5702131]
[paragraph, [79.0, 195.0, 527.0, 18.0], 5sQGBWqMF_, 5702131]
[paragraph, [79.0, 213.0, 527.0, 18.0], 5sQGBWqMF_, 5702131]
[paragraph, [79.0, 231.0, 527.0, 18.0], 5sQGBWqMF_, 5702131]
[paragraph, [79.0, 249.0, 527.0, 18.0], 5sQGBWqMF_, 5702131]
[paragraph, [79.0, 267.0, 527.0, 18.0], 5sQGBWqMF_, 5702131]
[paragraph, [79.0, 285.0, 527.0, 18.0], 5sQGBWqMF_, 5702131]
[paragraph, [79.0, 303.0, 527.0, 18.0], 5sQGBWqMF_, 5702131]
[paragraph, [79.0, 321.0, 527.0, 18.0], 5sQGBWqMF_, 5702131]
[paragraph, [74.0, 356.0, 527.0, 18.0], z5LYXF_m1D, 5702131]
[paragraph, [74.0, 374.0, 527.0, 18.0], z5LYXF_m1D, 5702131]
[paragraph, [74.0, 392.0, 527.0, 18.0], z5LYXF_m1D, 5702131]
[paragraph, [74.0, 436.0, 531.0, 18.0], f-lnks950H, 5702131]
[paragraph, [74.0, 454.0, 531.0, 18.0], f-lnks950H, 5702131]
[paragraph, [74.0, 472.0, 531.0, 18.0], f-lnks950H, 5702131]
[paragraph, [78.0, 506.0, 534.0, 18.0], Q2Fiuv63hM, 5702131]
[paragraph, [78.0, 524.0, 534.0, 18.0], Q2Fiuv63hM, 5702131]
[paragraph, [78.0, 542.0, 534.0, 18.0], Q2Fiuv63hM, 5702131]
[paragraph, [78.0, 560.0, 534.0, 18.0], Q2Fiuv63hM, 5702131]
[paragraph, [78.0, 578.0, 534.0, 18.0], Q2Fiuv63hM, 5702131]
[paragraph, [78.0, 596.0, 534.0, 18.0], Q2Fiuv63hM, 5702131]
[paragraph, [78.0, 614.0, 534.0, 18.0], Q2Fiuv63hM, 5702131]
[paragraph, [82.0, 637.0, 526.0, 18.0], shoonya_0s1D8N01QK7DOX, 5702131]
[paragraph, [82.0, 655.0, 526.0, 18.0], shoonya_0s1D8N01QK7DOX, 5702131]
[paragraph, [82.0, 673.0, 526.0, 18.0], shoonya_0s1D8N01QK7DOX, 5702131]
[paragraph, [82.0, 691.0, 526.0, 18.0], shoonya_0s1D8N01QK7DOX, 5702131]
[paragraph, [82.0, 709.0, 526.0, 18.0], shoonya_0s1D8N01QK7DOX, 5702131]
[paragraph, [82.0, 727.0, 526.0, 18.0], shoonya_0s1D8N01QK7DOX, 5702131]
[paragraph, [82.0, 745.0, 526.0, 18.0], shoonya_0s1D8N01QK7DOX, 5702131]
[paragraph, [82.0, 763.0, 526.0, 18.0], shoonya_0s1D8N01QK7DOX, 5702131]
[paragraph, [82.0, 781.0, 526.0, 18.0], shoonya_0s1D8N01QK7DOX, 5702131]
[paragraph, [82.0, 799.0, 526.0, 18.0], shoonya_0s1D8N01QK7DOX, 5702131]
[paragraph, [84.0, 842.0, 523.0, 18.0], qg-xaCxGTn, 5702131]
[paragraph, [84.0, 860.0, 523.0, 18.0], qg-xaCxGTn, 5702131]
[paragraph, [84.0, 878.0, 523.0, 18.0], qg-xaCxGTn, 5702131]
[paragraph, [84.0, 896.0, 523.0, 18.0], qg-xaCxGTn, 5702131]
[paragraph, [84.0, 914.0, 523.0, 18.0], qg-xaCxGTn, 5702131]
[paragraph, [84.0, 932.0, 523.0, 18.0], qg-xaCxGTn, 5702131]
[paragraph, [84.0, 950.0, 523.0, 18.0], qg-xaCxGTn, 5702131]
