[6000, 4167]
[folio, [1175.0, 614.0, 1768.0, 52.5], pkHyR_dr64, 5721797]
[folio, [1175.0, 666.5, 1768.0, 52.5], pkHyR_dr64, 5721797]
[folio, [1175.0, 719.0, 1768.0, 52.5], pkHyR_dr64, 5721797]
[paragraph, [561.0, 902.0, 3065.0, 52.5], shoonya_0sRQOE3VA31UD2, 5721797]
[paragraph, [561.0, 954.5, 3065.0, 52.5], shoonya_0sRQOE3VA31UD2, 5721797]
[paragraph, [561.0, 1007.0, 3065.0, 52.5], shoonya_0sRQOE3VA31UD2, 5721797]
[paragraph, [561.0, 1059.5, 3065.0, 52.5], shoonya_0sRQOE3VA31UD2, 5721797]
[paragraph, [561.0, 1112.0, 3065.0, 52.5], shoonya_0sRQOE3VA31UD2, 5721797]
[paragraph, [561.0, 1164.5, 3065.0, 52.5], shoonya_0sRQOE3VA31UD2, 5721797]
[paragraph, [561.0, 1217.0, 3065.0, 52.5], shoonya_0sRQOE3VA31UD2, 5721797]
[paragraph, [561.0, 1269.5, 3065.0, 52.5], shoonya_0sRQOE3VA31UD2, 5721797]
[paragraph, [561.0, 1322.0, 3065.0, 52.5], shoonya_0sRQOE3VA31UD2, 5721797]
[paragraph, [561.0, 1374.5, 3065.0, 52.5], shoonya_0sRQOE3VA31UD2, 5721797]
[paragraph, [561.0, 1427.0, 3065.0, 52.5], shoonya_0sRQOE3VA31UD2, 5721797]
[paragraph, [561.0, 1479.5, 3065.0, 52.5], shoonya_0sRQOE3VA31UD2, 5721797]
[paragraph, [556.0, 1639.0, 3079.0, 52.5], x4dnIRtwTi, 5721797]
[paragraph, [556.0, 1691.5, 3079.0, 52.5], x4dnIRtwTi, 5721797]
[paragraph, [556.0, 1744.0, 3079.0, 52.5], x4dnIRtwTi, 5721797]
[paragraph, [556.0, 1796.5, 3079.0, 52.5], x4dnIRtwTi, 5721797]
[paragraph, [556.0, 1849.0, 3079.0, 52.5], x4dnIRtwTi, 5721797]
[paragraph, [556.0, 1901.5, 3079.0, 52.5], x4dnIRtwTi, 5721797]
[paragraph, [556.0, 1954.0, 3079.0, 52.5], x4dnIRtwTi, 5721797]
[paragraph, [556.0, 2006.5, 3079.0, 52.5], x4dnIRtwTi, 5721797]
[paragraph, [556.0, 2059.0, 3079.0, 52.5], x4dnIRtwTi, 5721797]
[paragraph, [556.0, 2111.5, 3079.0, 52.5], x4dnIRtwTi, 5721797]
[paragraph, [556.0, 2164.0, 3079.0, 52.5], x4dnIRtwTi, 5721797]
[paragraph, [556.0, 2216.5, 3079.0, 52.5], x4dnIRtwTi, 5721797]
[paragraph, [556.0, 2269.0, 3079.0, 52.5], x4dnIRtwTi, 5721797]
[paragraph, [556.0, 2321.5, 3079.0, 52.5], x4dnIRtwTi, 5721797]
[paragraph, [556.0, 2374.0, 3079.0, 52.5], x4dnIRtwTi, 5721797]
[paragraph, [556.0, 2426.5, 3079.0, 52.5], x4dnIRtwTi, 5721797]
[paragraph, [556.0, 2479.0, 3079.0, 52.5], x4dnIRtwTi, 5721797]
[paragraph, [556.0, 2531.5, 3079.0, 52.5], x4dnIRtwTi, 5721797]
[paragraph, [556.0, 2584.0, 3079.0, 52.5], x4dnIRtwTi, 5721797]
[paragraph, [556.0, 2636.5, 3079.0, 52.5], x4dnIRtwTi, 5721797]
[paragraph, [556.0, 2689.0, 3079.0, 52.5], x4dnIRtwTi, 5721797]
[paragraph, [556.0, 2741.5, 3079.0, 52.5], x4dnIRtwTi, 5721797]
[paragraph, [556.0, 2794.0, 3079.0, 52.5], x4dnIRtwTi, 5721797]
[paragraph, [556.0, 2846.5, 3079.0, 52.5], x4dnIRtwTi, 5721797]
[paragraph, [556.0, 2899.0, 3079.0, 52.5], x4dnIRtwTi, 5721797]
[paragraph, [556.0, 2951.5, 3079.0, 52.5], x4dnIRtwTi, 5721797]
[paragraph, [561.0, 3137.0, 3058.0, 52.5], -kQnGRcjCb, 5721797]
[paragraph, [561.0, 3189.5, 3058.0, 52.5], -kQnGRcjCb, 5721797]
[paragraph, [561.0, 3242.0, 3058.0, 52.5], -kQnGRcjCb, 5721797]
[paragraph, [561.0, 3294.5, 3058.0, 52.5], -kQnGRcjCb, 5721797]
[paragraph, [561.0, 3347.0, 3058.0, 52.5], -kQnGRcjCb, 5721797]
