[1518, 1075]
[paragraph, [113.0, 140.0, 427.0, 36.0], shoonya_1sQUQYRBU5JH4X, 5722426]
[paragraph, [113.0, 176.0, 427.0, 36.0], shoonya_1sQUQYRBU5JH4X, 5722426]
[paragraph, [113.0, 212.0, 427.0, 36.0], shoonya_1sQUQYRBU5JH4X, 5722426]
[paragraph, [113.0, 248.0, 427.0, 36.0], shoonya_1sQUQYRBU5JH4X, 5722426]
[paragraph, [113.0, 284.0, 427.0, 36.0], shoonya_1sQUQYRBU5JH4X, 5722426]
[paragraph, [113.0, 320.0, 427.0, 36.0], shoonya_1sQUQYRBU5JH4X, 5722426]
[paragraph, [113.0, 356.0, 427.0, 36.0], shoonya_1sQUQYRBU5JH4X, 5722426]
[paragraph, [113.0, 392.0, 427.0, 36.0], shoonya_1sQUQYRBU5JH4X, 5722426]
[paragraph, [557.0, 143.0, 429.0, 36.0], shoonya_2sDCSO36E817U6, 5722426]
[paragraph, [557.0, 179.0, 429.0, 36.0], shoonya_2sDCSO36E817U6, 5722426]
[paragraph, [557.0, 215.0, 429.0, 36.0], shoonya_2sDCSO36E817U6, 5722426]
[paragraph, [557.0, 251.0, 429.0, 36.0], shoonya_2sDCSO36E817U6, 5722426]
[paragraph, [557.0, 287.0, 429.0, 36.0], shoonya_2sDCSO36E817U6, 5722426]
[paragraph, [557.0, 323.0, 429.0, 36.0], shoonya_2sDCSO36E817U6, 5722426]
[paragraph, [557.0, 359.0, 429.0, 36.0], shoonya_2sDCSO36E817U6, 5722426]
[paragraph, [557.0, 395.0, 429.0, 36.0], shoonya_2sDCSO36E817U6, 5722426]
[paragraph, [115.0, 462.0, 425.0, 36.0], shoonya_0s7O6R312UNW9Q, 5722426]
[paragraph, [115.0, 498.0, 425.0, 36.0], shoonya_0s7O6R312UNW9Q, 5722426]
[paragraph, [115.0, 534.0, 425.0, 36.0], shoonya_0s7O6R312UNW9Q, 5722426]
[paragraph, [115.0, 570.0, 425.0, 36.0], shoonya_0s7O6R312UNW9Q, 5722426]
[paragraph, [115.0, 606.0, 425.0, 36.0], shoonya_0s7O6R312UNW9Q, 5722426]
[paragraph, [115.0, 642.0, 425.0, 36.0], shoonya_0s7O6R312UNW9Q, 5722426]
[paragraph, [115.0, 678.0, 425.0, 36.0], shoonya_0s7O6R312UNW9Q, 5722426]
[paragraph, [115.0, 714.0, 425.0, 36.0], shoonya_0s7O6R312UNW9Q, 5722426]
[paragraph, [115.0, 750.0, 425.0, 36.0], shoonya_0s7O6R312UNW9Q, 5722426]
[paragraph, [115.0, 786.0, 425.0, 36.0], shoonya_0s7O6R312UNW9Q, 5722426]
[paragraph, [115.0, 822.0, 425.0, 36.0], shoonya_0s7O6R312UNW9Q, 5722426]
[paragraph, [115.0, 858.0, 425.0, 36.0], shoonya_0s7O6R312UNW9Q, 5722426]
[paragraph, [115.0, 894.0, 425.0, 36.0], shoonya_0s7O6R312UNW9Q, 5722426]
[paragraph, [558.0, 462.0, 427.0, 36.0], shoonya_5sT7MXM72UI004, 5722426]
[paragraph, [558.0, 498.0, 427.0, 36.0], shoonya_5sT7MXM72UI004, 5722426]
[paragraph, [558.0, 570.0, 429.0, 36.0], shoonya_4sMHK3WJFXEP1R, 5722426]
[paragraph, [558.0, 606.0, 429.0, 36.0], shoonya_4sMHK3WJFXEP1R, 5722426]
[paragraph, [558.0, 642.0, 429.0, 36.0], shoonya_4sMHK3WJFXEP1R, 5722426]
[paragraph, [558.0, 678.0, 429.0, 36.0], shoonya_4sMHK3WJFXEP1R, 5722426]
[paragraph, [558.0, 733.0, 426.0, 36.0], shoonya_3s2MQTQL1VGXLG, 5722426]
[paragraph, [558.0, 769.0, 426.0, 36.0], shoonya_3s2MQTQL1VGXLG, 5722426]
[paragraph, [558.0, 805.0, 426.0, 36.0], shoonya_3s2MQTQL1VGXLG, 5722426]
[paragraph, [558.0, 841.0, 426.0, 36.0], shoonya_3s2MQTQL1VGXLG, 5722426]
[paragraph, [558.0, 877.0, 426.0, 36.0], shoonya_3s2MQTQL1VGXLG, 5722426]
[paragraph, [156.0, 996.0, 789.0, 36.0], ARdHM9NoRC, 5722426]
[paragraph, [156.0, 1032.0, 789.0, 36.0], ARdHM9NoRC, 5722426]
[paragraph, [156.0, 1068.0, 789.0, 36.0], ARdHM9NoRC, 5722426]
[paragraph, [156.0, 1104.0, 789.0, 36.0], ARdHM9NoRC, 5722426]
[paragraph, [156.0, 1140.0, 789.0, 36.0], ARdHM9NoRC, 5722426]
[paragraph, [156.0, 1176.0, 789.0, 36.0], ARdHM9NoRC, 5722426]
[paragraph, [156.0, 1212.0, 789.0, 36.0], ARdHM9NoRC, 5722426]
[paragraph, [156.0, 1248.0, 789.0, 36.0], ARdHM9NoRC, 5722426]
[folio, [259.0, 1346.0, 590.0, 36.0], shoonya_7sE5Q4CJ4NE67T, 5722426]
[folio, [188.0, 1380.0, 318.0, 36.0], QRxhuyNIvR, 5722426]
