[842, 595]
[unordered-list, [71.0, 50.0, 476.0, 18.0], shoonya_2sGOP9O4Q81L8Q, 5660113]
[unordered-list, [71.0, 68.0, 476.0, 18.0], shoonya_2sGOP9O4Q81L8Q, 5660113]
[unordered-list, [71.0, 86.0, 476.0, 18.0], shoonya_2sGOP9O4Q81L8Q, 5660113]
[paragraph, [82.0, 144.0, 466.0, 18.0], shoonya_7sJ21VQGLJHK6R, 5660113]
[paragraph, [82.0, 162.0, 466.0, 18.0], shoonya_7sJ21VQGLJHK6R, 5660113]
[paragraph, [82.0, 180.0, 466.0, 18.0], shoonya_7sJ21VQGLJHK6R, 5660113]
[paragraph, [82.0, 198.0, 466.0, 18.0], shoonya_7sJ21VQGLJHK6R, 5660113]
[paragraph, [82.0, 216.0, 466.0, 18.0], shoonya_7sJ21VQGLJHK6R, 5660113]
[paragraph, [82.0, 234.0, 466.0, 18.0], shoonya_7sJ21VQGLJHK6R, 5660113]
[paragraph, [83.0, 274.0, 465.0, 18.0], shoonya_1sNIF1SKXJGI8Y, 5660113]
[paragraph, [83.0, 292.0, 465.0, 18.0], shoonya_1sNIF1SKXJGI8Y, 5660113]
[paragraph, [83.0, 310.0, 465.0, 18.0], shoonya_1sNIF1SKXJGI8Y, 5660113]
[paragraph, [82.0, 346.0, 466.0, 18.0], shoonya_0sARRR3M25I9UM, 5660113]
[paragraph, [82.0, 364.0, 466.0, 18.0], shoonya_0sARRR3M25I9UM, 5660113]
[paragraph, [82.0, 382.0, 466.0, 18.0], shoonya_0sARRR3M25I9UM, 5660113]
[paragraph, [82.0, 400.0, 466.0, 18.0], shoonya_0sARRR3M25I9UM, 5660113]
[paragraph, [82.0, 418.0, 466.0, 18.0], shoonya_0sARRR3M25I9UM, 5660113]
[paragraph, [82.0, 436.0, 466.0, 18.0], shoonya_0sARRR3M25I9UM, 5660113]
[paragraph, [81.0, 519.0, 467.0, 18.0], shoonya_3sKIITPH4VIQ94, 5660113]
[paragraph, [81.0, 537.0, 467.0, 18.0], shoonya_3sKIITPH4VIQ94, 5660113]
[paragraph, [81.0, 555.0, 467.0, 18.0], shoonya_3sKIITPH4VIQ94, 5660113]
[paragraph, [82.0, 609.0, 466.0, 18.0], shoonya_6sXKYPJC2RVLWL, 5660113]
[paragraph, [82.0, 627.0, 466.0, 18.0], shoonya_6sXKYPJC2RVLWL, 5660113]
[paragraph, [82.0, 645.0, 466.0, 18.0], shoonya_6sXKYPJC2RVLWL, 5660113]
[paragraph, [82.0, 663.0, 466.0, 18.0], shoonya_6sXKYPJC2RVLWL, 5660113]
[paragraph, [84.0, 701.0, 465.0, 18.0], shoonya_5sPWZH73DAUK20, 5660113]
[paragraph, [84.0, 719.0, 465.0, 18.0], shoonya_5sPWZH73DAUK20, 5660113]
[paragraph, [84.0, 737.0, 465.0, 18.0], shoonya_5sPWZH73DAUK20, 5660113]
[paragraph, [84.0, 755.0, 465.0, 18.0], shoonya_5sPWZH73DAUK20, 5660113]
