[872, 605]
[folio, [438.0, 32.0, 110.0, 18.0], APLmC5zee_, 6457372]
[paragraph, [299.0, 72.0, 254.0, 18.0], TdUXfN3Ak_, 6457372]
[paragraph, [299.0, 90.0, 254.0, 18.0], TdUXfN3Ak_, 6457372]
[paragraph, [299.0, 108.0, 254.0, 18.0], TdUXfN3Ak_, 6457372]
[paragraph, [45.0, 74.0, 248.0, 18.0], ectzzcWya7, 6457372]
[paragraph, [45.0, 92.0, 248.0, 18.0], ectzzcWya7, 6457372]
[paragraph, [47.0, 111.0, 236.0, 18.0], WNkKhswu5p, 6457372]
[paragraph, [300.0, 126.0, 252.0, 18.0], a8O2hL4fdx, 6457372]
[paragraph, [300.0, 144.0, 252.0, 18.0], a8O2hL4fdx, 6457372]
[paragraph, [47.0, 152.0, 250.0, 18.0], DTNY7DjidB, 6457372]
[paragraph, [47.0, 170.0, 250.0, 18.0], DTNY7DjidB, 6457372]
[paragraph, [47.0, 188.0, 250.0, 18.0], DTNY7DjidB, 6457372]
[paragraph, [47.0, 206.0, 250.0, 18.0], DTNY7DjidB, 6457372]
[paragraph, [47.0, 224.0, 250.0, 18.0], DTNY7DjidB, 6457372]
[paragraph, [47.0, 242.0, 250.0, 18.0], DTNY7DjidB, 6457372]
[paragraph, [299.0, 181.0, 206.0, 18.0], pSIKt4JXVT, 6457372]
[paragraph, [300.0, 204.0, 53.0, 18.0], e6z0PO0K9N, 6457372]
[paragraph, [303.0, 223.0, 253.0, 18.0], CICbtmzDPK, 6457372]
[paragraph, [303.0, 241.0, 253.0, 18.0], CICbtmzDPK, 6457372]
[paragraph, [303.0, 259.0, 253.0, 18.0], CICbtmzDPK, 6457372]
[paragraph, [303.0, 277.0, 253.0, 18.0], CICbtmzDPK, 6457372]
[paragraph, [303.0, 295.0, 253.0, 18.0], CICbtmzDPK, 6457372]
[paragraph, [53.0, 273.0, 244.0, 18.0], FiTgDZTGwb, 6457372]
[paragraph, [59.0, 303.0, 192.0, 18.0], tnCd-UP1Pa, 6457372]
[paragraph, [48.0, 322.0, 249.0, 18.0], UziYLEN9L3, 6457372]
[paragraph, [305.0, 329.0, 254.0, 18.0], CDVE56EuhL, 6457372]
[paragraph, [305.0, 347.0, 254.0, 18.0], CDVE56EuhL, 6457372]
[paragraph, [305.0, 365.0, 254.0, 18.0], CDVE56EuhL, 6457372]
[paragraph, [305.0, 383.0, 254.0, 18.0], CDVE56EuhL, 6457372]
[paragraph, [50.0, 378.0, 250.0, 18.0], vFr2E68npj, 6457372]
[paragraph, [50.0, 396.0, 250.0, 18.0], vFr2E68npj, 6457372]
[paragraph, [354.0, 404.0, 202.0, 18.0], lfSU3sOeWv, 6457372]
[paragraph, [64.0, 417.0, 236.0, 18.0], igRiUIUMoi, 6457372]
[paragraph, [304.0, 428.0, 251.0, 18.0], VYiCFyfZLE, 6457372]
[paragraph, [48.0, 436.0, 241.0, 18.0], ALQftL7LTD, 6457372]
[paragraph, [48.0, 454.0, 241.0, 18.0], ALQftL7LTD, 6457372]
[paragraph, [48.0, 481.0, 250.0, 18.0], Nv8SigewCx, 6457372]
[paragraph, [48.0, 499.0, 250.0, 18.0], Nv8SigewCx, 6457372]
[paragraph, [48.0, 517.0, 250.0, 18.0], Nv8SigewCx, 6457372]
[paragraph, [304.0, 484.0, 106.0, 18.0], XhQQqVRfxY, 6457372]
[paragraph, [307.0, 507.0, 244.0, 18.0], t2YaPesCvD, 6457372]
[paragraph, [316.0, 545.0, 211.0, 18.0], rj3SOjeFFa, 6457372]
[paragraph, [53.0, 553.0, 249.0, 18.0], ZkBV_oJxFF, 6457372]
[paragraph, [53.0, 571.0, 249.0, 18.0], ZkBV_oJxFF, 6457372]
[paragraph, [305.0, 564.0, 239.0, 18.0], cGJa7vlksA, 6457372]
[paragraph, [305.0, 582.0, 239.0, 18.0], cGJa7vlksA, 6457372]
[paragraph, [49.0, 590.0, 249.0, 18.0], gQ74hzdZ_g, 6457372]
[paragraph, [49.0, 608.0, 249.0, 18.0], gQ74hzdZ_g, 6457372]
[paragraph, [306.0, 603.0, 193.0, 18.0], yqrFmcJmMc, 6457372]
[paragraph, [306.0, 625.0, 252.0, 18.0], mhO0NxoJCk, 6457372]
[paragraph, [306.0, 643.0, 252.0, 18.0], mhO0NxoJCk, 6457372]
[paragraph, [50.0, 629.0, 239.0, 18.0], 7Sm2UWiMSM, 6457372]
[paragraph, [50.0, 647.0, 239.0, 18.0], 7Sm2UWiMSM, 6457372]
[paragraph, [54.0, 668.0, 249.0, 18.0], bQWLxO8G4r, 6457372]
[paragraph, [54.0, 686.0, 249.0, 18.0], bQWLxO8G4r, 6457372]
[paragraph, [54.0, 704.0, 249.0, 18.0], bQWLxO8G4r, 6457372]
[paragraph, [54.0, 722.0, 249.0, 18.0], bQWLxO8G4r, 6457372]
[paragraph, [54.0, 740.0, 249.0, 18.0], bQWLxO8G4r, 6457372]
[paragraph, [318.0, 680.0, 236.0, 18.0], h4OlmK_B67, 6457372]
[paragraph, [307.0, 721.0, 248.0, 18.0], _X3fFhEfhW, 6457372]
[paragraph, [307.0, 739.0, 248.0, 18.0], _X3fFhEfhW, 6457372]
[reference, [308.0, 768.0, 248.0, 18.0], zjWBVRJ0Le, 6457372]
[reference, [308.0, 786.0, 248.0, 18.0], zjWBVRJ0Le, 6457372]
[reference, [308.0, 804.0, 248.0, 18.0], zjWBVRJ0Le, 6457372]
[reference, [55.0, 782.0, 248.0, 18.0], CLIqzYCKHV, 6457372]
[reference, [55.0, 800.0, 248.0, 18.0], CLIqzYCKHV, 6457372]
[reference, [55.0, 818.0, 248.0, 18.0], CLIqzYCKHV, 6457372]
