[1241, 798]
[folio, [90.0, 64.0, 132.0, 18.0], shoonya_5sINREFZB9ZK9J, 5701984]
[paragraph, [92.0, 112.0, 616.0, 18.0], shoonya_4sE79FVCBVHQ19, 5701984]
[paragraph, [92.0, 130.0, 616.0, 18.0], shoonya_4sE79FVCBVHQ19, 5701984]
[paragraph, [92.0, 148.0, 616.0, 18.0], shoonya_4sE79FVCBVHQ19, 5701984]
[paragraph, [92.0, 166.0, 616.0, 18.0], shoonya_4sE79FVCBVHQ19, 5701984]
[paragraph, [91.0, 198.0, 618.0, 18.0], shoonya_3s4YI1HG9334S5, 5701984]
[paragraph, [91.0, 216.0, 618.0, 18.0], shoonya_3s4YI1HG9334S5, 5701984]
[paragraph, [91.0, 234.0, 618.0, 18.0], shoonya_3s4YI1HG9334S5, 5701984]
[paragraph, [91.0, 252.0, 618.0, 18.0], shoonya_3s4YI1HG9334S5, 5701984]
[paragraph, [91.0, 270.0, 618.0, 18.0], shoonya_3s4YI1HG9334S5, 5701984]
[paragraph, [91.0, 288.0, 618.0, 18.0], shoonya_3s4YI1HG9334S5, 5701984]
[paragraph, [91.0, 306.0, 618.0, 18.0], shoonya_3s4YI1HG9334S5, 5701984]
[paragraph, [91.0, 324.0, 618.0, 18.0], shoonya_3s4YI1HG9334S5, 5701984]
[paragraph, [150.0, 358.0, 136.0, 18.0], shoonya_2sR7O91RFRHGJ7, 5701984]
[paragraph, [150.0, 376.0, 136.0, 18.0], shoonya_2sR7O91RFRHGJ7, 5701984]
[paragraph, [91.0, 412.0, 618.0, 18.0], shoonya_1sITEMVESVISSA, 5701984]
[paragraph, [91.0, 430.0, 618.0, 18.0], shoonya_1sITEMVESVISSA, 5701984]
[paragraph, [91.0, 448.0, 618.0, 18.0], shoonya_1sITEMVESVISSA, 5701984]
[paragraph, [91.0, 466.0, 618.0, 18.0], shoonya_1sITEMVESVISSA, 5701984]
[paragraph, [91.0, 484.0, 618.0, 18.0], shoonya_1sITEMVESVISSA, 5701984]
[paragraph, [91.0, 531.0, 618.0, 18.0], shoonya_0s43G39YH9J5GP, 5701984]
[paragraph, [91.0, 549.0, 618.0, 18.0], shoonya_0s43G39YH9J5GP, 5701984]
[paragraph, [91.0, 567.0, 618.0, 18.0], shoonya_0s43G39YH9J5GP, 5701984]
[paragraph, [91.0, 585.0, 618.0, 18.0], shoonya_0s43G39YH9J5GP, 5701984]
[paragraph, [91.0, 603.0, 618.0, 18.0], shoonya_0s43G39YH9J5GP, 5701984]
[paragraph, [91.0, 621.0, 618.0, 18.0], shoonya_0s43G39YH9J5GP, 5701984]
[paragraph, [91.0, 639.0, 618.0, 18.0], shoonya_0s43G39YH9J5GP, 5701984]
[paragraph, [91.0, 657.0, 618.0, 18.0], shoonya_0s43G39YH9J5GP, 5701984]
[paragraph, [91.0, 675.0, 618.0, 18.0], shoonya_0s43G39YH9J5GP, 5701984]
[paragraph, [91.0, 693.0, 618.0, 18.0], shoonya_0s43G39YH9J5GP, 5701984]
[paragraph, [91.0, 711.0, 618.0, 18.0], shoonya_0s43G39YH9J5GP, 5701984]
[paragraph, [91.0, 729.0, 618.0, 18.0], shoonya_0s43G39YH9J5GP, 5701984]
[paragraph, [91.0, 747.0, 618.0, 18.0], shoonya_0s43G39YH9J5GP, 5701984]
[paragraph, [150.0, 792.0, 148.0, 18.0], shoonya_7sLV86F7YWV6EP, 5701984]
[paragraph, [150.0, 810.0, 148.0, 18.0], shoonya_7sLV86F7YWV6EP, 5701984]
[paragraph, [89.0, 843.0, 616.0, 18.0], ZTSZYjISbq, 5701984]
[paragraph, [89.0, 861.0, 616.0, 18.0], ZTSZYjISbq, 5701984]
[paragraph, [89.0, 879.0, 616.0, 18.0], ZTSZYjISbq, 5701984]
[paragraph, [92.0, 926.0, 619.0, 18.0], zwmXnL0fWj, 5701984]
[paragraph, [92.0, 944.0, 619.0, 18.0], zwmXnL0fWj, 5701984]
[paragraph, [92.0, 962.0, 619.0, 18.0], zwmXnL0fWj, 5701984]
[paragraph, [92.0, 980.0, 619.0, 18.0], zwmXnL0fWj, 5701984]
[paragraph, [92.0, 998.0, 619.0, 18.0], zwmXnL0fWj, 5701984]
[paragraph, [92.0, 1016.0, 619.0, 18.0], zwmXnL0fWj, 5701984]
[paragraph, [141.0, 1049.0, 517.0, 18.0], MGG1Ohd23L, 5701984]
[paragraph, [141.0, 1067.0, 517.0, 18.0], MGG1Ohd23L, 5701984]
[paragraph, [91.0, 1099.0, 614.0, 18.0], pX1fiH0WXP, 5701984]
[paragraph, [91.0, 1117.0, 614.0, 18.0], pX1fiH0WXP, 5701984]
[paragraph, [91.0, 1135.0, 614.0, 18.0], pX1fiH0WXP, 5701984]
