[1267, 753]
[folio, [332.0, 72.0, 101.0, 18.0], N1MvAE7tTO, 5699315]
[paragraph, [77.0, 117.0, 599.0, 18.0], shoonya_0s4D5L388OMIMK, 5699315]
[paragraph, [77.0, 135.0, 599.0, 18.0], shoonya_0s4D5L388OMIMK, 5699315]
[paragraph, [77.0, 153.0, 599.0, 18.0], shoonya_0s4D5L388OMIMK, 5699315]
[paragraph, [77.0, 171.0, 599.0, 18.0], shoonya_0s4D5L388OMIMK, 5699315]
[paragraph, [77.0, 189.0, 599.0, 18.0], shoonya_0s4D5L388OMIMK, 5699315]
[paragraph, [77.0, 207.0, 599.0, 18.0], shoonya_0s4D5L388OMIMK, 5699315]
[paragraph, [77.0, 225.0, 599.0, 18.0], shoonya_0s4D5L388OMIMK, 5699315]
[paragraph, [77.0, 243.0, 599.0, 18.0], shoonya_0s4D5L388OMIMK, 5699315]
[paragraph, [77.0, 261.0, 599.0, 18.0], shoonya_0s4D5L388OMIMK, 5699315]
[paragraph, [77.0, 279.0, 599.0, 18.0], shoonya_0s4D5L388OMIMK, 5699315]
[paragraph, [77.0, 297.0, 599.0, 18.0], shoonya_0s4D5L388OMIMK, 5699315]
[paragraph, [77.0, 315.0, 599.0, 18.0], shoonya_0s4D5L388OMIMK, 5699315]
[paragraph, [77.0, 333.0, 599.0, 18.0], shoonya_0s4D5L388OMIMK, 5699315]
[paragraph, [77.0, 351.0, 599.0, 18.0], shoonya_0s4D5L388OMIMK, 5699315]
[paragraph, [77.0, 369.0, 599.0, 18.0], shoonya_0s4D5L388OMIMK, 5699315]
[paragraph, [77.0, 387.0, 599.0, 18.0], shoonya_0s4D5L388OMIMK, 5699315]
[paragraph, [77.0, 405.0, 599.0, 18.0], shoonya_0s4D5L388OMIMK, 5699315]
[paragraph, [77.0, 423.0, 599.0, 18.0], shoonya_0s4D5L388OMIMK, 5699315]
[paragraph, [77.0, 441.0, 599.0, 18.0], shoonya_0s4D5L388OMIMK, 5699315]
[paragraph, [77.0, 459.0, 599.0, 18.0], shoonya_0s4D5L388OMIMK, 5699315]
[paragraph, [77.0, 477.0, 599.0, 18.0], shoonya_0s4D5L388OMIMK, 5699315]
[paragraph, [77.0, 495.0, 599.0, 18.0], shoonya_0s4D5L388OMIMK, 5699315]
[paragraph, [77.0, 513.0, 599.0, 18.0], shoonya_0s4D5L388OMIMK, 5699315]
[paragraph, [77.0, 531.0, 599.0, 18.0], shoonya_0s4D5L388OMIMK, 5699315]
[paragraph, [77.0, 549.0, 599.0, 18.0], shoonya_0s4D5L388OMIMK, 5699315]
[paragraph, [77.0, 567.0, 599.0, 18.0], shoonya_0s4D5L388OMIMK, 5699315]
[paragraph, [77.0, 585.0, 599.0, 18.0], shoonya_0s4D5L388OMIMK, 5699315]
[paragraph, [77.0, 603.0, 599.0, 18.0], shoonya_0s4D5L388OMIMK, 5699315]
[paragraph, [77.0, 621.0, 599.0, 18.0], shoonya_0s4D5L388OMIMK, 5699315]
[paragraph, [77.0, 639.0, 599.0, 18.0], shoonya_0s4D5L388OMIMK, 5699315]
[paragraph, [77.0, 657.0, 599.0, 18.0], shoonya_0s4D5L388OMIMK, 5699315]
