[720, 540]
[section-title, [163.0, 165.0, 193.0, 30.0], m3xfTxQ0LP, 6495374]
[paragraph, [66.0, 209.0, 267.0, 18.0], -oo5XOglG1, 6495374]
[paragraph, [66.0, 229.0, 387.0, 18.0], RhJAB2qEel, 6495374]
[paragraph, [66.0, 247.0, 387.0, 18.0], RhJAB2qEel, 6495374]
[paragraph, [66.0, 265.0, 387.0, 18.0], RhJAB2qEel, 6495374]
[paragraph, [66.0, 283.0, 387.0, 18.0], RhJAB2qEel, 6495374]
[paragraph, [66.0, 301.0, 387.0, 18.0], RhJAB2qEel, 6495374]
[paragraph, [64.0, 337.0, 388.0, 18.0], shoonya_0sRMSP33YXH25R, 6495374]
[paragraph, [64.0, 355.0, 388.0, 18.0], shoonya_0sRMSP33YXH25R, 6495374]
[paragraph, [64.0, 373.0, 388.0, 18.0], shoonya_0sRMSP33YXH25R, 6495374]
[paragraph, [64.0, 391.0, 388.0, 18.0], shoonya_0sRMSP33YXH25R, 6495374]
[paragraph, [64.0, 409.0, 388.0, 18.0], shoonya_0sRMSP33YXH25R, 6495374]
[paragraph, [64.0, 427.0, 388.0, 18.0], shoonya_0sRMSP33YXH25R, 6495374]
[paragraph, [65.0, 446.0, 391.0, 18.0], cBVVQzZeOj, 6495374]
[paragraph, [65.0, 464.0, 391.0, 18.0], cBVVQzZeOj, 6495374]
[paragraph, [65.0, 482.0, 391.0, 18.0], cBVVQzZeOj, 6495374]
[paragraph, [65.0, 500.0, 391.0, 18.0], cBVVQzZeOj, 6495374]
[paragraph, [65.0, 518.0, 391.0, 18.0], cBVVQzZeOj, 6495374]
[paragraph, [65.0, 536.0, 391.0, 18.0], cBVVQzZeOj, 6495374]
[paragraph, [65.0, 554.0, 391.0, 18.0], cBVVQzZeOj, 6495374]
[paragraph, [66.0, 593.0, 389.0, 18.0], QGHtjeHBLQ, 6495374]
[paragraph, [66.0, 611.0, 389.0, 18.0], QGHtjeHBLQ, 6495374]
