[1755, 1241]
[paragraph, [64.0, 131.0, 957.0, 36.0], shoonya_0sAYHD2YU9RGGM, 5780977]
[paragraph, [64.0, 167.0, 957.0, 36.0], shoonya_0sAYHD2YU9RGGM, 5780977]
[paragraph, [64.0, 203.0, 957.0, 36.0], shoonya_0sAYHD2YU9RGGM, 5780977]
[paragraph, [64.0, 239.0, 957.0, 36.0], shoonya_0sAYHD2YU9RGGM, 5780977]
[paragraph, [64.0, 275.0, 957.0, 36.0], shoonya_0sAYHD2YU9RGGM, 5780977]
[paragraph, [64.0, 311.0, 957.0, 36.0], shoonya_0sAYHD2YU9RGGM, 5780977]
[paragraph, [64.0, 347.0, 957.0, 36.0], shoonya_0sAYHD2YU9RGGM, 5780977]
[paragraph, [64.0, 383.0, 957.0, 36.0], shoonya_0sAYHD2YU9RGGM, 5780977]
[paragraph, [64.0, 419.0, 957.0, 36.0], shoonya_0sAYHD2YU9RGGM, 5780977]
[paragraph, [64.0, 455.0, 957.0, 36.0], shoonya_0sAYHD2YU9RGGM, 5780977]
[paragraph, [64.0, 491.0, 957.0, 36.0], shoonya_0sAYHD2YU9RGGM, 5780977]
[paragraph, [49.0, 626.0, 986.0, 36.0], wG5mDPB-Xq, 5780977]
[paragraph, [49.0, 662.0, 986.0, 36.0], wG5mDPB-Xq, 5780977]
[paragraph, [49.0, 698.0, 986.0, 36.0], wG5mDPB-Xq, 5780977]
[paragraph, [49.0, 734.0, 986.0, 36.0], wG5mDPB-Xq, 5780977]
[paragraph, [49.0, 770.0, 986.0, 36.0], wG5mDPB-Xq, 5780977]
[paragraph, [49.0, 806.0, 986.0, 36.0], wG5mDPB-Xq, 5780977]
[paragraph, [49.0, 842.0, 986.0, 36.0], wG5mDPB-Xq, 5780977]
[paragraph, [49.0, 878.0, 986.0, 36.0], wG5mDPB-Xq, 5780977]
[paragraph, [49.0, 914.0, 986.0, 36.0], wG5mDPB-Xq, 5780977]
[paragraph, [49.0, 950.0, 986.0, 36.0], wG5mDPB-Xq, 5780977]
[paragraph, [49.0, 986.0, 986.0, 36.0], wG5mDPB-Xq, 5780977]
[paragraph, [49.0, 1022.0, 986.0, 36.0], wG5mDPB-Xq, 5780977]
[paragraph, [49.0, 1058.0, 986.0, 36.0], wG5mDPB-Xq, 5780977]
[paragraph, [49.0, 1094.0, 986.0, 36.0], wG5mDPB-Xq, 5780977]
[paragraph, [49.0, 1130.0, 986.0, 36.0], wG5mDPB-Xq, 5780977]
[paragraph, [49.0, 1166.0, 986.0, 36.0], wG5mDPB-Xq, 5780977]
[paragraph, [49.0, 1202.0, 986.0, 36.0], wG5mDPB-Xq, 5780977]
[paragraph, [49.0, 1238.0, 986.0, 36.0], wG5mDPB-Xq, 5780977]
[paragraph, [49.0, 1274.0, 986.0, 36.0], wG5mDPB-Xq, 5780977]
[paragraph, [49.0, 1310.0, 986.0, 36.0], wG5mDPB-Xq, 5780977]
[paragraph, [49.0, 1346.0, 986.0, 36.0], wG5mDPB-Xq, 5780977]
[paragraph, [49.0, 1382.0, 986.0, 36.0], wG5mDPB-Xq, 5780977]
[paragraph, [49.0, 1418.0, 986.0, 36.0], wG5mDPB-Xq, 5780977]
[paragraph, [49.0, 1454.0, 986.0, 36.0], wG5mDPB-Xq, 5780977]
[paragraph, [49.0, 1490.0, 986.0, 36.0], wG5mDPB-Xq, 5780977]
[unordered-list, [170.0, 940.0, 560.0, 36.0], 3KHUd_vDkt, 5780977]
[unordered-list, [170.0, 976.0, 560.0, 36.0], 3KHUd_vDkt, 5780977]
[unordered-list, [170.0, 1012.0, 560.0, 36.0], 3KHUd_vDkt, 5780977]
[unordered-list, [170.0, 1048.0, 560.0, 36.0], 3KHUd_vDkt, 5780977]
[unordered-list, [170.0, 1084.0, 560.0, 36.0], 3KHUd_vDkt, 5780977]
[unordered-list, [170.0, 1120.0, 560.0, 36.0], 3KHUd_vDkt, 5780977]
[unordered-list, [170.0, 1156.0, 560.0, 36.0], 3KHUd_vDkt, 5780977]
[unordered-list, [170.0, 1192.0, 560.0, 36.0], 3KHUd_vDkt, 5780977]
[unordered-list, [170.0, 1228.0, 560.0, 36.0], 3KHUd_vDkt, 5780977]
[unordered-list, [170.0, 1264.0, 560.0, 36.0], 3KHUd_vDkt, 5780977]
