[690, 405]
[folio, [151.0, 30.0, 89.0, 18.0], YeV2E0E4jr, 5748597]
[paragraph, [13.0, 75.0, 370.0, 18.0], shoonya_0sX9RQJJ1I00C5, 5748597]
[paragraph, [13.0, 93.0, 370.0, 18.0], shoonya_0sX9RQJJ1I00C5, 5748597]
[paragraph, [13.0, 111.0, 370.0, 18.0], shoonya_0sX9RQJJ1I00C5, 5748597]
[paragraph, [8.0, 145.0, 379.0, 18.0], 1Avox_MEFU, 5748597]
[paragraph, [8.0, 163.0, 379.0, 18.0], 1Avox_MEFU, 5748597]
[paragraph, [8.0, 181.0, 379.0, 18.0], 1Avox_MEFU, 5748597]
[paragraph, [8.0, 199.0, 379.0, 18.0], 1Avox_MEFU, 5748597]
[paragraph, [8.0, 217.0, 379.0, 18.0], 1Avox_MEFU, 5748597]
[paragraph, [8.0, 235.0, 379.0, 18.0], 1Avox_MEFU, 5748597]
[paragraph, [8.0, 253.0, 379.0, 18.0], 1Avox_MEFU, 5748597]
[paragraph, [8.0, 271.0, 379.0, 18.0], 1Avox_MEFU, 5748597]
[paragraph, [8.0, 289.0, 379.0, 18.0], 1Avox_MEFU, 5748597]
[paragraph, [8.0, 307.0, 379.0, 18.0], 1Avox_MEFU, 5748597]
[paragraph, [6.0, 335.0, 380.0, 18.0], 2elkEySiNR, 5748597]
[paragraph, [6.0, 353.0, 380.0, 18.0], 2elkEySiNR, 5748597]
[paragraph, [6.0, 371.0, 380.0, 18.0], 2elkEySiNR, 5748597]
[paragraph, [6.0, 389.0, 380.0, 18.0], 2elkEySiNR, 5748597]
[paragraph, [6.0, 407.0, 380.0, 18.0], 2elkEySiNR, 5748597]
[sub-section-title, [110.0, 468.0, 139.0, 25.5], AJx5klNGYJ, 5748597]
[paragraph, [12.0, 505.0, 365.0, 18.0], shoonya_1sM3MMHXGA6297, 5748597]
[paragraph, [12.0, 523.0, 365.0, 18.0], shoonya_1sM3MMHXGA6297, 5748597]
[paragraph, [12.0, 541.0, 365.0, 18.0], shoonya_1sM3MMHXGA6297, 5748597]
[paragraph, [12.0, 559.0, 365.0, 18.0], shoonya_1sM3MMHXGA6297, 5748597]
[paragraph, [12.0, 577.0, 365.0, 18.0], shoonya_1sM3MMHXGA6297, 5748597]
[paragraph, [12.0, 595.0, 365.0, 18.0], shoonya_1sM3MMHXGA6297, 5748597]
[paragraph, [12.0, 613.0, 365.0, 18.0], shoonya_1sM3MMHXGA6297, 5748597]
[paragraph, [12.0, 631.0, 365.0, 18.0], shoonya_1sM3MMHXGA6297, 5748597]
[paragraph, [12.0, 649.0, 365.0, 18.0], shoonya_1sM3MMHXGA6297, 5748597]
