[2339, 1654]
[folio, [122.0, 62.0, 366.0, 36.0], 3Wem7eMM4c, 5750585]
[folio, [122.0, 98.0, 366.0, 36.0], 3Wem7eMM4c, 5750585]
[paragraph, [101.0, 118.0, 1523.0, 36.0], cyF6sgcxZB, 5750585]
[paragraph, [101.0, 154.0, 1523.0, 36.0], cyF6sgcxZB, 5750585]
[paragraph, [101.0, 190.0, 1523.0, 36.0], cyF6sgcxZB, 5750585]
[paragraph, [101.0, 226.0, 1523.0, 36.0], cyF6sgcxZB, 5750585]
[paragraph, [101.0, 262.0, 1523.0, 36.0], cyF6sgcxZB, 5750585]
[paragraph, [101.0, 312.0, 1500.0, 36.0], 4bhPnPrk2c, 5750585]
[paragraph, [101.0, 348.0, 1500.0, 36.0], 4bhPnPrk2c, 5750585]
[paragraph, [101.0, 384.0, 1500.0, 36.0], 4bhPnPrk2c, 5750585]
[paragraph, [101.0, 420.0, 1500.0, 36.0], 4bhPnPrk2c, 5750585]
[paragraph, [101.0, 456.0, 1500.0, 36.0], 4bhPnPrk2c, 5750585]
[paragraph, [101.0, 492.0, 1500.0, 36.0], 4bhPnPrk2c, 5750585]
[paragraph, [101.0, 528.0, 1500.0, 36.0], 4bhPnPrk2c, 5750585]
[paragraph, [101.0, 564.0, 1500.0, 36.0], 4bhPnPrk2c, 5750585]
[paragraph, [101.0, 600.0, 1500.0, 36.0], 4bhPnPrk2c, 5750585]
[paragraph, [101.0, 636.0, 1500.0, 36.0], 4bhPnPrk2c, 5750585]
[paragraph, [101.0, 672.0, 1500.0, 36.0], 4bhPnPrk2c, 5750585]
[paragraph, [101.0, 708.0, 1500.0, 36.0], 4bhPnPrk2c, 5750585]
[paragraph, [101.0, 744.0, 1500.0, 36.0], 4bhPnPrk2c, 5750585]
[paragraph, [101.0, 780.0, 1500.0, 36.0], 4bhPnPrk2c, 5750585]
[paragraph, [101.0, 816.0, 1500.0, 36.0], 4bhPnPrk2c, 5750585]
[paragraph, [101.0, 852.0, 1500.0, 36.0], 4bhPnPrk2c, 5750585]
[paragraph, [101.0, 888.0, 1500.0, 36.0], 4bhPnPrk2c, 5750585]
[paragraph, [101.0, 924.0, 1500.0, 36.0], 4bhPnPrk2c, 5750585]
[paragraph, [101.0, 960.0, 1500.0, 36.0], 4bhPnPrk2c, 5750585]
[paragraph, [101.0, 996.0, 1500.0, 36.0], 4bhPnPrk2c, 5750585]
[paragraph, [101.0, 1032.0, 1500.0, 36.0], 4bhPnPrk2c, 5750585]
[paragraph, [116.0, 1098.0, 1473.0, 36.0], KXDHjlNDM8, 5750585]
[paragraph, [116.0, 1134.0, 1473.0, 36.0], KXDHjlNDM8, 5750585]
[paragraph, [116.0, 1170.0, 1473.0, 36.0], KXDHjlNDM8, 5750585]
[paragraph, [116.0, 1206.0, 1473.0, 36.0], KXDHjlNDM8, 5750585]
[paragraph, [116.0, 1242.0, 1473.0, 36.0], KXDHjlNDM8, 5750585]
[paragraph, [116.0, 1278.0, 1473.0, 36.0], KXDHjlNDM8, 5750585]
[paragraph, [116.0, 1314.0, 1473.0, 36.0], KXDHjlNDM8, 5750585]
[paragraph, [116.0, 1350.0, 1473.0, 36.0], KXDHjlNDM8, 5750585]
[paragraph, [116.0, 1386.0, 1473.0, 36.0], KXDHjlNDM8, 5750585]
[paragraph, [116.0, 1422.0, 1473.0, 36.0], KXDHjlNDM8, 5750585]
[paragraph, [116.0, 1458.0, 1473.0, 36.0], KXDHjlNDM8, 5750585]
[paragraph, [116.0, 1494.0, 1473.0, 36.0], KXDHjlNDM8, 5750585]
[paragraph, [116.0, 1530.0, 1473.0, 36.0], KXDHjlNDM8, 5750585]
[paragraph, [116.0, 1566.0, 1473.0, 36.0], KXDHjlNDM8, 5750585]
[paragraph, [141.0, 1607.0, 1453.0, 36.0], shoonya_0sLUCE5N22XUCI, 5750585]
[paragraph, [141.0, 1643.0, 1453.0, 36.0], shoonya_0sLUCE5N22XUCI, 5750585]
[paragraph, [141.0, 1679.0, 1453.0, 36.0], shoonya_0sLUCE5N22XUCI, 5750585]
[paragraph, [141.0, 1715.0, 1453.0, 36.0], shoonya_0sLUCE5N22XUCI, 5750585]
[paragraph, [141.0, 1751.0, 1453.0, 36.0], shoonya_0sLUCE5N22XUCI, 5750585]
[paragraph, [141.0, 1787.0, 1453.0, 36.0], shoonya_0sLUCE5N22XUCI, 5750585]
