[1787, 1218]
[paragraph, [93.0, 93.0, 1013.0, 36.0], shoonya_0sR6ZXZVY7VAFU, 5651921]
[paragraph, [93.0, 129.0, 1013.0, 36.0], shoonya_0sR6ZXZVY7VAFU, 5651921]
[paragraph, [103.0, 181.0, 1003.0, 36.0], osCqKt-FG_, 5651921]
[paragraph, [103.0, 217.0, 1003.0, 36.0], osCqKt-FG_, 5651921]
[paragraph, [103.0, 253.0, 1003.0, 36.0], osCqKt-FG_, 5651921]
[paragraph, [103.0, 289.0, 1003.0, 36.0], osCqKt-FG_, 5651921]
[ordered-list, [97.0, 337.0, 1033.0, 36.0], shoonya_2s0NRJ7DCFFYWJ, 5651921]
[ordered-list, [97.0, 373.0, 1033.0, 36.0], shoonya_2s0NRJ7DCFFYWJ, 5651921]
[ordered-list, [97.0, 409.0, 1033.0, 36.0], shoonya_2s0NRJ7DCFFYWJ, 5651921]
[ordered-list, [97.0, 445.0, 1033.0, 36.0], shoonya_2s0NRJ7DCFFYWJ, 5651921]
[ordered-list, [97.0, 481.0, 1033.0, 36.0], shoonya_2s0NRJ7DCFFYWJ, 5651921]
[ordered-list, [97.0, 517.0, 1033.0, 36.0], shoonya_2s0NRJ7DCFFYWJ, 5651921]
[ordered-list, [97.0, 553.0, 1033.0, 36.0], shoonya_2s0NRJ7DCFFYWJ, 5651921]
[ordered-list, [97.0, 589.0, 1033.0, 36.0], shoonya_2s0NRJ7DCFFYWJ, 5651921]
[ordered-list, [97.0, 625.0, 1033.0, 36.0], shoonya_2s0NRJ7DCFFYWJ, 5651921]
[ordered-list, [97.0, 661.0, 1033.0, 36.0], shoonya_2s0NRJ7DCFFYWJ, 5651921]
[ordered-list, [97.0, 697.0, 1033.0, 36.0], shoonya_2s0NRJ7DCFFYWJ, 5651921]
[ordered-list, [97.0, 733.0, 1033.0, 36.0], shoonya_2s0NRJ7DCFFYWJ, 5651921]
[ordered-list, [97.0, 769.0, 1033.0, 36.0], shoonya_2s0NRJ7DCFFYWJ, 5651921]
[ordered-list, [97.0, 805.0, 1033.0, 36.0], shoonya_2s0NRJ7DCFFYWJ, 5651921]
[ordered-list, [97.0, 841.0, 1033.0, 36.0], shoonya_2s0NRJ7DCFFYWJ, 5651921]
[ordered-list, [97.0, 877.0, 1033.0, 36.0], shoonya_2s0NRJ7DCFFYWJ, 5651921]
[ordered-list, [97.0, 913.0, 1033.0, 36.0], shoonya_2s0NRJ7DCFFYWJ, 5651921]
[ordered-list, [97.0, 949.0, 1033.0, 36.0], shoonya_2s0NRJ7DCFFYWJ, 5651921]
[ordered-list, [97.0, 985.0, 1033.0, 36.0], shoonya_2s0NRJ7DCFFYWJ, 5651921]
[ordered-list, [97.0, 1021.0, 1033.0, 36.0], shoonya_2s0NRJ7DCFFYWJ, 5651921]
[ordered-list, [97.0, 1057.0, 1033.0, 36.0], shoonya_2s0NRJ7DCFFYWJ, 5651921]
[ordered-list, [97.0, 1093.0, 1033.0, 36.0], shoonya_2s0NRJ7DCFFYWJ, 5651921]
[ordered-list, [97.0, 1129.0, 1033.0, 36.0], shoonya_2s0NRJ7DCFFYWJ, 5651921]
[ordered-list, [97.0, 1165.0, 1033.0, 36.0], shoonya_2s0NRJ7DCFFYWJ, 5651921]
[ordered-list, [97.0, 1201.0, 1033.0, 36.0], shoonya_2s0NRJ7DCFFYWJ, 5651921]
[ordered-list, [97.0, 1237.0, 1033.0, 36.0], shoonya_2s0NRJ7DCFFYWJ, 5651921]
[ordered-list, [97.0, 1273.0, 1033.0, 36.0], shoonya_2s0NRJ7DCFFYWJ, 5651921]
[ordered-list, [97.0, 1309.0, 1033.0, 36.0], shoonya_2s0NRJ7DCFFYWJ, 5651921]
[ordered-list, [97.0, 1345.0, 1033.0, 36.0], shoonya_2s0NRJ7DCFFYWJ, 5651921]
[ordered-list, [97.0, 1381.0, 1033.0, 36.0], shoonya_2s0NRJ7DCFFYWJ, 5651921]
[ordered-list, [97.0, 1417.0, 1033.0, 36.0], shoonya_2s0NRJ7DCFFYWJ, 5651921]
[ordered-list, [97.0, 1453.0, 1033.0, 36.0], shoonya_2s0NRJ7DCFFYWJ, 5651921]
[ordered-list, [97.0, 1489.0, 1033.0, 36.0], shoonya_2s0NRJ7DCFFYWJ, 5651921]
[ordered-list, [97.0, 1525.0, 1033.0, 36.0], shoonya_2s0NRJ7DCFFYWJ, 5651921]
[ordered-list, [97.0, 1561.0, 1033.0, 36.0], shoonya_2s0NRJ7DCFFYWJ, 5651921]
[ordered-list, [97.0, 1597.0, 1033.0, 36.0], shoonya_2s0NRJ7DCFFYWJ, 5651921]
[sub-ordered-list, [169.0, 1304.0, 950.0, 36.0], shoonya_1sA0NOJIMBVN6U, 5651921]
[sub-ordered-list, [169.0, 1340.0, 950.0, 36.0], shoonya_1sA0NOJIMBVN6U, 5651921]
[sub-ordered-list, [169.0, 1376.0, 950.0, 36.0], shoonya_1sA0NOJIMBVN6U, 5651921]
[sub-ordered-list, [169.0, 1412.0, 950.0, 36.0], shoonya_1sA0NOJIMBVN6U, 5651921]
[sub-ordered-list, [169.0, 1448.0, 950.0, 36.0], shoonya_1sA0NOJIMBVN6U, 5651921]
[sub-ordered-list, [169.0, 1484.0, 950.0, 36.0], shoonya_1sA0NOJIMBVN6U, 5651921]
[sub-ordered-list, [169.0, 1520.0, 950.0, 36.0], shoonya_1sA0NOJIMBVN6U, 5651921]
[sub-ordered-list, [169.0, 1556.0, 950.0, 36.0], shoonya_1sA0NOJIMBVN6U, 5651921]
[sub-ordered-list, [169.0, 1592.0, 950.0, 36.0], shoonya_1sA0NOJIMBVN6U, 5651921]
[footnote, [458.0, 1639.0, 232.0, 36.0], 4rsoQc2xMS, 5651921]
