[595, 454]
[paragraph, [225.0, 37.0, 203.0, 18.0], shoonya_2sNHXZ2MRILFFU, 6460540]
[paragraph, [225.0, 55.0, 203.0, 18.0], shoonya_2sNHXZ2MRILFFU, 6460540]
[paragraph, [225.0, 73.0, 203.0, 18.0], shoonya_2sNHXZ2MRILFFU, 6460540]
[paragraph, [225.0, 91.0, 203.0, 18.0], shoonya_2sNHXZ2MRILFFU, 6460540]
[paragraph, [225.0, 109.0, 203.0, 18.0], shoonya_2sNHXZ2MRILFFU, 6460540]
[paragraph, [225.0, 127.0, 203.0, 18.0], shoonya_2sNHXZ2MRILFFU, 6460540]
[paragraph, [225.0, 145.0, 203.0, 18.0], shoonya_2sNHXZ2MRILFFU, 6460540]
[paragraph, [225.0, 163.0, 203.0, 18.0], shoonya_2sNHXZ2MRILFFU, 6460540]
[paragraph, [225.0, 181.0, 203.0, 18.0], shoonya_2sNHXZ2MRILFFU, 6460540]
[paragraph, [225.0, 199.0, 203.0, 18.0], shoonya_2sNHXZ2MRILFFU, 6460540]
[paragraph, [221.0, 221.0, 205.0, 18.0], shoonya_1sNU2IT4VAUXM0, 6460540]
[paragraph, [221.0, 239.0, 205.0, 18.0], shoonya_1sNU2IT4VAUXM0, 6460540]
[paragraph, [221.0, 257.0, 205.0, 18.0], shoonya_1sNU2IT4VAUXM0, 6460540]
[paragraph, [221.0, 275.0, 205.0, 18.0], shoonya_1sNU2IT4VAUXM0, 6460540]
[paragraph, [221.0, 293.0, 205.0, 18.0], shoonya_1sNU2IT4VAUXM0, 6460540]
[paragraph, [221.0, 311.0, 205.0, 18.0], shoonya_1sNU2IT4VAUXM0, 6460540]
[paragraph, [24.0, 282.0, 198.0, 18.0], shoonya_5sLUVQHBOQMQD1, 6460540]
[paragraph, [24.0, 300.0, 198.0, 18.0], shoonya_5sLUVQHBOQMQD1, 6460540]
[paragraph, [24.0, 318.0, 198.0, 18.0], shoonya_5sLUVQHBOQMQD1, 6460540]
[paragraph, [223.0, 342.0, 205.0, 18.0], shoonya_6s78ZA5RS2ARBR, 6460540]
[paragraph, [223.0, 360.0, 205.0, 18.0], shoonya_6s78ZA5RS2ARBR, 6460540]
[paragraph, [223.0, 378.0, 205.0, 18.0], shoonya_6s78ZA5RS2ARBR, 6460540]
[paragraph, [21.0, 343.0, 203.0, 18.0], shoonya_3s97JVTRCUUJN9, 6460540]
[paragraph, [21.0, 361.0, 203.0, 18.0], shoonya_3s97JVTRCUUJN9, 6460540]
[paragraph, [21.0, 379.0, 203.0, 18.0], shoonya_3s97JVTRCUUJN9, 6460540]
[paragraph, [21.0, 397.0, 203.0, 18.0], shoonya_3s97JVTRCUUJN9, 6460540]
[paragraph, [21.0, 415.0, 203.0, 18.0], shoonya_3s97JVTRCUUJN9, 6460540]
[paragraph, [21.0, 433.0, 203.0, 18.0], shoonya_3s97JVTRCUUJN9, 6460540]
[paragraph, [21.0, 451.0, 203.0, 18.0], shoonya_3s97JVTRCUUJN9, 6460540]
[paragraph, [21.0, 469.0, 203.0, 18.0], shoonya_3s97JVTRCUUJN9, 6460540]
[paragraph, [21.0, 487.0, 203.0, 18.0], shoonya_3s97JVTRCUUJN9, 6460540]
[paragraph, [21.0, 505.0, 203.0, 18.0], shoonya_3s97JVTRCUUJN9, 6460540]
[paragraph, [21.0, 523.0, 203.0, 18.0], shoonya_3s97JVTRCUUJN9, 6460540]
[paragraph, [224.0, 404.0, 202.0, 18.0], Hlbc9jTeEo, 6460540]
[paragraph, [224.0, 422.0, 202.0, 18.0], Hlbc9jTeEo, 6460540]
[paragraph, [224.0, 440.0, 202.0, 18.0], Hlbc9jTeEo, 6460540]
[paragraph, [224.0, 458.0, 202.0, 18.0], Hlbc9jTeEo, 6460540]
[paragraph, [229.0, 486.0, 201.0, 18.0], S8Gk3RQ3kV, 6460540]
[paragraph, [229.0, 504.0, 201.0, 18.0], S8Gk3RQ3kV, 6460540]
[paragraph, [229.0, 522.0, 201.0, 18.0], S8Gk3RQ3kV, 6460540]
[folio, [351.0, 561.0, 68.0, 18.0], p1E9qMRYlk, 6460540]
