[2200, 1700]
[paragraph, [223.0, 255.0, 1016.0, 36.0], shoonya_0sVHBOECWAUZ7D, 5651405]
[paragraph, [223.0, 291.0, 1016.0, 36.0], shoonya_0sVHBOECWAUZ7D, 5651405]
[paragraph, [223.0, 327.0, 1016.0, 36.0], shoonya_0sVHBOECWAUZ7D, 5651405]
[paragraph, [223.0, 363.0, 1016.0, 36.0], shoonya_0sVHBOECWAUZ7D, 5651405]
[paragraph, [223.0, 399.0, 1016.0, 36.0], shoonya_0sVHBOECWAUZ7D, 5651405]
[paragraph, [223.0, 435.0, 1016.0, 36.0], shoonya_0sVHBOECWAUZ7D, 5651405]
[paragraph, [223.0, 471.0, 1016.0, 36.0], shoonya_0sVHBOECWAUZ7D, 5651405]
[paragraph, [223.0, 507.0, 1016.0, 36.0], shoonya_0sVHBOECWAUZ7D, 5651405]
[paragraph, [223.0, 543.0, 1016.0, 36.0], shoonya_0sVHBOECWAUZ7D, 5651405]
[paragraph, [223.0, 579.0, 1016.0, 36.0], shoonya_0sVHBOECWAUZ7D, 5651405]
[paragraph, [223.0, 615.0, 1016.0, 36.0], shoonya_0sVHBOECWAUZ7D, 5651405]
[paragraph, [223.0, 651.0, 1016.0, 36.0], shoonya_0sVHBOECWAUZ7D, 5651405]
[paragraph, [223.0, 683.0, 1011.0, 36.0], shoonya_3sRC8OPZT0LX47, 5651405]
[paragraph, [223.0, 719.0, 1011.0, 36.0], shoonya_3sRC8OPZT0LX47, 5651405]
[paragraph, [223.0, 755.0, 1011.0, 36.0], shoonya_3sRC8OPZT0LX47, 5651405]
[paragraph, [223.0, 791.0, 1011.0, 36.0], shoonya_3sRC8OPZT0LX47, 5651405]
[paragraph, [223.0, 827.0, 1011.0, 36.0], shoonya_3sRC8OPZT0LX47, 5651405]
[paragraph, [223.0, 863.0, 1011.0, 36.0], shoonya_3sRC8OPZT0LX47, 5651405]
[paragraph, [223.0, 899.0, 1011.0, 36.0], shoonya_3sRC8OPZT0LX47, 5651405]
[paragraph, [223.0, 935.0, 1011.0, 36.0], shoonya_3sRC8OPZT0LX47, 5651405]
[paragraph, [223.0, 971.0, 1011.0, 36.0], shoonya_3sRC8OPZT0LX47, 5651405]
[paragraph, [223.0, 1007.0, 1011.0, 36.0], shoonya_3sRC8OPZT0LX47, 5651405]
[paragraph, [223.0, 1043.0, 1011.0, 36.0], shoonya_3sRC8OPZT0LX47, 5651405]
[paragraph, [223.0, 1079.0, 1011.0, 36.0], shoonya_3sRC8OPZT0LX47, 5651405]
[paragraph, [223.0, 1115.0, 1011.0, 36.0], shoonya_3sRC8OPZT0LX47, 5651405]
[paragraph, [223.0, 1151.0, 1011.0, 36.0], shoonya_3sRC8OPZT0LX47, 5651405]
[paragraph, [223.0, 1187.0, 1011.0, 36.0], shoonya_3sRC8OPZT0LX47, 5651405]
[paragraph, [220.0, 1251.0, 1020.0, 36.0], shoonya_1sIDAILWAD4DMX, 5651405]
[paragraph, [220.0, 1287.0, 1020.0, 36.0], shoonya_1sIDAILWAD4DMX, 5651405]
[paragraph, [220.0, 1323.0, 1020.0, 36.0], shoonya_1sIDAILWAD4DMX, 5651405]
[paragraph, [220.0, 1359.0, 1020.0, 36.0], shoonya_1sIDAILWAD4DMX, 5651405]
[paragraph, [220.0, 1395.0, 1020.0, 36.0], shoonya_1sIDAILWAD4DMX, 5651405]
[paragraph, [220.0, 1431.0, 1020.0, 36.0], shoonya_1sIDAILWAD4DMX, 5651405]
[paragraph, [220.0, 1467.0, 1020.0, 36.0], shoonya_1sIDAILWAD4DMX, 5651405]
[paragraph, [220.0, 1503.0, 1020.0, 36.0], shoonya_1sIDAILWAD4DMX, 5651405]
[paragraph, [222.0, 1560.0, 1011.0, 36.0], shoonya_5sQCWSA1OHWU6Z, 5651405]
[paragraph, [222.0, 1596.0, 1011.0, 36.0], shoonya_5sQCWSA1OHWU6Z, 5651405]
[paragraph, [222.0, 1632.0, 1011.0, 36.0], shoonya_5sQCWSA1OHWU6Z, 5651405]
[paragraph, [222.0, 1668.0, 1011.0, 36.0], shoonya_5sQCWSA1OHWU6Z, 5651405]
[paragraph, [222.0, 1704.0, 1011.0, 36.0], shoonya_5sQCWSA1OHWU6Z, 5651405]
[paragraph, [222.0, 1740.0, 1011.0, 36.0], shoonya_5sQCWSA1OHWU6Z, 5651405]
[paragraph, [222.0, 1776.0, 1011.0, 36.0], shoonya_5sQCWSA1OHWU6Z, 5651405]
[paragraph, [317.0, 1809.0, 919.0, 36.0], shoonya_4sI3MZ7B06FDO2, 5651405]
[folio, [1054.0, 1915.0, 116.0, 36.0], BgzwRHx5w6, 5651405]
