[681, 511]
[folio, [60.0, 30.0, 126.0, 18.0], Phgaxkjewa, 5761708]
[paragraph, [33.0, 55.0, 216.0, 18.0], shoonya_0sXZN3DGLANDLX, 5761708]
[paragraph, [33.0, 73.0, 216.0, 18.0], shoonya_0sXZN3DGLANDLX, 5761708]
[paragraph, [33.0, 91.0, 216.0, 18.0], shoonya_0sXZN3DGLANDLX, 5761708]
[paragraph, [33.0, 109.0, 216.0, 18.0], shoonya_0sXZN3DGLANDLX, 5761708]
[paragraph, [33.0, 127.0, 216.0, 18.0], shoonya_0sXZN3DGLANDLX, 5761708]
[paragraph, [33.0, 145.0, 216.0, 18.0], shoonya_0sXZN3DGLANDLX, 5761708]
[paragraph, [33.0, 163.0, 216.0, 18.0], shoonya_0sXZN3DGLANDLX, 5761708]
[paragraph, [33.0, 181.0, 216.0, 18.0], shoonya_0sXZN3DGLANDLX, 5761708]
[paragraph, [259.0, 57.0, 217.0, 18.0], shoonya_2s3TUZ5SBV3H19, 5761708]
[paragraph, [259.0, 75.0, 217.0, 18.0], shoonya_2s3TUZ5SBV3H19, 5761708]
[paragraph, [259.0, 93.0, 217.0, 18.0], shoonya_2s3TUZ5SBV3H19, 5761708]
[paragraph, [259.0, 111.0, 217.0, 18.0], shoonya_2s3TUZ5SBV3H19, 5761708]
[paragraph, [259.0, 129.0, 217.0, 18.0], shoonya_2s3TUZ5SBV3H19, 5761708]
[paragraph, [259.0, 147.0, 217.0, 18.0], shoonya_2s3TUZ5SBV3H19, 5761708]
[paragraph, [259.0, 165.0, 217.0, 18.0], shoonya_2s3TUZ5SBV3H19, 5761708]
[paragraph, [259.0, 183.0, 217.0, 18.0], shoonya_2s3TUZ5SBV3H19, 5761708]
[paragraph, [27.0, 212.0, 221.0, 18.0], 3EbG4SD7hQ, 5761708]
[paragraph, [27.0, 230.0, 221.0, 18.0], 3EbG4SD7hQ, 5761708]
[paragraph, [27.0, 248.0, 221.0, 18.0], 3EbG4SD7hQ, 5761708]
[paragraph, [27.0, 266.0, 221.0, 18.0], 3EbG4SD7hQ, 5761708]
[paragraph, [27.0, 284.0, 221.0, 18.0], 3EbG4SD7hQ, 5761708]
[paragraph, [27.0, 302.0, 221.0, 18.0], 3EbG4SD7hQ, 5761708]
[paragraph, [27.0, 320.0, 221.0, 18.0], 3EbG4SD7hQ, 5761708]
[paragraph, [27.0, 338.0, 221.0, 18.0], 3EbG4SD7hQ, 5761708]
[paragraph, [27.0, 356.0, 221.0, 18.0], 3EbG4SD7hQ, 5761708]
[paragraph, [27.0, 374.0, 221.0, 18.0], 3EbG4SD7hQ, 5761708]
[paragraph, [27.0, 392.0, 221.0, 18.0], 3EbG4SD7hQ, 5761708]
[paragraph, [256.0, 233.0, 219.0, 18.0], LmVmurmwJU, 5761708]
[paragraph, [256.0, 251.0, 219.0, 18.0], LmVmurmwJU, 5761708]
[paragraph, [256.0, 269.0, 219.0, 18.0], LmVmurmwJU, 5761708]
[paragraph, [256.0, 287.0, 219.0, 18.0], LmVmurmwJU, 5761708]
[paragraph, [256.0, 305.0, 219.0, 18.0], LmVmurmwJU, 5761708]
