[1755, 1240]
[paragraph, [174.0, 187.0, 885.0, 36.0], shoonya_1sUO97SBBCR1FN, 5704485]
[paragraph, [174.0, 223.0, 885.0, 36.0], shoonya_1sUO97SBBCR1FN, 5704485]
[paragraph, [174.0, 259.0, 885.0, 36.0], shoonya_1sUO97SBBCR1FN, 5704485]
[paragraph, [174.0, 295.0, 885.0, 36.0], shoonya_1sUO97SBBCR1FN, 5704485]
[paragraph, [174.0, 331.0, 885.0, 36.0], shoonya_1sUO97SBBCR1FN, 5704485]
[paragraph, [174.0, 367.0, 885.0, 36.0], shoonya_1sUO97SBBCR1FN, 5704485]
[paragraph, [174.0, 403.0, 885.0, 36.0], shoonya_1sUO97SBBCR1FN, 5704485]
[paragraph, [174.0, 439.0, 885.0, 36.0], shoonya_1sUO97SBBCR1FN, 5704485]
[paragraph, [174.0, 475.0, 885.0, 36.0], shoonya_1sUO97SBBCR1FN, 5704485]
[paragraph, [174.0, 511.0, 885.0, 36.0], shoonya_1sUO97SBBCR1FN, 5704485]
[paragraph, [174.0, 547.0, 885.0, 36.0], shoonya_1sUO97SBBCR1FN, 5704485]
[paragraph, [174.0, 583.0, 885.0, 36.0], shoonya_1sUO97SBBCR1FN, 5704485]
[paragraph, [174.0, 619.0, 885.0, 36.0], shoonya_1sUO97SBBCR1FN, 5704485]
[paragraph, [174.0, 655.0, 885.0, 36.0], shoonya_1sUO97SBBCR1FN, 5704485]
[paragraph, [174.0, 691.0, 885.0, 36.0], shoonya_1sUO97SBBCR1FN, 5704485]
[paragraph, [174.0, 727.0, 885.0, 36.0], shoonya_1sUO97SBBCR1FN, 5704485]
[paragraph, [174.0, 763.0, 885.0, 36.0], shoonya_1sUO97SBBCR1FN, 5704485]
[paragraph, [174.0, 799.0, 885.0, 36.0], shoonya_1sUO97SBBCR1FN, 5704485]
[paragraph, [174.0, 835.0, 885.0, 36.0], shoonya_1sUO97SBBCR1FN, 5704485]
[paragraph, [174.0, 871.0, 885.0, 36.0], shoonya_1sUO97SBBCR1FN, 5704485]
[paragraph, [174.0, 907.0, 885.0, 36.0], shoonya_1sUO97SBBCR1FN, 5704485]
[paragraph, [174.0, 943.0, 885.0, 36.0], shoonya_1sUO97SBBCR1FN, 5704485]
[paragraph, [174.0, 979.0, 885.0, 36.0], shoonya_1sUO97SBBCR1FN, 5704485]
[paragraph, [174.0, 1015.0, 885.0, 36.0], shoonya_1sUO97SBBCR1FN, 5704485]
[paragraph, [174.0, 1051.0, 885.0, 36.0], shoonya_1sUO97SBBCR1FN, 5704485]
[paragraph, [174.0, 1087.0, 885.0, 36.0], shoonya_1sUO97SBBCR1FN, 5704485]
[paragraph, [180.0, 1163.0, 878.0, 36.0], shoonya_0sWNW0AE3ZV00C, 5704485]
[paragraph, [180.0, 1199.0, 878.0, 36.0], shoonya_0sWNW0AE3ZV00C, 5704485]
[paragraph, [180.0, 1235.0, 878.0, 36.0], shoonya_0sWNW0AE3ZV00C, 5704485]
[paragraph, [180.0, 1271.0, 878.0, 36.0], shoonya_0sWNW0AE3ZV00C, 5704485]
[paragraph, [180.0, 1307.0, 878.0, 36.0], shoonya_0sWNW0AE3ZV00C, 5704485]
[paragraph, [180.0, 1343.0, 878.0, 36.0], shoonya_0sWNW0AE3ZV00C, 5704485]
[paragraph, [180.0, 1379.0, 878.0, 36.0], shoonya_0sWNW0AE3ZV00C, 5704485]
[paragraph, [180.0, 1415.0, 878.0, 36.0], shoonya_0sWNW0AE3ZV00C, 5704485]
[paragraph, [180.0, 1451.0, 878.0, 36.0], shoonya_0sWNW0AE3ZV00C, 5704485]
